gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000116133,65,0,52,70,28,295.673
ENSG00000170099,40,0,36,48,7,293.154
ENSG00000155463,29,11,22,16,8,291.624
ENSG00000125995,41,0,30,33,19,290.333
ENSG00000126247,33,0,41,18,13,290.325
ENSG00000243649,0,0,0,0,0,283.6
ENSG00000130173,64,0,65,57,4,282.93
ENSG00000182117,19,0,19,14,16,282.925
ENSG00000117394,94,0,94,81,24,281.299
ENSG00000255439,20,2,30,24,16,280.354
ENSG00000084234,48,0,46,36,9,280.017
ENSG00000258643,58,0,55,34,21,279.141
ENSG00000126432,37,0,38,30,15,278.885
ENSG00000189060,64,0,68,56,15,278.66
ENSG00000059804,33,0,33,28,25,278.564
ENSG00000143924,57,0,50,57,39,277.227
ENSG00000104635,80,0,66,84,35,275.041
ENSG00000096088,4,0,3,1,0,271.576
ENSG00000175832,23,0,20,34,0,269.717
ENSG00000163586,48,0,41,60,22,269.703
ENSG00000152234,17,0,13,9,5,269.239
ENSG00000006016,68,0,94,40,17,269.225
ENSG00000224389,0,0,0,0,0,268.588
ENSG00000130829,53,0,68,50,3,268.441
ENSG00000140740,40,0,32,26,27,266.393
ENSG00000100129,54,0,43,42,12,264.218
ENSG00000101182,58,0,63,48,9,262.808
ENSG00000118785,8,0,8,3,0,259.298
ENSG00000141485,48,7,44,43,13,258.664
ENSG00000011052,35,0,30,25,12,258.477
ENSG00000242265,61,7,39,68,6,256.775
ENSG00000215021,39,0,28,36,16,256.715
ENSG00000155660,43,0,31,27,9,256.239
ENSG00000142507,13,0,18,12,9,254.931
ENSG00000163597,55,0,38,29,17,254.746
ENSG00000166595,41,0,46,32,23,254.326
ENSG00000051523,35,0,36,31,5,248.963
ENSG00000105202,49,0,30,24,21,248.23
ENSG00000144381,32,0,17,29,13,247.137
ENSG00000185559,22,0,28,9,11,244.888
ENSG00000010256,26,0,27,33,6,244.694
ENSG00000141756,52,0,45,38,15,244.091
ENSG00000131475,39,0,18,39,10,241.078
ENSG00000169738,31,0,34,19,6,239.477
ENSG00000143878,71,0,31,62,17,239.193
ENSG00000125968,71,0,50,78,28,237.651
ENSG00000100219,71,0,46,53,16,237.334
ENSG00000169976,27,0,30,18,21,235.57
ENSG00000165672,31,0,24,36,6,233.762
ENSG00000214736,35,0,36,16,15,233.268
ENSG00000244731,0,0,0,0,0,231.682
ENSG00000126267,48,0,52,38,13,231.185
ENSG00000259399,45,0,47,44,20,227.751
ENSG00000235878,0,0,0,0,0,223.62
