Pytorch NN
Epoch [1/100], Loss: 16598.4460
Epoch [2/100], Loss: 14602.3055
Epoch [3/100], Loss: 12812.8111
Epoch [4/100], Loss: 12791.5039
Epoch [5/100], Loss: 11940.4574
Epoch [6/100], Loss: 10254.9973
Epoch [7/100], Loss: 9619.9151
Epoch [8/100], Loss: 9344.1808
Epoch [9/100], Loss: 9587.6499
Epoch [10/100], Loss: 9721.1270
Epoch [11/100], Loss: 8437.5993
Epoch [12/100], Loss: 9387.1766
Epoch [13/100], Loss: 8878.5425
Epoch [14/100], Loss: 9168.4673
Epoch [15/100], Loss: 8782.8039
Epoch [16/100], Loss: 8174.3114
Epoch [17/100], Loss: 9289.6130
Epoch [18/100], Loss: 9242.3331
Epoch [19/100], Loss: 9266.3368
Epoch [20/100], Loss: 8381.5361
Epoch [21/100], Loss: 9172.2738
Epoch [22/100], Loss: 8296.2254
Epoch [23/100], Loss: 8949.5639
Epoch [24/100], Loss: 8430.8294
Epoch [25/100], Loss: 8764.3136
Epoch [26/100], Loss: 8824.6385
Epoch [27/100], Loss: 8399.4789
Epoch [28/100], Loss: 8217.9630
Epoch [29/100], Loss: 7639.5783
Epoch [30/100], Loss: 9139.0257
Epoch [31/100], Loss: 8853.1389
Epoch [32/100], Loss: 8385.6485
Epoch [33/100], Loss: 8613.0242
Epoch [34/100], Loss: 8119.4176
Epoch [35/100], Loss: 9236.3948
Epoch [36/100], Loss: 8406.2221
Epoch [37/100], Loss: 7953.4062
Epoch [38/100], Loss: 7990.3119
Epoch [39/100], Loss: 8797.5712
Epoch [40/100], Loss: 8271.0481
Epoch [41/100], Loss: 8235.9644
Epoch [42/100], Loss: 8584.6885
Epoch [43/100], Loss: 7896.8479
Epoch [44/100], Loss: 8101.6530
Epoch [45/100], Loss: 7933.1555
Epoch [46/100], Loss: 8032.4722
Epoch [47/100], Loss: 8260.0163
Epoch [48/100], Loss: 8318.6229
Epoch [49/100], Loss: 8132.5483
Epoch [50/100], Loss: 8058.6796
Epoch [51/100], Loss: 8129.7328
Epoch [52/100], Loss: 8398.0150
Epoch [53/100], Loss: 8353.5362
Epoch [54/100], Loss: 8197.0318
Epoch [55/100], Loss: 7876.3044
Epoch [56/100], Loss: 8047.8825
Epoch [57/100], Loss: 8386.6775
Epoch [58/100], Loss: 8038.8620
Epoch [59/100], Loss: 8299.6836
Epoch [60/100], Loss: 8226.4641
Epoch [61/100], Loss: 7821.0310
Epoch [62/100], Loss: 8324.5856
Epoch [63/100], Loss: 8260.8943
Epoch [64/100], Loss: 8225.8461
Epoch [65/100], Loss: 7894.1609
Epoch [66/100], Loss: 8088.9993
Epoch [67/100], Loss: 7981.3034
Epoch [68/100], Loss: 8263.3137
Epoch [69/100], Loss: 8060.5137
Epoch [70/100], Loss: 8437.8981
Epoch [71/100], Loss: 7974.0631
Epoch [72/100], Loss: 8478.9617
Epoch [73/100], Loss: 7906.3517
Epoch [74/100], Loss: 7844.3588
Epoch [75/100], Loss: 8518.3780
Epoch [76/100], Loss: 8261.7769
Epoch [77/100], Loss: 7559.6569
Epoch [78/100], Loss: 8430.3791
Epoch [79/100], Loss: 7703.0760
Epoch [80/100], Loss: 7930.7803
Epoch [81/100], Loss: 8508.7799
Epoch [82/100], Loss: 8268.8286
Epoch [83/100], Loss: 8176.9657
Epoch [84/100], Loss: 8341.9254
Epoch [85/100], Loss: 8180.0715
Epoch [86/100], Loss: 7662.3382
Epoch [87/100], Loss: 8711.4884
Epoch [88/100], Loss: 8084.3277
Epoch [89/100], Loss: 7855.8165
Epoch [90/100], Loss: 7874.8327
Epoch [91/100], Loss: 8103.3757
Epoch [92/100], Loss: 8187.2861
Epoch [93/100], Loss: 7922.7329
Epoch [94/100], Loss: 7938.1788
Epoch [95/100], Loss: 7819.4981
Epoch [96/100], Loss: 8454.7880
Epoch [97/100], Loss: 8002.9161
Epoch [98/100], Loss: 8328.8478
Epoch [99/100], Loss: 8203.8107
Epoch [100/100], Loss: 7721.1392
Average loss on the training data: 7705.2669
MSE: 13073.103515625
RMSE: 114.33767700195312
MAE: 14.484966278076172
R2 Score: -0.020826339721679688
Predictions and true values saved to 'predictions_20240701165538.csv'.

Real-time duration: 8681.955303750 seconds
