Epoch [1/100], Loss: 16667.0711
Epoch [2/100], Loss: 14803.0935
Epoch [3/100], Loss: 12993.8764
Epoch [4/100], Loss: 11326.2233
Epoch [5/100], Loss: 10048.0190
Epoch [6/100], Loss: 9796.2987
Epoch [7/100], Loss: 9086.6037
Epoch [8/100], Loss: 8489.8991
Epoch [9/100], Loss: 8659.6901
Epoch [10/100], Loss: 8385.6888
Epoch [11/100], Loss: 8180.6131
Epoch [12/100], Loss: 8161.0076
Epoch [13/100], Loss: 8305.1930
Epoch [14/100], Loss: 8013.6275
Epoch [15/100], Loss: 7880.9346
Epoch [16/100], Loss: 8481.7580
Epoch [17/100], Loss: 8170.4494
Epoch [18/100], Loss: 8215.7354
Epoch [19/100], Loss: 8018.4941
Epoch [20/100], Loss: 7953.8173
Epoch [21/100], Loss: 8093.0894
Epoch [22/100], Loss: 8135.7865
Epoch [23/100], Loss: 7978.2817
Epoch [24/100], Loss: 8296.5163
Epoch [25/100], Loss: 8001.6163
Epoch [26/100], Loss: 8290.1423
Epoch [27/100], Loss: 8038.6552
Epoch [28/100], Loss: 8028.6364
Epoch [29/100], Loss: 7912.0284
Epoch [30/100], Loss: 8047.6071
Epoch [31/100], Loss: 8170.2310
Epoch [32/100], Loss: 7794.2843
Epoch [33/100], Loss: 8277.2255
Epoch [34/100], Loss: 7893.2086
Epoch [35/100], Loss: 8146.9982
Epoch [36/100], Loss: 8015.5862
Epoch [37/100], Loss: 7948.8800
Epoch [38/100], Loss: 8086.3514
Epoch [39/100], Loss: 7926.4374
Epoch [40/100], Loss: 8015.4299
Epoch [41/100], Loss: 7852.7939
Epoch [42/100], Loss: 7933.8084
Epoch [43/100], Loss: 8133.7418
Epoch [44/100], Loss: 7857.3818
Epoch [45/100], Loss: 7691.6607
Epoch [46/100], Loss: 8235.5210
Epoch [47/100], Loss: 7952.3031
Epoch [48/100], Loss: 7716.6158
Epoch [49/100], Loss: 8139.5878
Epoch [50/100], Loss: 7973.1934
Epoch [51/100], Loss: 7891.5141
Epoch [52/100], Loss: 8037.8253
Epoch [53/100], Loss: 7955.6250
Epoch [54/100], Loss: 7918.3841
Epoch [55/100], Loss: 7734.6857
Epoch [56/100], Loss: 8039.8846
Epoch [57/100], Loss: 7785.9833
Epoch [58/100], Loss: 7846.3009
Epoch [59/100], Loss: 7917.6111
Epoch [60/100], Loss: 7749.2960
Epoch [61/100], Loss: 8031.2309
Epoch [62/100], Loss: 7955.9766
Epoch [63/100], Loss: 7839.4430
Epoch [64/100], Loss: 7946.1096
Epoch [65/100], Loss: 7821.4003
Epoch [66/100], Loss: 7966.7027
Epoch [67/100], Loss: 7862.8721
Epoch [68/100], Loss: 7912.1737
Epoch [69/100], Loss: 7837.3644
Epoch [70/100], Loss: 7891.8491
Epoch [71/100], Loss: 7735.4734
Epoch [72/100], Loss: 8026.2442
Epoch [73/100], Loss: 7787.7500
Epoch [74/100], Loss: 7732.1835
Epoch [75/100], Loss: 7999.7886
Epoch [76/100], Loss: 7854.9600
Epoch [77/100], Loss: 7822.6235
Epoch [78/100], Loss: 8020.6836
Epoch [79/100], Loss: 7818.7696
Epoch [80/100], Loss: 7864.5784
Epoch [81/100], Loss: 7671.0455
Epoch [82/100], Loss: 7768.8006
Epoch [83/100], Loss: 7859.9074
Epoch [84/100], Loss: 7867.1653
Epoch [85/100], Loss: 7855.2111
Epoch [86/100], Loss: 7883.8822
Epoch [87/100], Loss: 7826.9341
Epoch [88/100], Loss: 7761.4740
Epoch [89/100], Loss: 7739.8237
Epoch [90/100], Loss: 7827.9938
Epoch [91/100], Loss: 7809.9436
Epoch [92/100], Loss: 7882.0862
Epoch [93/100], Loss: 7725.8621
Epoch [94/100], Loss: 7765.1047
Epoch [95/100], Loss: 8052.8031
Epoch [96/100], Loss: 7813.5720
Epoch [97/100], Loss: 7633.6106
Epoch [98/100], Loss: 7889.5919
Epoch [99/100], Loss: 7818.2664
Epoch [100/100], Loss: 7967.6502
