Finished load the data
Finished preparing the train and test
Start training ...
Epoch 1, Loss: 128.74998474121094
Epoch 2, Loss: 183.13002014160156
Epoch 3, Loss: 47.97071075439453
Epoch 4, Loss: 886.322509765625
Epoch 5, Loss: 1089.853271484375
Epoch 6, Loss: 51.750160217285156
Epoch 7, Loss: 777.77978515625
Epoch 8, Loss: 372.797119140625
Epoch 9, Loss: 175.7113494873047
Epoch 10, Loss: 75.77195739746094
Epoch 11, Loss: 4.461044788360596
Epoch 12, Loss: 154.44064331054688
Epoch 13, Loss: 789.8617553710938
Epoch 14, Loss: 570.5400390625
Epoch 15, Loss: 443.6329040527344
Epoch 16, Loss: 114.7398452758789
Epoch 17, Loss: 214.7548828125
Epoch 18, Loss: 42.158145904541016
Epoch 19, Loss: 49.9838752746582
Epoch 20, Loss: 672.6805419921875
Epoch 21, Loss: 52.796722412109375
Epoch 22, Loss: 180.5712890625
Epoch 23, Loss: 635.3035278320312
Epoch 24, Loss: 14.575178146362305
Epoch 25, Loss: 153.4977264404297
Epoch 26, Loss: 37.23735046386719
Epoch 27, Loss: 12.346393585205078
Epoch 28, Loss: 291.5690612792969
Epoch 29, Loss: 5.55718469619751
Epoch 30, Loss: 20.0553035736084
Epoch 31, Loss: 10365.5908203125
Epoch 32, Loss: 41.44106674194336
Epoch 33, Loss: 88.14265441894531
Epoch 34, Loss: 185385.328125
Epoch 35, Loss: 114.75804138183594
Epoch 36, Loss: 60.79824447631836
Epoch 37, Loss: 7.4456024169921875
Epoch 38, Loss: 102.20618438720703
Epoch 39, Loss: 31.029083251953125
Epoch 40, Loss: 1258.2568359375
Epoch 41, Loss: 68.04481506347656
Epoch 42, Loss: 2.7396202087402344
Epoch 43, Loss: 1581.0054931640625
Epoch 44, Loss: 304.9683532714844
Epoch 45, Loss: 18.27681541442871
Epoch 46, Loss: 563.26904296875
Epoch 47, Loss: 11.701279640197754
Epoch 48, Loss: 81.79991912841797
Epoch 49, Loss: 280.2760314941406
Epoch 50, Loss: 185.4331512451172
Epoch 51, Loss: 685.5921630859375
Epoch 52, Loss: 15.926609992980957
Epoch 53, Loss: 183.0371856689453
Epoch 54, Loss: 53.797542572021484
Epoch 55, Loss: 26.048694610595703
Epoch 56, Loss: 1737.23291015625
Epoch 57, Loss: 258.7218322753906
Epoch 58, Loss: 20.39519500732422
Epoch 59, Loss: 50.734657287597656
Epoch 60, Loss: 296.0653381347656
Epoch 61, Loss: 18.15842056274414
Epoch 62, Loss: 10804.1083984375
Epoch 63, Loss: 9.577479362487793
Epoch 64, Loss: 1587.59375
Epoch 65, Loss: 1384.1937255859375
Epoch 66, Loss: 67.7175521850586
Epoch 67, Loss: 15.240978240966797
Epoch 68, Loss: 30.011371612548828
Epoch 69, Loss: 8.123248100280762
Epoch 70, Loss: 374.9385681152344
Epoch 71, Loss: 51.21321105957031
Epoch 72, Loss: 78.11592864990234
Epoch 73, Loss: 31.789207458496094
Epoch 74, Loss: 6.707488059997559
Epoch 75, Loss: 71.4898910522461
Epoch 76, Loss: 767.5722045898438
Epoch 77, Loss: 12.347684860229492
Epoch 78, Loss: 783.3189697265625
Epoch 79, Loss: 5.795298099517822
Epoch 80, Loss: 148.78524780273438
Epoch 81, Loss: 118.30635070800781
Epoch 82, Loss: 308.0866394042969
Epoch 83, Loss: 77.18470764160156
Epoch 84, Loss: 27.552385330200195
Epoch 85, Loss: 70.39361572265625
Epoch 86, Loss: 28.576236724853516
Epoch 87, Loss: 11.445915222167969
Epoch 88, Loss: 37.529808044433594
Epoch 89, Loss: 15.862833976745605
Epoch 90, Loss: 941.21728515625
Epoch 91, Loss: 41308.6484375
Epoch 92, Loss: 8.511927604675293
Epoch 93, Loss: 16.160106658935547
Epoch 94, Loss: 25.37890625
Epoch 95, Loss: 63.976016998291016
Epoch 96, Loss: 64.76078033447266
Epoch 97, Loss: 69.50675964355469
Epoch 98, Loss: 22.884912490844727
Epoch 99, Loss: 33.34272384643555
