histone_marker,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std
H3K9ac-H3K9me3-H3K27ac-H3K27me3,73.49722,1.586117556172929,74.42,1.3084341787036904
H3K4me3-H3K9ac-H3K27ac-H3K27me3,73.85736,2.0246336910661156,74.3,0.685565460040105
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,73.87159999999999,1.8032289524627776,74.17999999999999,0.7823042886243167
H3K9ac-H3K27ac-H3K27me3,73.6301,1.4105580261017243,74.06000000000002,1.4673104647619746
H3K4me3-H3K9me3-H3K27ac,73.60184,1.6556149682217747,73.98,0.7293833011524165
H3K4me3-H3K9ac-H3K9me3-H3K27ac,73.9641,1.864450089168385,73.9,0.9823441352194215
H3K4me3-H3K9me3-H3K27ac-H3K27me3,73.35835999999999,1.9851410876811797,73.9,0.5244044240850715
H3K4me3-H3K9ac-H3K27ac,73.70544,1.6583593829444805,73.78,1.008464178838299
H3K4me3-H3K27ac-H3K27me3,73.68136,2.239430577847858,73.76,0.5899152481501084
H3K9ac-H3K9me3-H3K27ac,73.45558,1.5227023090545315,73.6,0.8660254037844373
H3K9ac-H3K27ac,73.64768000000001,1.3095374171821117,73.6,0.9027735042633839
H3K4me3-H3K27ac,73.66087999999999,1.7972065788328297,73.5,0.9055385138137424
H3K9me3-H3K27ac-H3K27me3,72.06258,2.1678388298026268,73.32000000000001,1.4289856542316983
H3K9me3-H3K27ac,72.08886,2.0839611076025366,73.19999999999999,1.5083103128998339
H3K27ac-H3K27me3,72.08592,2.197543285580512,73.12,1.6021860066796236
H3K4me3-H3K9ac-H3K9me3-H3K27me3,73.33070000000001,1.7699644007719488,72.9,0.7810249675906662
H3K27ac,72.28586,2.077643765904059,72.88000000000001,0.98843310345212
H3K4me3-H3K9ac-H3K9me3,73.3426,1.498040984085554,72.86,0.6107372593840992
H3K4me3-H3K9ac-H3K27me3,73.32324,1.9019512304473032,72.86,0.4722287581247042
H3K4me3-H3K9ac,73.39829999999999,1.7810125617187476,72.34,0.6655824516917517
H3K9ac-H3K27me3,72.41412,1.3731686465980795,72.1,1.3784048752090254
H3K4me3-H3K27me3,72.71066,1.475853720054938,71.94,0.6655824516917483
H3K4me3-H3K9me3,72.76165999999999,1.2512272667265465,71.9,0.44721359549995354
H3K9ac-H3K9me3-H3K27me3,72.03202,1.5524079689308485,71.78,1.7753872816937721
H3K9ac,72.2218,1.5895061182644108,71.6,1.6583123951776992
H3K4me3-H3K9me3-H3K27me3,72.69373999999999,1.1979562859303339,71.47999999999999,0.6978538528947138
H3K4me3,72.38308,1.5339233331558704,71.41999999999999,0.837854402626135
H3K9ac-H3K9me3,71.88428,1.7542331806233769,71.38,1.847159982243011
H3K9me3-H3K27me3,50.864200000000004,1.2634198431242085,52.6,0.8944271909999172
H3K9me3,49.0978,0.9917190630415458,51.419999999999995,0.6833739825307976
H3K27me3,49.224000000000004,1.4225132688309114,50.38,1.000999500499375
