,gene_id,value_1,y,scores
9853,XLOC_012639,42.4463,3,-5.631135
9854,XLOC_012640,29.5802,3,-6.244209
9855,XLOC_012641,1.45047,2,-2.3905478
9856,XLOC_012642,25.4926,3,-6.9799595
9857,XLOC_012643,0.02025,1,-6.9799595
9858,XLOC_012646,0.0,0,-6.9799595
9859,XLOC_012647,0.0,0,-6.9799595
9860,XLOC_012648,0.0,0,-6.7875786
9861,XLOC_012650,3.56139,2,-5.67535
9862,XLOC_012651,0.317763,1,-6.3641877
9863,XLOC_012652,333.491,3,-6.0392656
9864,XLOC_012653,0.0,0,-6.9799595
9865,XLOC_012654,0.0,0,-6.9799595
9866,XLOC_012655,0.0,0,-6.9799595
9867,XLOC_012656,6.08398,2,-6.9799595
9868,XLOC_012657,0.0,0,-5.6481915
9869,XLOC_012658,0.0,0,-5.6481915
9870,XLOC_012659,0.0,0,-5.6481915
9871,XLOC_012660,0.0,0,-5.6481915
9872,XLOC_012661,20.7018,3,-5.6481915
9873,XLOC_012662,65.3085,3,-5.7028093
9874,XLOC_012663,17.5059,3,-4.798657
9875,XLOC_012664,0.0174285,1,-6.9799595
9876,XLOC_012665,17.6751,3,-4.985827
9877,XLOC_012666,19.633,3,-5.7811794
9878,XLOC_012667,1010.53,3,-5.717749
9879,XLOC_012668,0.0,0,-5.717749
9880,XLOC_012669,0.0,0,-5.717749
9881,XLOC_012670,63.4931,3,-3.4406352
9882,XLOC_012671,8.00603,2,-6.9799595
9883,XLOC_012672,0.0,0,-6.9799595
9884,XLOC_012673,8.8921,2,-6.9799595
9885,XLOC_012674,9.88996,2,-6.7875786
9886,XLOC_012675,0.0199938,1,-6.9799595
9887,XLOC_012676,13.0823,3,-6.9799595
9888,XLOC_012677,11.6146,2,-6.9799595
9889,XLOC_012678,0.0,0,-6.9799595
9890,XLOC_012679,0.0,0,-3.412697
9891,XLOC_012680,2.15454,2,-5.1217203
9892,XLOC_012682,0.0274204,1,-6.9799595
9893,XLOC_012684,43.9186,3,-6.807676
9894,XLOC_012685,5.89798,2,-5.8179846
9895,XLOC_012686,121.756,3,-5.7706733
9896,XLOC_012687,2.32627,2,-6.8495545
9897,XLOC_012688,0.390612,1,-6.9799595
9898,XLOC_012689,0.659278,1,-5.135041
9899,XLOC_012690,0.0,0,-6.9799595
9900,XLOC_012691,0.0,0,-6.9799595
9901,XLOC_012692,103.001,3,-6.612546
9902,XLOC_012693,0.0360482,1,-6.9799595
9903,XLOC_012695,0.0,0,-6.9799595
9904,XLOC_012697,0.100878,1,-6.907408
9905,XLOC_012698,13.7388,3,-4.4995513
9906,XLOC_012699,0.153963,1,-6.804927
9907,XLOC_012700,5.2016,2,-5.4440536
9908,XLOC_012701,18.1698,3,-5.480125
9909,XLOC_012702,0.0,0,-6.9799595
9910,XLOC_012703,0.0,0,-6.9799595
9911,XLOC_012706,0.0,0,-6.9799595
9912,XLOC_012707,0.186552,1,-6.9144325
9913,XLOC_012708,15.7407,3,-5.996315
9914,XLOC_012709,0.123353,1,-6.9799595
9915,XLOC_012710,3.6633,2,-6.1317554
9916,XLOC_012711,2.20036,2,-5.2986236
9917,XLOC_012713,0.0,0,-6.9799595
9918,XLOC_012714,0.0,0,-6.9799595
9919,XLOC_012715,0.0,0,-6.9799595
9920,XLOC_012716,0.0,0,-6.9799595
9921,XLOC_012717,0.0,0,-5.4415374
9922,XLOC_012718,126.529,3,-4.354475
9923,XLOC_012719,0.0,0,-6.9799595
9924,XLOC_012720,3.60174,2,-3.7919652
9925,XLOC_012721,6.99984,2,-4.805766
9926,XLOC_012722,0.0,0,-6.9799595
9927,XLOC_012723,6.25124,2,-5.580113
9928,XLOC_012724,1.11255,1,-6.3808117
9929,XLOC_012725,2.72784,2,-6.333157
9930,XLOC_012728,0.0,0,-6.9799595
9931,XLOC_012729,0.0,0,-6.9799595
9932,XLOC_012730,2.35078,2,-6.616356
9933,XLOC_012731,24.9014,3,-6.9799595
9934,XLOC_012732,50.5829,3,-5.990336
