item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K9me3-H3K27me3-H3K4me3-H3K9ac,0.4952,0.5199,0.6909,50.52,77.2358,78.47,0.51,0.7721,0.78,0.5241,0.5349,0.6848,60.32,76.7981,77.46,0.6,0.7665,0.77,76.05,0.76
H3K9me3-H3K27me3-H3K9ac-H3K4me3,0.4927,0.5161,0.683,50.01,77.1671,78.58,0.5,0.7714,0.79,0.526,0.535,0.6695,49.99,76.6963,77.44,0.5,0.7656,0.77,76.13,0.76
H3K27me3-H3K4me3-H3K9ac-H3K9me3,0.4904,0.5159,0.6781,54.57,77.4247,78.61,0.55,0.7744,0.79,0.5265,0.5353,0.6629,72.94,76.9289,77.46,0.73,0.768,0.77,76.02,0.76
H3K27me3-H3K4me3-H3K9me3-H3K9ac,0.4892,0.5151,0.6782,56.62,77.4672,78.78,0.57,0.7749,0.79,0.5267,0.5359,0.6615,70.67,76.8604,77.47,0.71,0.7675,0.77,76.06,0.76
H3K27me3-H3K9ac-H3K4me3-H3K9me3,0.49,0.5152,0.6786,66.81,77.7197,78.67,0.67,0.7774,0.79,0.5265,0.5349,0.6615,75.69,76.9995,77.43,0.76,0.7685,0.77,76.05,0.76
H3K27me3-H3K9ac-H3K9me3-H3K4me3,0.4966,0.519,0.6881,51.06,77.3186,78.38,0.51,0.7736,0.78,0.5253,0.534,0.6773,60.84,76.8474,77.43,0.61,0.7672,0.77,76.04,0.76
H3K27me3-H3K9me3-H3K4me3-H3K9ac,0.4956,0.5185,0.686,64.25,77.5364,78.54,0.64,0.7755,0.79,0.5257,0.5349,0.6758,75.84,76.9688,77.44,0.76,0.7686,0.77,76.02,0.76
H3K27me3-H3K9me3-H3K9ac-H3K4me3,0.492,0.5151,0.6804,61.78,77.473,78.55,0.62,0.7744,0.79,0.5249,0.5325,0.6604,75.78,76.9895,77.48,0.76,0.7687,0.77,76.01,0.76
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.4825,0.5091,0.6871,50.64,77.8554,79.23,0.51,0.7791,0.79,0.5188,0.5272,0.6743,73.38,77.3362,77.82,0.73,0.7747,0.78,76.78,0.77
H3K4me3-H3K9ac-H3K27me3-H3K27ac,0.4786,0.5066,0.6767,52.84,77.9989,79.36,0.53,0.7803,0.79,0.5209,0.5285,0.6559,72.13,77.2769,77.86,0.72,0.7733,0.78,76.81,0.77
H3K4me3-H3K27ac-H3K9ac-H3K27me3,0.481,0.5077,0.6754,51.9,77.8951,79.2,0.52,0.7795,0.79,0.5203,0.5282,0.6533,73.34,77.2894,77.85,0.73,0.7739,0.78,76.81,0.77
H3K4me3-H3K27ac-H3K27me3-H3K9ac,0.4724,0.5063,0.674,70.51,78.1727,79.56,0.71,0.7817,0.8,0.5198,0.5286,0.6503,75.1,77.3607,77.99,0.75,0.7743,0.78,76.81,0.77
H3K4me3-H3K27me3-H3K9ac-H3K27ac,0.4812,0.5088,0.6769,55.56,77.9084,79.23,0.56,0.7789,0.79,0.52,0.5281,0.6564,74.0,77.1983,77.93,0.74,0.7717,0.78,76.82,0.77
H3K4me3-H3K27me3-H3K27ac-H3K9ac,0.4769,0.506,0.6801,50.48,78.0212,79.47,0.5,0.7803,0.79,0.5195,0.5286,0.662,70.91,77.2349,77.94,0.71,0.7721,0.78,76.77,0.77
H3K9ac-H3K4me3-H3K27ac-H3K27me3,0.4819,0.5096,0.6817,70.23,78.1355,79.28,0.7,0.7815,0.79,0.5204,0.53,0.6674,74.01,77.1187,77.73,0.74,0.7706,0.78,76.69,0.77
H3K9ac-H3K4me3-H3K27me3-H3K27ac,0.4782,0.506,0.6708,68.6,78.2225,79.31,0.69,0.7824,0.79,0.52,0.5276,0.6429,76.14,77.3427,77.77,0.76,0.7736,0.78,76.86,0.77
H3K9ac-H3K27ac-H3K4me3-H3K27me3,0.4821,0.5071,0.6798,49.99,77.8816,79.29,0.5,0.7793,0.79,0.5199,0.5272,0.6593,50.1,77.1273,77.8,0.5,0.7719,0.78,76.84,0.77
H3K9ac-H3K27ac-H3K27me3-H3K4me3,0.479,0.5103,0.6759,71.02,78.0988,79.44,0.71,0.7809,0.79,0.5209,0.5318,0.6574,74.88,77.1249,77.82,0.75,0.7708,0.78,76.77,0.77
H3K9ac-H3K27me3-H3K4me3-H3K27ac,0.4748,0.5054,0.6783,51.36,78.0365,79.54,0.51,0.7799,0.8,0.522,0.5317,0.6604,70.69,77.199,77.85,0.71,0.7727,0.78,76.69,0.77
H3K9ac-H3K27me3-H3K27ac-H3K4me3,0.4804,0.5085,0.6827,50.05,77.8232,79.29,0.5,0.7787,0.79,0.5202,0.5282,0.6632,71.94,77.2631,77.84,0.72,0.7735,0.78,76.65,0.77
H3K27ac-H3K4me3-H3K9ac-H3K27me3,0.4763,0.5066,0.6624,73.1,78.2809,79.46,0.73,0.7827,0.79,0.5198,0.5296,0.6371,75.88,77.3002,77.94,0.76,0.7731,0.78,76.65,0.77
H3K27ac-H3K4me3-H3K27me3-H3K9ac,0.4823,0.5092,0.6835,50.01,77.7094,79.2,0.5,0.7774,0.79,0.5199,0.5285,0.6684,49.99,77.0163,77.85,0.5,0.7703,0.78,76.77,0.77
H3K27ac-H3K9ac-H3K4me3-H3K27me3,0.4799,0.5069,0.6745,62.78,78.0529,79.25,0.63,0.781,0.79,0.5194,0.5271,0.6513,76.09,77.3177,77.82,0.76,0.7738,0.78,76.77,0.77
H3K27ac-H3K9ac-H3K27me3-H3K4me3,0.4813,0.5084,0.6856,51.63,77.8771,79.15,0.52,0.7792,0.79,0.5189,0.527,0.6723,73.3,77.3513,77.86,0.73,0.7743,0.78,76.81,0.77
H3K27ac-H3K27me3-H3K4me3-H3K9ac,0.481,0.5073,0.676,56.93,77.9955,79.11,0.57,0.7803,0.79,0.5205,0.5279,0.652,73.42,77.2489,77.73,0.73,0.7725,0.78,76.77,0.77
