item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K27me3-H3K9ac-H3K27ac-H3K9me3,0.4909,0.5144,0.6844,50.01,77.4771,78.96,0.5,0.7749,0.79,0.5213,0.531,0.6705,49.99,76.7908,77.71,0.5,0.7674,0.78,76.76,0.77
H3K27me3-H3K9me3-H3K9ac-H3K27ac,0.4924,0.5136,0.6882,50.01,77.5866,78.81,0.5,0.7754,0.79,0.5201,0.5287,0.6776,49.99,77.0753,77.67,0.5,0.7721,0.78,76.76,0.77
H3K27me3-H3K9me3-H3K27ac-H3K9ac,0.4911,0.5129,0.6835,70.6,78.0397,78.97,0.71,0.7803,0.79,0.521,0.5285,0.6673,75.94,77.3645,77.76,0.76,0.7745,0.78,76.81,0.77
H3K27me3-H3K27ac-H3K9ac-H3K9me3,0.4931,0.5156,0.6857,59.22,77.8308,78.81,0.59,0.7776,0.79,0.5214,0.5302,0.6735,74.03,77.2636,77.69,0.74,0.7719,0.78,76.74,0.77
H3K27me3-H3K27ac-H3K9me3-H3K9ac,0.4927,0.5159,0.6868,50.03,77.673,78.83,0.5,0.7762,0.79,0.5206,0.53,0.6761,71.25,77.2278,77.73,0.71,0.7716,0.78,76.82,0.77
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.4767,0.5053,0.6738,50.06,78.0135,79.39,0.5,0.7801,0.79,0.5203,0.5285,0.6484,71.3,77.3072,77.84,0.71,0.7729,0.78,76.88,0.77
H3K4me3-H3K9ac-H3K9me3-H3K27me3-H3K27ac,0.4836,0.5097,0.6827,66.43,78.0749,79.15,0.66,0.7811,0.79,0.5197,0.5279,0.6662,76.22,77.2869,77.82,0.76,0.7736,0.78,76.92,0.77
H3K4me3-H3K9ac-H3K27ac-H3K9me3-H3K27me3,0.4835,0.5104,0.6839,55.91,77.9524,79.08,0.56,0.7803,0.79,0.52,0.5293,0.6663,74.96,77.3285,77.84,0.75,0.7748,0.78,76.82,0.77
H3K4me3-H3K9ac-H3K27ac-H3K27me3-H3K9me3,0.4829,0.51,0.6858,50.01,77.7071,79.11,0.5,0.7771,0.79,0.5199,0.5288,0.6727,49.99,77.0674,77.9,0.5,0.772,0.78,76.74,0.77
H3K4me3-H3K9ac-H3K27me3-H3K9me3-H3K27ac,0.484,0.5105,0.6859,50.01,77.7056,79.12,0.5,0.7778,0.79,0.519,0.528,0.6725,49.99,77.0551,77.85,0.5,0.7716,0.78,76.77,0.77
H3K4me3-H3K9ac-H3K27me3-H3K27ac-H3K9me3,0.4846,0.5119,0.6832,63.74,77.9938,79.0,0.64,0.7801,0.79,0.5185,0.5292,0.6702,76.09,77.3115,77.78,0.76,0.7742,0.78,76.78,0.77
H3K4me3-H3K9me3-H3K9ac-H3K27ac-H3K27me3,0.4821,0.5112,0.6831,50.02,77.655,79.08,0.5,0.7764,0.79,0.5194,0.5298,0.6697,49.99,77.0484,77.89,0.5,0.7718,0.78,76.99,0.77
H3K4me3-H3K9me3-H3K9ac-H3K27me3-H3K27ac,0.48,0.5092,0.6837,51.93,77.8943,79.28,0.52,0.7791,0.79,0.5195,0.529,0.6679,73.54,77.3398,77.99,0.74,0.7745,0.78,76.88,0.77
H3K4me3-H3K9me3-H3K27ac-H3K9ac-H3K27me3,0.4833,0.5123,0.6872,50.01,77.4984,78.93,0.5,0.7752,0.79,0.519,0.5305,0.6787,49.99,76.973,77.84,0.5,0.7709,0.78,76.86,0.77
H3K4me3-H3K9me3-H3K27ac-H3K27me3-H3K9ac,0.4858,0.5126,0.6836,62.63,77.929,79.0,0.63,0.7802,0.79,0.5197,0.5296,0.6715,76.25,77.2285,77.85,0.76,0.7717,0.78,76.86,0.77
H3K4me3-H3K9me3-H3K27me3-H3K9ac-H3K27ac,0.4832,0.5094,0.6798,67.67,78.037,79.08,0.68,0.7809,0.79,0.5194,0.5275,0.6624,76.18,77.3228,77.89,0.76,0.7732,0.78,76.89,0.77
H3K4me3-H3K9me3-H3K27me3-H3K27ac-H3K9ac,0.4805,0.5111,0.6762,71.66,78.0328,79.16,0.72,0.7802,0.79,0.5206,0.5317,0.6595,73.28,77.1273,77.86,0.73,0.7709,0.78,76.65,0.77
H3K4me3-H3K27ac-H3K9ac-H3K9me3-H3K27me3,0.4818,0.5108,0.6857,67.94,78.0682,79.2,0.68,0.7808,0.79,0.5193,0.5293,0.6725,75.99,77.3089,77.86,0.76,0.774,0.78,76.85,0.77
H3K4me3-H3K27ac-H3K9ac-H3K27me3-H3K9me3,0.4839,0.51,0.6796,70.93,78.1115,79.08,0.71,0.7813,0.79,0.52,0.5287,0.6622,75.04,77.3606,77.78,0.75,0.7748,0.78,76.93,0.77
H3K4me3-H3K27ac-H3K9me3-H3K9ac-H3K27me3,0.4808,0.5077,0.6726,69.89,78.1856,79.35,0.7,0.7823,0.79,0.5206,0.5286,0.6489,76.07,77.3798,77.8,0.76,0.7753,0.78,76.86,0.77
H3K4me3-H3K27ac-H3K9me3-H3K27me3-H3K9ac,0.4854,0.5115,0.6858,53.68,77.8882,79.06,0.54,0.7793,0.79,0.5192,0.5284,0.6735,75.04,77.3582,77.88,0.75,0.7747,0.78,76.89,0.77
H3K4me3-H3K27ac-H3K27me3-H3K9ac-H3K9me3,0.4799,0.5074,0.6741,50.01,77.8319,79.21,0.5,0.7785,0.79,0.5202,0.528,0.6503,69.99,77.2574,77.81,0.7,0.7731,0.78,76.84,0.77
H3K4me3-H3K27ac-H3K27me3-H3K9me3-H3K9ac,0.4821,0.511,0.6828,62.12,77.9981,79.13,0.62,0.7803,0.79,0.5193,0.5299,0.6679,76.16,77.3972,77.92,0.76,0.7749,0.78,76.84,0.77
H3K4me3-H3K27me3-H3K9ac-H3K9me3-H3K27ac,0.4829,0.5104,0.6754,55.2,77.8803,79.16,0.55,0.7791,0.79,0.5198,0.5289,0.6572,74.2,77.3298,77.88,0.74,0.7747,0.78,76.84,0.77
H3K4me3-H3K27me3-H3K9ac-H3K27ac-H3K9me3,0.4854,0.5095,0.6821,51.7,77.8608,78.9,0.52,0.7792,0.79,0.5196,0.5267,0.6647,74.45,77.3498,77.8,0.74,0.7742,0.78,76.78,0.77
H3K4me3-H3K27me3-H3K9me3-H3K9ac-H3K27ac,0.4801,0.5074,0.6813,50.01,77.7791,79.28,0.5,0.7782,0.79,0.5194,0.5281,0.6646,49.99,77.1798,77.85,0.5,0.7734,0.78,76.92,0.77
H3K4me3-H3K27me3-H3K9me3-H3K27ac-H3K9ac,0.4851,0.5118,0.6801,71.25,78.0386,78.96,0.71,0.781,0.79,0.5202,0.5293,0.664,75.22,77.1617,77.73,0.75,0.7705,0.78,76.77,0.77
H3K4me3-H3K27me3-H3K27ac-H3K9ac-H3K9me3,0.4803,0.5077,0.6749,72.48,78.1666,79.2,0.72,0.7816,0.79,0.5202,0.5287,0.6552,75.32,77.2467,77.85,0.75,0.7718,0.78,76.84,0.77
H3K4me3-H3K27me3-H3K27ac-H3K9me3-H3K9ac,0.486,0.5123,0.6859,62.97,77.9464,79.05,0.63,0.7795,0.79,0.5189,0.5287,0.6759,76.43,77.3742,77.85,0.76,0.7747,0.78,76.96,0.77
H3K9ac-H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.4833,0.5111,0.6882,50.02,77.6837,79.09,0.5,0.7774,0.79,0.5186,0.5285,0.678,49.99,77.1011,77.86,0.5,0.7717,0.78,76.78,0.77
H3K9ac-H3K4me3-H3K9me3-H3K27me3-H3K27ac,0.4907,0.5138,0.6854,50.01,77.5675,78.73,0.5,0.776,0.79,0.5192,0.5281,0.6723,49.99,77.0489,77.77,0.5,0.7708,0.78,76.96,0.77
H3K9ac-H3K4me3-H3K27ac-H3K9me3-H3K27me3,0.4864,0.5109,0.6841,67.82,78.0391,78.96,0.68,0.7815,0.79,0.5197,0.5283,0.6683,75.68,77.1953,77.81,0.76,0.7709,0.78,76.89,0.77
H3K9ac-H3K4me3-H3K27ac-H3K27me3-H3K9me3,0.4807,0.5083,0.6787,66.12,78.1654,79.25,0.66,0.7819,0.79,0.5192,0.5285,0.6598,76.03,77.3315,78.0,0.76,0.7732,0.78,76.88,0.77
H3K9ac-H3K4me3-H3K27me3-H3K9me3-H3K27ac,0.4871,0.5112,0.6828,70.28,78.0297,78.89,0.7,0.7805,0.79,0.5184,0.5269,0.6683,76.41,77.3835,77.84,0.76,0.7746,0.78,76.86,0.77
H3K9ac-H3K4me3-H3K27me3-H3K27ac-H3K9me3,0.4844,0.5091,0.6791,70.59,78.0798,79.04,0.71,0.7813,0.79,0.5193,0.5273,0.6581,75.78,77.3321,77.85,0.76,0.7733,0.78,77.0,0.77
H3K9ac-H3K9me3-H3K4me3-H3K27ac-H3K27me3,0.4836,0.5095,0.6813,60.7,78.0058,79.16,0.61,0.7804,0.79,0.5192,0.5278,0.6657,75.0,77.3476,77.9,0.75,0.7744,0.78,76.81,0.77
H3K9ac-H3K9me3-H3K4me3-H3K27me3-H3K27ac,0.4732,0.5046,0.6759,49.97,77.986,79.34,0.5,0.7793,0.79,0.5204,0.5292,0.6528,49.99,77.041,77.84,0.5,0.7708,0.78,76.89,0.77
H3K9ac-H3K9me3-H3K27ac-H3K4me3-H3K27me3,0.4825,0.5083,0.6778,69.64,78.0128,79.08,0.7,0.7814,0.79,0.5201,0.5284,0.655,75.11,77.2373,77.8,0.75,0.7727,0.78,76.7,0.77
H3K9ac-H3K9me3-H3K27ac-H3K27me3-H3K4me3,0.4832,0.5076,0.6771,70.78,78.2127,79.15,0.71,0.7824,0.79,0.519,0.5257,0.6526,76.43,77.4559,77.8,0.76,0.7764,0.78,76.82,0.77
H3K9ac-H3K9me3-H3K27me3-H3K4me3-H3K27ac,0.4817,0.5098,0.6866,50.01,77.6664,79.23,0.5,0.7768,0.79,0.5195,0.5294,0.6738,49.99,76.9901,77.99,0.5,0.77,0.78,76.7,0.77
H3K9ac-H3K9me3-H3K27me3-H3K27ac-H3K4me3,0.4855,0.5112,0.6807,60.12,77.9794,78.92,0.6,0.7805,0.79,0.5191,0.5281,0.6644,76.02,77.422,77.88,0.76,0.7756,0.78,76.82,0.77
H3K9ac-H3K27ac-H3K4me3-H3K9me3-H3K27me3,0.4848,0.5099,0.6795,62.18,77.9924,78.93,0.62,0.7801,0.79,0.5194,0.5276,0.6601,75.91,77.3209,77.86,0.76,0.7739,0.78,76.96,0.77
H3K9ac-H3K27ac-H3K4me3-H3K27me3-H3K9me3,0.4813,0.5096,0.6779,73.36,78.1204,79.17,0.73,0.7811,0.79,0.5203,0.5298,0.6612,74.85,77.2272,77.9,0.75,0.7725,0.78,76.78,0.77
H3K9ac-H3K27ac-H3K9me3-H3K4me3-H3K27me3,0.4812,0.5069,0.6771,67.36,78.1769,79.39,0.67,0.7819,0.79,0.5192,0.5268,0.654,76.16,77.3473,77.82,0.76,0.7736,0.78,76.92,0.77
H3K9ac-H3K27ac-H3K9me3-H3K27me3-H3K4me3,0.4826,0.5113,0.678,66.59,78.0429,79.09,0.67,0.7809,0.79,0.5194,0.5292,0.6607,76.07,77.2832,77.86,0.76,0.7744,0.78,76.78,0.77
H3K9ac-H3K27ac-H3K27me3-H3K4me3-H3K9me3,0.4823,0.5103,0.6871,50.01,77.5915,79.17,0.5,0.7764,0.79,0.5205,0.5295,0.6733,49.99,76.7514,77.8,0.5,0.7683,0.78,76.81,0.77
H3K9ac-H3K27ac-H3K27me3-H3K9me3-H3K4me3,0.4879,0.513,0.6873,50.01,77.5001,78.85,0.5,0.7756,0.79,0.5192,0.5289,0.6772,49.99,77.0234,77.81,0.5,0.7702,0.78,76.78,0.77
H3K9ac-H3K27me3-H3K4me3-H3K9me3-H3K27ac,0.4826,0.5088,0.6744,71.39,78.1576,79.09,0.71,0.7819,0.79,0.5206,0.5283,0.6509,76.36,77.2937,77.76,0.76,0.7717,0.78,76.89,0.77
H3K9ac-H3K27me3-H3K4me3-H3K27ac-H3K9me3,0.4848,0.513,0.6844,58.41,77.7958,79.01,0.58,0.7782,0.79,0.5197,0.5304,0.6719,71.78,77.199,77.78,0.72,0.7727,0.78,76.96,0.77
H3K9ac-H3K27me3-H3K9me3-H3K4me3-H3K27ac,0.4851,0.5134,0.6875,65.04,77.9948,79.05,0.65,0.7806,0.79,0.5197,0.531,0.6763,75.56,77.2584,77.8,0.76,0.774,0.78,76.89,0.77
