item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K4me3,0.5086,0.5223,0.6682,57.21,76.4083,77.2,0.57,0.7633,0.77,0.5363,0.5396,0.6323,74.83,75.934,76.24,0.75,0.7593,0.76,75.48,0.75
H3K9ac,0.509,0.523,0.6784,67.96,77.2238,77.9,0.68,0.7731,0.78,0.531,0.537,0.6577,75.38,76.4757,76.78,0.75,0.7666,0.77,75.49,0.75
H3K9me3,0.6928,0.693,0.6933,48.72,50.1726,51.26,0.49,0.502,0.51,0.6929,0.693,0.6932,49.63,50.5922,50.78,0.5,0.5085,0.51,50.81,0.51
H3K27ac,0.5102,0.5239,0.6684,67.23,77.394,78.13,0.67,0.7743,0.78,0.5286,0.5347,0.6323,73.69,77.1157,77.65,0.74,0.7701,0.78,76.92,0.77
H3K27me3,0.6649,0.6738,0.693,50.41,54.5825,55.64,0.5,0.5455,0.56,0.6729,0.6785,0.6928,50.01,54.9696,55.36,0.5,0.5475,0.55,55.71,0.56
H3K4me3-H3K9ac,0.4961,0.5145,0.6748,67.25,77.5903,78.48,0.67,0.776,0.78,0.5286,0.5333,0.6458,76.01,76.8891,77.28,0.76,0.7691,0.77,75.91,0.76
H3K9ac-H3K4me3,0.4918,0.5115,0.6678,59.32,77.6459,78.74,0.59,0.7767,0.79,0.5281,0.5325,0.632,75.64,76.9576,77.4,0.76,0.7691,0.77,75.73,0.76
H3K4me3-H3K9me3,0.5135,0.5282,0.6854,50.16,76.213,77.01,0.5,0.762,0.77,0.5368,0.5424,0.6702,50.06,75.6385,76.39,0.5,0.7562,0.76,75.44,0.75
H3K9me3-H3K4me3,0.5129,0.5275,0.6835,50.01,76.1659,76.98,0.5,0.7621,0.77,0.5363,0.5414,0.6632,49.99,75.67,76.28,0.5,0.7563,0.76,75.48,0.75
H3K4me3-H3K27ac,0.4884,0.5106,0.6721,71.21,78.0158,79.04,0.71,0.7802,0.79,0.5226,0.5303,0.6477,75.69,77.2779,77.82,0.76,0.7743,0.78,76.99,0.77
H3K27ac-H3K4me3,0.4924,0.5124,0.6804,55.05,77.7506,78.69,0.55,0.7771,0.79,0.5218,0.5291,0.6602,75.79,77.2258,77.76,0.76,0.7725,0.78,76.96,0.77
H3K4me3-H3K27me3,0.5018,0.5194,0.675,51.6,76.5439,77.51,0.52,0.7653,0.78,0.5314,0.5361,0.6461,74.46,76.3187,76.82,0.74,0.7634,0.77,75.58,0.76
H3K27me3-H3K4me3,0.5055,0.5236,0.6854,53.62,76.4841,77.4,0.54,0.7652,0.77,0.531,0.5379,0.6702,74.8,76.3143,76.9,0.75,0.7635,0.77,75.82,0.76
H3K9ac-H3K9me3,0.5106,0.5258,0.6869,59.45,77.1002,77.89,0.59,0.7713,0.78,0.5308,0.5383,0.676,75.22,76.447,76.83,0.75,0.7662,0.77,75.63,0.76
H3K9me3-H3K9ac,0.5063,0.5213,0.6786,65.18,77.2981,78.02,0.65,0.7737,0.78,0.5312,0.5368,0.655,75.36,76.4809,76.81,0.75,0.7663,0.77,75.59,0.76
H3K9ac-H3K27ac,0.4922,0.5124,0.6747,67.46,78.0387,78.97,0.67,0.7804,0.79,0.5233,0.5296,0.6504,75.53,77.2367,77.59,0.76,0.7702,0.78,76.76,0.77
H3K27ac-H3K9ac,0.494,0.5139,0.6862,50.01,77.7517,78.86,0.5,0.7776,0.79,0.5225,0.5293,0.6703,49.99,77.0291,77.67,0.5,0.769,0.78,76.65,0.77
H3K9ac-H3K27me3,0.5039,0.522,0.6859,50.44,77.0733,78.02,0.5,0.7714,0.78,0.5282,0.537,0.6724,72.88,76.5607,77.0,0.73,0.767,0.77,76.04,0.76
H3K27me3-H3K9ac,0.5017,0.5192,0.6828,50.03,77.1377,78.05,0.5,0.7717,0.78,0.5279,0.5352,0.6665,72.93,76.6668,77.04,0.73,0.7675,0.77,75.75,0.76
H3K9me3-H3K27ac,0.5129,0.5338,0.6883,57.59,76.9463,78.04,0.58,0.7702,0.78,0.5287,0.5402,0.6797,70.79,76.8187,77.61,0.71,0.7676,0.78,76.9,0.77
H3K27ac-H3K9me3,0.5122,0.5302,0.6853,65.36,77.1821,78.08,0.65,0.7726,0.78,0.5289,0.5379,0.671,74.54,76.9977,77.58,0.75,0.7689,0.78,76.8,0.77
H3K9me3-H3K27me3,0.6652,0.6779,0.694,49.95,54.9383,56.41,0.5,0.5495,0.56,0.6716,0.6807,0.6934,50.01,55.2501,55.9,0.5,0.5541,0.56,56.32,0.56
H3K27me3-H3K9me3,0.666,0.6804,0.6932,50.01,54.7335,56.47,0.5,0.5478,0.56,0.6718,0.6826,0.6929,50.01,55.2519,55.86,0.5,0.5534,0.56,56.41,0.56
H3K27ac-H3K27me3,0.5077,0.527,0.6881,61.78,77.2278,78.12,0.62,0.7726,0.78,0.527,0.5374,0.6775,74.72,77.0528,77.66,0.75,0.7718,0.78,77.01,0.77
H3K27me3-H3K27ac,0.5074,0.5267,0.6844,67.62,77.2206,78.12,0.68,0.7728,0.78,0.5271,0.5367,0.6715,74.54,77.049,77.7,0.75,0.7711,0.78,76.99,0.77
H3K4me3-H3K9ac-H3K9me3,0.4965,0.5196,0.676,50.02,77.1762,78.38,0.5,0.7718,0.78,0.5297,0.538,0.6568,73.12,76.6427,77.16,0.73,0.7668,0.77,75.87,0.76
H3K4me3-H3K9me3-H3K9ac,0.4932,0.5152,0.6735,53.37,77.4641,78.48,0.53,0.7743,0.78,0.5296,0.5356,0.649,74.6,76.8112,77.25,0.75,0.7685,0.77,75.89,0.76
H3K9ac-H3K4me3-H3K9me3,0.489,0.513,0.6588,73.1,77.8217,78.85,0.73,0.7783,0.79,0.5295,0.5358,0.6289,75.44,76.9008,77.29,0.75,0.7686,0.77,75.81,0.76
H3K9ac-H3K9me3-H3K4me3,0.498,0.5158,0.6784,50.3,77.4445,78.46,0.5,0.7743,0.78,0.5289,0.534,0.6578,73.5,76.883,77.19,0.74,0.7688,0.77,75.78,0.76
