item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K9ac-H3K27me3-H3K9me3-H3K27ac-H3K4me3,0.4808,0.5084,0.6825,69.63,78.1205,79.21,0.7,0.7817,0.79,0.5197,0.5285,0.6668,76.03,77.3176,77.85,0.76,0.7732,0.78,76.73,0.77
H3K9ac-H3K27me3-H3K27ac-H3K4me3-H3K9me3,0.4839,0.5075,0.684,50.01,77.8818,79.13,0.5,0.7792,0.79,0.5187,0.5257,0.666,49.99,77.1098,77.76,0.5,0.7719,0.78,77.01,0.77
H3K9ac-H3K27me3-H3K27ac-H3K9me3-H3K4me3,0.4854,0.509,0.6724,66.6,78.007,78.9,0.67,0.7809,0.79,0.5187,0.5261,0.6484,75.65,77.3729,77.86,0.76,0.7741,0.78,77.03,0.77
H3K9me3-H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.4815,0.5106,0.6865,60.24,77.9782,79.29,0.6,0.78,0.79,0.5191,0.5287,0.6761,75.25,77.3039,77.82,0.75,0.7734,0.78,76.85,0.77
H3K9me3-H3K4me3-H3K9ac-H3K27me3-H3K27ac,0.4872,0.5132,0.6886,50.01,77.5209,78.83,0.5,0.776,0.79,0.5182,0.5292,0.6802,49.99,76.9796,77.81,0.5,0.7701,0.78,76.82,0.77
H3K9me3-H3K4me3-H3K27ac-H3K9ac-H3K27me3,0.4793,0.5084,0.6713,70.87,78.1552,79.2,0.71,0.7818,0.79,0.5209,0.53,0.6499,74.76,77.2951,77.88,0.75,0.7732,0.78,76.85,0.77
H3K9me3-H3K4me3-H3K27ac-H3K27me3-H3K9ac,0.4797,0.5099,0.6818,49.83,77.7446,79.25,0.5,0.7775,0.79,0.5197,0.53,0.6657,49.95,76.9422,77.89,0.5,0.7692,0.78,76.77,0.77
H3K9me3-H3K4me3-H3K27me3-H3K9ac-H3K27ac,0.4837,0.509,0.6787,53.32,77.9127,79.0,0.53,0.7792,0.79,0.5193,0.527,0.6603,73.86,77.2779,77.8,0.74,0.7725,0.78,77.0,0.77
H3K9me3-H3K4me3-H3K27me3-H3K27ac-H3K9ac,0.4807,0.5078,0.6772,71.4,78.1813,79.25,0.71,0.7817,0.79,0.5193,0.5273,0.6547,74.72,77.4474,77.89,0.75,0.776,0.78,77.05,0.77
H3K9me3-H3K9ac-H3K4me3-H3K27ac-H3K27me3,0.4787,0.507,0.6782,50.01,77.911,79.29,0.5,0.779,0.79,0.5192,0.5276,0.6575,49.99,77.136,77.84,0.5,0.773,0.78,76.88,0.77
H3K9me3-H3K9ac-H3K4me3-H3K27me3-H3K27ac,0.4762,0.5059,0.6773,70.93,78.2132,79.27,0.71,0.7819,0.79,0.5196,0.5281,0.6582,75.34,77.3407,77.96,0.75,0.7734,0.78,76.71,0.77
H3K9me3-H3K9ac-H3K27ac-H3K4me3-H3K27me3,0.4782,0.5081,0.6844,50.01,77.7752,79.28,0.5,0.778,0.79,0.5192,0.5283,0.6712,49.99,77.1019,77.9,0.5,0.7726,0.78,76.7,0.77
H3K9me3-H3K9ac-H3K27ac-H3K27me3-H3K4me3,0.4811,0.5081,0.6768,67.39,78.0759,79.09,0.67,0.7809,0.79,0.5199,0.5275,0.6553,74.68,77.3447,77.88,0.75,0.7738,0.78,76.88,0.77
