Pytorch Conv1D
Epoch 45, Time:107.6586811542511,  Train Loss: 11661.3883, Train MAE: 20.8711, Test Loss: 12252.2548, Test MAE: 20.9687
Epoch 46, Time:107.66099953651428,  Train Loss: 10872.7293, Train MAE: 21.9195, Test Loss: 13543.0535, Test MAE: 17.6087
Epoch 47, Time:107.49584007263184,  Train Loss: 10389.3658, Train MAE: 21.6766, Test Loss: 13341.1111, Test MAE: 22.3957
Epoch 48, Time:107.37834286689758,  Train Loss: 11432.1933, Train MAE: 21.5083, Test Loss: 15080.0977, Test MAE: 17.8892
Epoch 49, Time:107.37880945205688,  Train Loss: 10786.4706, Train MAE: 20.6407, Test Loss: 25769.8358, Test MAE: 19.6413
Epoch 50, Time:107.37872099876404,  Train Loss: 10293.8466, Train MAE: 21.8568, Test Loss: 21990.3466, Test MAE: 18.1737
Epoch 51, Time:107.42700386047363,  Train Loss: 10936.9617, Train MAE: 22.2568, Test Loss: 15208.2083, Test MAE: 20.9615
Epoch 52, Time:107.42367506027222,  Train Loss: 10656.6497, Train MAE: 20.0804, Test Loss: 13399.2110, Test MAE: 20.6374
Epoch 53, Time:107.44342851638794,  Train Loss: 11267.2903, Train MAE: 20.7807, Test Loss: 16876.3324, Test MAE: 18.7694
Epoch 54, Time:107.44805860519409,  Train Loss: 11744.0864, Train MAE: 20.0541, Test Loss: 14739.9485, Test MAE: 18.0295
Epoch 55, Time:107.4269049167633,  Train Loss: 10820.2775, Train MAE: 21.4079, Test Loss: 18861.6076, Test MAE: 20.3895
Epoch 56, Time:107.43011236190796,  Train Loss: 10040.1948, Train MAE: 21.5856, Test Loss: 14522.0859, Test MAE: 19.8098
Epoch 57, Time:107.4527976512909,  Train Loss: 11344.4295, Train MAE: 21.8886, Test Loss: 15987.9590, Test MAE: 21.5170
Epoch 58, Time:107.44794821739197,  Train Loss: 9634.4729, Train MAE: 20.5706, Test Loss: 20332.2780, Test MAE: 20.0008
Epoch 59, Time:107.44428849220276,  Train Loss: 12951.3515, Train MAE: 20.5385, Test Loss: 19658.5009, Test MAE: 19.2901
Epoch 60, Time:107.43299055099487,  Train Loss: 10231.5300, Train MAE: 19.3204, Test Loss: 22277.8137, Test MAE: 23.6263
Epoch 61, Time:107.44095659255981,  Train Loss: 10910.5332, Train MAE: 19.5225, Test Loss: 13793.4830, Test MAE: 21.7418
Epoch 62, Time:107.5147488117218,  Train Loss: 10302.8178, Train MAE: 20.6153, Test Loss: 14669.7523, Test MAE: 17.7921
Epoch 63, Time:107.46333026885986,  Train Loss: 11227.7831, Train MAE: 20.3122, Test Loss: 31142.1805, Test MAE: 18.8299
Epoch 64, Time:107.45811462402344,  Train Loss: 9636.9553, Train MAE: 23.2853, Test Loss: 14477.1285, Test MAE: 21.4119
Epoch 65, Time:107.42460417747498,  Train Loss: 11650.8774, Train MAE: 23.3420, Test Loss: 17890.4567, Test MAE: 19.6539
Epoch 66, Time:107.42620277404785,  Train Loss: 10569.8531, Train MAE: 20.8289, Test Loss: 16129.4922, Test MAE: 18.3668
Epoch 67, Time:107.42805075645447,  Train Loss: 13803.0448, Train MAE: 21.4371, Test Loss: 14690.2492, Test MAE: 18.7599
Epoch 68, Time:107.42407131195068,  Train Loss: 12213.3249, Train MAE: 21.2960, Test Loss: 11528.7165, Test MAE: 23.3877
Epoch 69, Time:107.41636228561401,  Train Loss: 10196.7671, Train MAE: 20.6431, Test Loss: 27199.9364, Test MAE: 23.6574
Epoch 70, Time:107.3977563381195,  Train Loss: 11606.4342, Train MAE: 21.8775, Test Loss: 14449.9761, Test MAE: 16.8778
Epoch 71, Time:107.38612508773804,  Train Loss: 10668.9626, Train MAE: 19.5803, Test Loss: 11907.3837, Test MAE: 19.2253
Epoch 72, Time:107.38961458206177,  Train Loss: 10569.9153, Train MAE: 19.1358, Test Loss: 11512.2964, Test MAE: 20.3452
Epoch 73, Time:107.38939499855042,  Train Loss: 9488.6324, Train MAE: 18.4802, Test Loss: 11311.2219, Test MAE: 18.7209
Epoch 74, Time:107.39134621620178,  Train Loss: 10505.4861, Train MAE: 19.1684, Test Loss: 22744.8878, Test MAE: 22.6403
