histone_marker,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std
H3K4me3-H3K27ac-H3K27me3,74.75252,2.150024629393807,74.55999999999999,1.2461942063739535
H3K4me3-H3K27ac,74.57784,1.8580568702276015,74.55999999999999,0.9710818709048137
H3K4me3-H3K9me3-H3K27ac-H3K27me3,74.84974,1.7650318320075684,74.52,1.5610893632332568
H3K9ac-H3K9me3-H3K27ac-H3K27me3,74.26528,1.3833124708467004,74.5,1.0606601717798203
H3K4me3-H3K9ac-H3K27ac-H3K27me3,75.17058,2.0912226213390044,74.46,1.651665825765005
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,75.26252000000001,1.7117703560933655,74.34,1.1823705003085936
H3K9me3-H3K27ac-H3K27me3,73.70158,1.8339877540485414,74.32000000000001,1.3103434664239773
H3K9ac-H3K27ac-H3K27me3,74.61366000000001,1.9277348048940766,74.26,1.1610340218960014
H3K4me3-H3K9ac-H3K27ac,74.71826000000001,1.7824444712248335,74.2,1.2825755338380687
H3K4me3-H3K9me3-H3K27ac,74.48348,1.6341544822935195,74.14,1.011434624679217
H3K27ac-H3K27me3,73.7055,1.7840358740787712,74.06,1.0990905331227272
H3K27ac,73.19368,1.523454499484642,73.92,0.819756061276765
H3K9me3-H3K27ac,73.20242,1.8046657286046084,73.85999999999999,1.0644247272588163
H3K9ac-H3K9me3-H3K27ac,73.91286,1.496883720600904,73.74,0.8018728078691739
H3K4me3-H3K9ac-H3K9me3-H3K27ac,74.53324,1.7491078777479672,73.6,1.5132745950421524
H3K9ac-H3K27ac,73.53358,1.65416312133961,73.52000000000001,1.1519548602267404
H3K4me3-H3K9ac-H3K27me3,74.45270000000001,1.7514036542156637,73.3,0.6244997998398412
H3K4me3-H3K9ac-H3K9me3-H3K27me3,74.33027999999999,1.627571874603392,73.17999999999999,0.9093954035511723
H3K4me3-H3K9ac,74.1294,1.0524313540559307,73.17999999999999,0.8871302046486725
H3K4me3-H3K9ac-H3K9me3,73.85137999999999,1.3647641891550395,73.0,0.751664818918639
H3K9ac-H3K27me3,73.03524,1.146985958065744,72.84,1.4707141122597578
H3K4me3-H3K9me3-H3K27me3,74.58936,1.8803498857925323,72.53999999999999,1.221883791528479
H3K9ac-H3K9me3-H3K27me3,72.85998,0.948211533361616,72.4,1.1022703842524322
H3K4me3-H3K27me3,74.18665999999999,2.1064882145409713,72.2,1.1401754250991378
H3K9ac-H3K9me3,72.0986,0.8132513756520765,72.0,1.2980754985747167
H3K9ac,72.29173999999999,0.8421980515294445,72.0,1.39463256809814
H3K4me3-H3K9me3,73.18487999999999,1.7845463210575425,71.94000000000001,1.099090533122727
H3K4me3,73.13626000000001,1.3997962326710307,71.58,0.8136338242723203
H3K9me3-H3K27me3,56.56419999999999,1.7022211078470388,56.42,1.1945710527214346
H3K27me3,55.6496,1.9109986394552991,55.720000000000006,0.7463243262818103
H3K9me3,49.10979999999999,1.2205579461869047,49.919999999999995,0.9602083107326229
