model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,789,H3K9ac-H3K9me3,,77.0,0.8421,73.7,0.818,0.7939,0.7681,0.6557,0.7075,0.77
LogisticRegression,1011,H3K9ac-H3K27ac,,76.2,0.823,76.8,0.8328,0.8139,0.8095,0.6743,0.7358,0.736
LogisticRegression,123,H3K9ac-H3K27ac,,77.0,0.8497,72.9,0.8026,0.7809,0.7754,0.6508,0.7077,0.744
LogisticRegression,42,H3K9ac-H3K27ac,,77.1,0.8413,75.6,0.8342,0.821,0.7906,0.6843,0.7336,0.749
LogisticRegression,456,H3K9ac-H3K27ac,,76.5,0.8326,75.9,0.8412,0.8213,0.8054,0.6728,0.7331,0.756
LogisticRegression,789,H3K9ac-H3K27ac,,76.8,0.8327,76.6,0.835,0.8237,0.8024,0.6866,0.74,0.743
LogisticRegression,1011,H3K9ac-H3K27me3,,75.4,0.8318,74.7,0.836,0.8294,0.7653,0.6806,0.7204,0.78
LogisticRegression,123,H3K9ac-H3K27me3,,76.8,0.8543,72.3,0.798,0.7893,0.7539,0.6687,0.7087,0.811
LogisticRegression,42,H3K9ac-H3K27me3,,76.3,0.8327,76.7,0.8475,0.8371,0.7654,0.7576,0.7615,0.832
LogisticRegression,456,H3K9ac-H3K27me3,,77.0,0.8449,76.6,0.8432,0.8389,0.7792,0.7317,0.7547,0.805
LogisticRegression,789,H3K9ac-H3K27me3,,76.9,0.8413,74.5,0.8268,0.8248,0.7522,0.7072,0.729,0.82
LogisticRegression,1011,H3K9me3-H3K27ac,,73.5,0.7645,73.1,0.7789,0.7347,0.7586,0.643,0.696,0.692
LogisticRegression,123,H3K9me3-H3K27ac,,74.2,0.8026,69.0,0.7596,0.7197,0.7539,0.5714,0.6501,0.693
LogisticRegression,42,H3K9me3-H3K27ac,,71.6,0.7713,73.8,0.8079,0.7878,0.7827,0.6456,0.7076,0.709
LogisticRegression,456,H3K9me3-H3K27ac,,73.9,0.8017,70.7,0.7662,0.7385,0.7469,0.6118,0.6726,0.687
LogisticRegression,789,H3K9me3-H3K27ac,,76.1,0.8225,73.6,0.8012,0.7662,0.7769,0.6392,0.7014,0.705
LogisticRegression,1011,H3K9me3-H3K27me3,,62.7,0.6488,64.3,0.6903,0.6307,0.6338,0.6033,0.6182,0.739
LogisticRegression,123,H3K9me3-H3K27me3,,61.5,0.6569,60.0,0.6379,0.6078,0.6193,0.5357,0.5745,0.764
LogisticRegression,42,H3K9me3-H3K27me3,,58.7,0.6147,62.5,0.6547,0.6349,0.6193,0.613,0.6162,0.747
LogisticRegression,456,H3K9me3-H3K27me3,,64.9,0.6911,61.8,0.6548,0.6438,0.6222,0.5691,0.5945,0.754
LogisticRegression,789,H3K9me3-H3K27me3,,59.8,0.6315,61.7,0.6416,0.5961,0.6133,0.5691,0.5904,0.74
LogisticRegression,1011,H3K27ac-H3K27me3,,70.6,0.7719,71.9,0.7895,0.7629,0.7281,0.6597,0.6922,0.755
LogisticRegression,123,H3K27ac-H3K27me3,,73.1,0.8124,69.8,0.7814,0.766,0.7306,0.6349,0.6794,0.767
LogisticRegression,42,H3K27ac-H3K27me3,,72.3,0.7871,72.4,0.801,0.7924,0.7322,0.6904,0.7107,0.824
LogisticRegression,456,H3K27ac-H3K27me3,,74.1,0.8048,71.3,0.786,0.7656,0.7273,0.6667,0.6957,0.756
LogisticRegression,789,H3K27ac-H3K27me3,,73.9,0.8147,74.0,0.8035,0.7985,0.7409,0.7134,0.7269,0.805
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3,,76.4,0.8173,76.3,0.8329,0.8064,0.7775,0.7077,0.741,0.774
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3,,77.4,0.8476,72.0,0.7765,0.7466,0.7456,0.6746,0.7083,0.762
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3,,75.6,0.8054,76.2,0.8367,0.8194,0.7768,0.723,0.7489,0.756
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3,,75.0,0.8313,75.6,0.834,0.8255,0.7844,0.6951,0.7371,0.771
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3,,75.3,0.8259,73.5,0.8139,0.7833,0.7523,0.6763,0.7123,0.757
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27ac,,74.5,0.819,76.8,0.8341,0.82,0.7947,0.6952,0.7416,0.747
LogisticRegression,123,H3K4me3-H3K9ac-H3K27ac,,77.7,0.8562,74.2,0.8006,0.7749,0.7721,0.6925,0.7301,0.752
LogisticRegression,42,H3K4me3-H3K9ac-H3K27ac,,77.7,0.8366,76.1,0.8364,0.814,0.7838,0.7088,0.7444,0.778
LogisticRegression,456,H3K4me3-H3K9ac-H3K27ac,,75.4,0.8265,75.6,0.8383,0.8276,0.7818,0.6992,0.7382,0.756
LogisticRegression,789,H3K4me3-H3K9ac-H3K27ac,,75.8,0.8219,76.1,0.8326,0.8144,0.7874,0.6948,0.7382,0.757
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27me3,,75.6,0.831,76.1,0.8434,0.8384,0.7817,0.6952,0.7359,0.768
LogisticRegression,123,H3K4me3-H3K9ac-H3K27me3,,78.5,0.8603,72.0,0.8011,0.7882,0.75,0.6667,0.7059,0.804
LogisticRegression,42,H3K4me3-H3K9ac-H3K27me3,,76.8,0.8327,75.7,0.8417,0.8248,0.765,0.7291,0.7466,0.814
LogisticRegression,456,H3K4me3-H3K9ac-H3K27me3,,77.1,0.8418,76.9,0.8498,0.8509,0.7794,0.7398,0.7591,0.787
LogisticRegression,789,H3K4me3-H3K9ac-H3K27me3,,74.7,0.8277,74.8,0.8293,0.819,0.7516,0.7175,0.7342,0.805
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27ac,,74.0,0.8045,74.7,0.8201,0.7912,0.758,0.6931,0.7241,0.783
LogisticRegression,123,H3K4me3-H3K9me3-H3K27ac,,76.9,0.843,73.7,0.791,0.7587,0.7614,0.6964,0.7275,0.782
LogisticRegression,42,H3K4me3-H3K9me3-H3K27ac,,74.5,0.8104,76.6,0.8379,0.8251,0.7752,0.7373,0.7557,0.79
LogisticRegression,456,H3K4me3-H3K9me3-H3K27ac,,75.8,0.8282,74.3,0.8152,0.8034,0.7664,0.687,0.7245,0.787
LogisticRegression,789,H3K4me3-H3K9me3-H3K27ac,,76.5,0.8297,74.6,0.8186,0.7868,0.7596,0.6969,0.7269,0.767
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27me3,,73.8,0.8113,76.3,0.8364,0.8087,0.7701,0.7203,0.7443,0.802
LogisticRegression,123,H3K4me3-H3K9me3-H3K27me3,,76.4,0.8373,71.8,0.7777,0.7459,0.7445,0.6706,0.7056,0.789
LogisticRegression,42,H3K4me3-H3K9me3-H3K27me3,,73.2,0.8022,73.4,0.813,0.7991,0.7358,0.7149,0.7252,0.796
LogisticRegression,456,H3K4me3-H3K9me3-H3K27me3,,75.2,0.8314,74.5,0.8283,0.8287,0.7495,0.7236,0.7363,0.803
LogisticRegression,789,H3K4me3-H3K9me3-H3K27me3,,73.5,0.8134,71.7,0.789,0.7538,0.7122,0.699,0.7055,0.796
LogisticRegression,1011,H3K4me3-H3K27ac-H3K27me3,,74.7,0.823,76.1,0.8344,0.8193,0.7817,0.6952,0.7359,0.785
LogisticRegression,123,H3K4me3-H3K27ac-H3K27me3,,77.8,0.8545,74.3,0.8141,0.7954,0.7714,0.6964,0.732,0.794
LogisticRegression,42,H3K4me3-H3K27ac-H3K27me3,,75.2,0.8349,76.6,0.8412,0.8312,0.7763,0.7352,0.7552,0.815
LogisticRegression,456,H3K4me3-H3K27ac-H3K27me3,,76.6,0.8394,75.8,0.8406,0.8402,0.7682,0.7276,0.7474,0.795
LogisticRegression,789,H3K4me3-H3K27ac-H3K27me3,,74.8,0.8293,74.3,0.8277,0.8179,0.7426,0.7196,0.7309,0.8
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27ac,,75.1,0.8104,76.2,0.8253,0.7952,0.7849,0.6931,0.7361,0.748
LogisticRegression,123,H3K9ac-H3K9me3-H3K27ac,,76.4,0.8375,71.3,0.777,0.7456,0.7517,0.6429,0.693,0.733
LogisticRegression,42,H3K9ac-H3K9me3-H3K27ac,,75.0,0.8159,76.0,0.8341,0.8187,0.7808,0.7108,0.7441,0.735
LogisticRegression,456,H3K9ac-H3K9me3-H3K27ac,,76.3,0.8287,75.1,0.8194,0.801,0.7819,0.685,0.7302,0.757
LogisticRegression,789,H3K9ac-H3K9me3-H3K27ac,,76.3,0.8283,74.3,0.82,0.796,0.7676,0.6742,0.7179,0.749
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27me3,,74.9,0.8218,75.2,0.8281,0.8047,0.7572,0.7098,0.7328,0.79
LogisticRegression,123,H3K9ac-H3K9me3-H3K27me3,,75.5,0.8414,70.4,0.7739,0.7481,0.7311,0.6528,0.6897,0.795
LogisticRegression,42,H3K9ac-H3K9me3-H3K27me3,,74.1,0.8058,76.7,0.8442,0.8328,0.759,0.7699,0.7644,0.819
LogisticRegression,456,H3K9ac-H3K9me3-H3K27me3,,76.2,0.8392,76.1,0.8265,0.8193,0.7674,0.7378,0.7523,0.791
LogisticRegression,789,H3K9ac-H3K9me3-H3K27me3,,75.4,0.8352,74.0,0.8102,0.7919,0.7419,0.7113,0.7263,0.814
LogisticRegression,1011,H3K9ac-H3K27ac-H3K27me3,,73.3,0.8162,75.2,0.8295,0.8158,0.7692,0.6889,0.7269,0.762
LogisticRegression,123,H3K9ac-H3K27ac-H3K27me3,,76.7,0.8465,73.2,0.8015,0.7857,0.7634,0.6786,0.7185,0.8
LogisticRegression,42,H3K9ac-H3K27ac-H3K27me3,,76.2,0.8304,74.1,0.8369,0.8258,0.7407,0.7271,0.7338,0.814
LogisticRegression,456,H3K9ac-H3K27ac-H3K27me3,,76.5,0.8353,75.6,0.8364,0.8276,0.7661,0.7256,0.7453,0.81
LogisticRegression,789,H3K9ac-H3K27ac-H3K27me3,,75.4,0.825,74.4,0.8256,0.8213,0.7441,0.7196,0.7317,0.807
LogisticRegression,1011,H3K9me3-H3K27ac-H3K27me3,,70.6,0.7604,71.6,0.7839,0.7423,0.7152,0.6764,0.6953,0.757
LogisticRegression,123,H3K9me3-H3K27ac-H3K27me3,,72.4,0.8009,69.1,0.7587,0.7271,0.7252,0.623,0.6702,0.76
