model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,789,H3K9ac-H3K9me3,,77.1,0.8415,73.5,0.8186,0.791,0.7632,0.6577,0.7065,0.756
SVM_Linear,1011,H3K9ac-H3K27ac,,76.0,0.8268,76.5,0.8372,0.8179,0.8112,0.6639,0.7302,0.732
SVM_Linear,123,H3K9ac-H3K27ac,,77.0,0.8518,73.6,0.8036,0.7811,0.7857,0.6548,0.7143,0.726
SVM_Linear,42,H3K9ac-H3K27ac,,77.4,0.8425,75.7,0.8363,0.8212,0.7938,0.6823,0.7338,0.744
SVM_Linear,456,H3K9ac-H3K27ac,,76.8,0.8362,75.8,0.8395,0.8207,0.8109,0.6626,0.7293,0.749
SVM_Linear,789,H3K9ac-H3K27ac,,76.6,0.8339,76.3,0.8366,0.8258,0.8085,0.6701,0.7328,0.724
SVM_Linear,1011,H3K9ac-H3K27me3,,75.1,0.8316,75.3,0.8371,0.8319,0.7736,0.6848,0.7265,0.779
SVM_Linear,123,H3K9ac-H3K27me3,,76.8,0.8523,72.2,0.7987,0.7912,0.7545,0.6647,0.7068,0.797
SVM_Linear,42,H3K9ac-H3K27me3,,76.1,0.8327,76.2,0.8478,0.8367,0.763,0.7475,0.7551,0.839
SVM_Linear,456,H3K9ac-H3K27me3,,77.3,0.8435,76.6,0.8408,0.8365,0.7804,0.7297,0.7542,0.801
SVM_Linear,789,H3K9ac-H3K27me3,,76.5,0.8392,75.0,0.8256,0.8241,0.7582,0.7113,0.734,0.817
SVM_Linear,1011,H3K9me3-H3K27ac,,72.6,0.7622,71.9,0.7747,0.7267,0.7538,0.6138,0.6766,0.686
SVM_Linear,123,H3K9me3-H3K27ac,,73.2,0.7961,68.8,0.753,0.7081,0.7623,0.5536,0.6414,0.674
SVM_Linear,42,H3K9me3-H3K27ac,,71.1,0.7625,72.8,0.8007,0.7739,0.7717,0.6334,0.6957,0.693
SVM_Linear,456,H3K9me3-H3K27ac,,73.3,0.7948,71.1,0.7667,0.7351,0.7692,0.5894,0.6674,0.668
SVM_Linear,789,H3K9me3-H3K27ac,,76.1,0.8181,72.8,0.7977,0.7582,0.7683,0.6289,0.6916,0.688
SVM_Linear,1011,H3K9me3-H3K27me3,,61.3,0.6442,63.9,0.6851,0.6224,0.6418,0.5574,0.5966,0.714
SVM_Linear,123,H3K9me3-H3K27me3,,60.7,0.6571,61.5,0.6366,0.6059,0.6545,0.5,0.5669,0.697
SVM_Linear,42,H3K9me3-H3K27me3,,58.9,0.614,62.8,0.6505,0.6284,0.6387,0.558,0.5957,0.694
SVM_Linear,456,H3K9me3-H3K27me3,,64.8,0.6855,62.5,0.653,0.6355,0.6423,0.5366,0.5847,0.697
SVM_Linear,789,H3K9me3-H3K27me3,,59.8,0.6286,61.1,0.6354,0.5884,0.6127,0.5381,0.573,0.707
SVM_Linear,1011,H3K27ac-H3K27me3,,69.9,0.7712,72.3,0.79,0.7665,0.7405,0.6493,0.6919,0.751
SVM_Linear,123,H3K27ac-H3K27me3,,72.7,0.8115,69.3,0.7815,0.7675,0.7296,0.621,0.671,0.769
SVM_Linear,42,H3K27ac-H3K27me3,,72.3,0.7866,72.3,0.7994,0.7884,0.7378,0.6762,0.7056,0.81
SVM_Linear,456,H3K27ac-H3K27me3,,73.4,0.804,71.4,0.7885,0.7691,0.732,0.6606,0.6944,0.758
SVM_Linear,789,H3K27ac-H3K27me3,,74.0,0.8121,74.1,0.8019,0.7953,0.7467,0.7052,0.7253,0.798
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3,,75.5,0.811,75.9,0.8234,0.7971,0.7729,0.7035,0.7366,0.757
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3,,77.4,0.8426,69.8,0.7609,0.7245,0.7285,0.6389,0.6808,0.744
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3,,74.3,0.7975,75.0,0.8309,0.8103,0.766,0.7067,0.7352,0.745
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3,,75.1,0.8228,76.5,0.8348,0.8337,0.7968,0.7012,0.7459,0.772
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3,,75.4,0.8232,72.9,0.8111,0.7754,0.7443,0.6722,0.7064,0.752
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27ac,,75.0,0.8217,77.0,0.8369,0.8235,0.8015,0.691,0.7422,0.752
SVM_Linear,123,H3K4me3-H3K9ac-H3K27ac,,78.8,0.8553,74.0,0.8,0.7757,0.7811,0.6726,0.7228,0.744
SVM_Linear,42,H3K4me3-H3K9ac-H3K27ac,,77.5,0.8385,76.1,0.8396,0.8173,0.7903,0.6986,0.7416,0.769
SVM_Linear,456,H3K4me3-H3K9ac-H3K27ac,,75.5,0.8238,75.7,0.8375,0.8254,0.7902,0.689,0.7362,0.752
SVM_Linear,789,H3K4me3-H3K9ac-H3K27ac,,75.9,0.8208,75.3,0.8313,0.8149,0.7793,0.6845,0.7289,0.746
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27me3,,75.4,0.8299,76.7,0.8434,0.838,0.7929,0.6952,0.7408,0.761
SVM_Linear,123,H3K4me3-H3K9ac-H3K27me3,,78.2,0.8583,72.3,0.8003,0.7864,0.7517,0.6726,0.7099,0.8
SVM_Linear,42,H3K4me3-H3K9ac-H3K27me3,,77.3,0.8331,76.0,0.8417,0.8237,0.7687,0.7312,0.7495,0.802
SVM_Linear,456,H3K4me3-H3K9ac-H3K27me3,,76.8,0.8416,76.9,0.8499,0.8527,0.7819,0.7358,0.7581,0.773
SVM_Linear,789,H3K4me3-H3K9ac-H3K27me3,,74.4,0.8253,74.3,0.8274,0.8177,0.7489,0.7072,0.7275,0.793
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27ac,,74.1,0.7991,74.3,0.8126,0.7853,0.7558,0.6848,0.7185,0.762
SVM_Linear,123,H3K4me3-H3K9me3-H3K27ac,,76.0,0.8377,72.5,0.7784,0.7419,0.7585,0.6667,0.7096,0.765
SVM_Linear,42,H3K4me3-H3K9me3-H3K27ac,,74.2,0.8066,75.6,0.8333,0.8133,0.7667,0.723,0.7442,0.775
SVM_Linear,456,H3K4me3-H3K9me3-H3K27ac,,75.5,0.8197,74.7,0.8164,0.8029,0.7722,0.689,0.7282,0.782
