model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,1011,H3K9ac-H3K9me3,,78.4,0.8582,79.3,0.8824,0.8681,0.8192,0.7286,0.7713,0.796
RandomForest,123,H3K9ac-H3K9me3,,79.2,0.8837,74.3,0.8316,0.8281,0.7691,0.7004,0.7331,0.815
RandomForest,42,H3K9ac-H3K9me3,,77.8,0.8672,78.0,0.8663,0.8498,0.7991,0.7373,0.7669,0.812
RandomForest,456,H3K9ac-H3K9me3,,77.1,0.8648,78.0,0.8727,0.8612,0.8317,0.6931,0.7561,0.792
RandomForest,789,H3K9ac-H3K9me3,,78.3,0.8698,76.8,0.8617,0.86,0.8005,0.6948,0.7439,0.792
RandomForest,1011,H3K9ac-H3K27ac,,77.7,0.8557,79.1,0.8818,0.8663,0.8325,0.7056,0.7638,0.783
RandomForest,123,H3K9ac-H3K27ac,,79.0,0.8879,75.7,0.8361,0.8297,0.7894,0.7063,0.7455,0.816
RandomForest,42,H3K9ac-H3K27ac,,78.5,0.8662,79.0,0.8723,0.8567,0.82,0.7332,0.7742,0.802
RandomForest,456,H3K9ac-H3K27ac,,79.1,0.8666,78.4,0.875,0.8622,0.8317,0.7033,0.7621,0.803
RandomForest,789,H3K9ac-H3K27ac,,78.8,0.868,78.1,0.8678,0.8641,0.8197,0.7031,0.7569,0.788
RandomForest,1011,H3K9ac-H3K27me3,,76.8,0.8545,78.2,0.8768,0.871,0.8115,0.7098,0.7572,0.792
RandomForest,123,H3K9ac-H3K27me3,,78.7,0.8876,75.8,0.8383,0.8433,0.7823,0.7202,0.75,0.824
RandomForest,42,H3K9ac-H3K27me3,,78.6,0.8669,78.3,0.8763,0.8715,0.789,0.7617,0.7751,0.832
RandomForest,456,H3K9ac-H3K27me3,,77.5,0.8667,78.0,0.8758,0.8686,0.8223,0.7053,0.7593,0.808
RandomForest,789,H3K9ac-H3K27me3,,77.8,0.8714,76.3,0.8564,0.8551,0.7857,0.7031,0.7421,0.816
RandomForest,1011,H3K9me3-H3K27ac,,75.2,0.8299,74.9,0.8544,0.8321,0.7727,0.6743,0.7202,0.758
RandomForest,123,H3K9me3-H3K27ac,,78.7,0.8664,72.4,0.8199,0.8212,0.7767,0.6349,0.6987,0.767
RandomForest,42,H3K9me3-H3K27ac,,78.4,0.8526,76.7,0.8494,0.8323,0.8101,0.6864,0.7431,0.754
RandomForest,456,H3K9me3-H3K27ac,,76.8,0.8532,76.8,0.8547,0.843,0.825,0.6707,0.7399,0.759
RandomForest,789,H3K9me3-H3K27ac,,78.8,0.8577,76.9,0.8511,0.8377,0.8273,0.6619,0.7354,0.75
RandomForest,1011,H3K9me3-H3K27me3,,65.8,0.7126,68.7,0.7559,0.7129,0.6836,0.6451,0.6638,0.794
RandomForest,123,H3K9me3-H3K27me3,,67.0,0.7227,63.2,0.6904,0.6914,0.6511,0.5813,0.6143,0.81
RandomForest,42,H3K9me3-H3K27me3,,66.9,0.7287,64.7,0.7112,0.6862,0.6444,0.6273,0.6357,0.829
