model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,456,H3K4me3-H3K27me3,,66.6,0.7333,66.5,0.7048,0.6579,0.6584,0.6155,0.6363,0.773
SVM_Linear,789,H3K4me3-H3K27me3,,65.6,0.7045,70.7,0.7756,0.7353,0.7072,0.6583,0.6819,0.752
SVM_Linear,1011,H3K9ac-H3K9me3,,67.1,0.733,66.8,0.7132,0.6685,0.6818,0.5888,0.6319,0.742
SVM_Linear,123,H3K9ac-H3K9me3,,66.9,0.7212,68.2,0.7348,0.6757,0.701,0.5934,0.6427,0.745
SVM_Linear,42,H3K9ac-H3K9me3,,69.0,0.7487,69.4,0.7487,0.6945,0.6862,0.6301,0.657,0.733
SVM_Linear,456,H3K9ac-H3K9me3,,69.2,0.744,63.7,0.6858,0.6552,0.6287,0.5798,0.6033,0.75
SVM_Linear,789,H3K9ac-H3K9me3,,66.3,0.7041,68.2,0.7299,0.6827,0.6934,0.5975,0.6419,0.723
SVM_Linear,1011,H3K9ac-H3K27ac,,68.0,0.7293,67.2,0.718,0.6755,0.684,0.5992,0.6388,0.713
SVM_Linear,123,H3K9ac-H3K27ac,,67.0,0.718,66.7,0.7303,0.6774,0.6976,0.5456,0.6123,0.701
SVM_Linear,42,H3K9ac-H3K27ac,,70.4,0.7538,69.3,0.7312,0.6826,0.6927,0.6108,0.6491,0.703
SVM_Linear,456,H3K9ac-H3K27ac,,68.7,0.7464,65.8,0.6998,0.6494,0.6595,0.5819,0.6183,0.711
SVM_Linear,789,H3K9ac-H3K27ac,,67.7,0.7132,67.8,0.7226,0.6752,0.6904,0.5891,0.6357,0.721
SVM_Linear,1011,H3K9ac-H3K27me3,,67.5,0.7304,67.2,0.7217,0.6713,0.6773,0.6157,0.645,0.778
SVM_Linear,123,H3K9ac-H3K27me3,,67.0,0.7214,70.0,0.7656,0.7197,0.7126,0.6328,0.6703,0.789
SVM_Linear,42,H3K9ac-H3K27me3,,69.6,0.7575,70.8,0.7663,0.7293,0.7007,0.6495,0.6741,0.753
SVM_Linear,456,H3K9ac-H3K27me3,,68.2,0.7395,63.4,0.6815,0.6534,0.6267,0.5714,0.5978,0.754
SVM_Linear,789,H3K9ac-H3K27me3,,65.9,0.7146,68.7,0.7435,0.6984,0.6952,0.6122,0.6511,0.752
SVM_Linear,1011,H3K9me3-H3K27ac,,67.0,0.7251,67.1,0.7141,0.6759,0.6962,0.5682,0.6257,0.707
SVM_Linear,123,H3K9me3-H3K27ac,,65.1,0.6928,65.6,0.695,0.6439,0.6875,0.5249,0.5953,0.659
SVM_Linear,42,H3K9me3-H3K27ac,,69.4,0.7443,69.6,0.7376,0.6931,0.6885,0.6323,0.6592,0.701
SVM_Linear,456,H3K9me3-H3K27ac,,68.3,0.735,63.6,0.6876,0.6377,0.6315,0.5651,0.5965,0.734
SVM_Linear,789,H3K9me3-H3K27ac,,65.9,0.6989,67.8,0.7122,0.6625,0.6815,0.6101,0.6438,0.717
SVM_Linear,1011,H3K9me3-H3K27me3,,60.0,0.6541,62.6,0.6768,0.6292,0.6554,0.4793,0.5537,0.613
SVM_Linear,123,H3K9me3-H3K27me3,,60.1,0.6564,63.1,0.6869,0.6548,0.6638,0.4751,0.5538,0.609
SVM_Linear,42,H3K9me3-H3K27me3,,62.8,0.6767,64.9,0.6889,0.6389,0.6432,0.5505,0.5933,0.664
SVM_Linear,456,H3K9me3-H3K27me3,,62.2,0.6618,59.6,0.6273,0.5884,0.5905,0.4937,0.5378,0.68
SVM_Linear,789,H3K9me3-H3K27me3,,61.1,0.6412,63.6,0.6785,0.6354,0.6483,0.5178,0.5758,0.636
SVM_Linear,1011,H3K27ac-H3K27me3,,67.6,0.7307,66.7,0.713,0.6688,0.6811,0.5868,0.6304,0.752
SVM_Linear,123,H3K27ac-H3K27me3,,64.3,0.6913,66.7,0.7286,0.6742,0.6925,0.556,0.6168,0.741
SVM_Linear,42,H3K27ac-H3K27me3,,69.6,0.752,69.9,0.7586,0.7193,0.6889,0.643,0.6652,0.781
SVM_Linear,456,H3K27ac-H3K27me3,,68.3,0.7351,64.7,0.6889,0.659,0.6382,0.5966,0.6167,0.765
SVM_Linear,789,H3K27ac-H3K27me3,,65.9,0.7021,68.1,0.7249,0.6807,0.6812,0.6226,0.6506,0.781
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3,,67.8,0.7394,67.6,0.7186,0.6588,0.6923,0.595,0.64,0.692
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3,,66.7,0.7164,68.6,0.7276,0.6565,0.7132,0.583,0.6416,0.685
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3,,70.7,0.7643,68.3,0.7284,0.6732,0.6682,0.6323,0.6497,0.696
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3,,67.8,0.7339,65.5,0.69,0.6453,0.6459,0.6092,0.627,0.713
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3,,65.4,0.703,68.4,0.7529,0.7054,0.6903,0.6122,0.6489,0.675
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27ac,,68.2,0.7381,67.9,0.7264,0.6726,0.6973,0.595,0.6421,0.695
SVM_Linear,123,H3K4me3-H3K9ac-H3K27ac,,66.3,0.7141,66.4,0.7142,0.6627,0.6901,0.5498,0.612,0.68
SVM_Linear,42,H3K4me3-H3K9ac-H3K27ac,,71.1,0.7606,67.8,0.7233,0.6713,0.6659,0.6172,0.6406,0.696
SVM_Linear,456,H3K4me3-H3K9ac-H3K27ac,,67.6,0.7395,66.2,0.7086,0.6459,0.662,0.5924,0.6253,0.685
SVM_Linear,789,H3K4me3-H3K9ac-H3K27ac,,66.7,0.7122,69.2,0.7404,0.6911,0.7086,0.6017,0.6508,0.682
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27me3,,67.4,0.7398,66.0,0.7143,0.6588,0.6607,0.6116,0.6352,0.708
SVM_Linear,123,H3K4me3-H3K9ac-H3K27me3,,65.9,0.716,67.9,0.7501,0.6985,0.6921,0.6017,0.6437,0.743
SVM_Linear,42,H3K4me3-H3K9ac-H3K27me3,,68.7,0.76,68.0,0.7402,0.6988,0.6593,0.6452,0.6522,0.72
SVM_Linear,456,H3K4me3-H3K9ac-H3K27me3,,67.2,0.7338,64.1,0.6875,0.6468,0.6321,0.5882,0.6094,0.724
SVM_Linear,789,H3K4me3-H3K9ac-H3K27me3,,65.7,0.7162,70.2,0.7617,0.7162,0.7096,0.6352,0.6704,0.727
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27ac,,68.7,0.7453,68.3,0.7338,0.6899,0.7072,0.5888,0.6426,0.703
SVM_Linear,123,H3K4me3-H3K9me3-H3K27ac,,66.4,0.7069,66.4,0.7042,0.6424,0.6825,0.5664,0.619,0.687
SVM_Linear,42,H3K4me3-H3K9me3-H3K27ac,,70.6,0.7673,68.2,0.7317,0.6811,0.6644,0.6387,0.6513,0.701
SVM_Linear,456,H3K4me3-H3K9me3-H3K27ac,,67.9,0.7383,66.8,0.714,0.6511,0.6593,0.6261,0.6422,0.724
SVM_Linear,789,H3K4me3-H3K9me3-H3K27ac,,64.8,0.695,67.8,0.7414,0.7001,0.6807,0.6122,0.6446,0.703
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27me3,,68.6,0.7433,64.8,0.7183,0.6762,0.6579,0.5682,0.6098,0.715
SVM_Linear,123,H3K4me3-H3K9me3-H3K27me3,,65.3,0.6999,65.5,0.7254,0.661,0.6627,0.5788,0.6179,0.714
SVM_Linear,42,H3K4me3-H3K9me3-H3K27me3,,68.5,0.7575,68.8,0.7432,0.6913,0.6645,0.6645,0.6645,0.728
SVM_Linear,456,H3K4me3-H3K9me3-H3K27me3,,66.1,0.7244,65.8,0.6978,0.6525,0.6482,0.6155,0.6315,0.753
SVM_Linear,789,H3K4me3-H3K9me3-H3K27me3,,63.9,0.6944,69.7,0.7604,0.7195,0.6968,0.6457,0.6703,0.702
SVM_Linear,1011,H3K4me3-H3K27ac-H3K27me3,,69.4,0.7463,67.1,0.7281,0.6773,0.6832,0.5971,0.6373,0.732
SVM_Linear,123,H3K4me3-H3K27ac-H3K27me3,,65.0,0.7028,66.5,0.7285,0.6867,0.6746,0.5892,0.629,0.718
SVM_Linear,42,H3K4me3-H3K27ac-H3K27me3,,70.8,0.7704,68.5,0.7469,0.6956,0.6667,0.6452,0.6557,0.735
SVM_Linear,456,H3K4me3-H3K27ac-H3K27me3,,67.7,0.7418,66.8,0.7073,0.6556,0.6614,0.6197,0.6399,0.74
SVM_Linear,789,H3K4me3-H3K27ac-H3K27me3,,65.3,0.6991,70.1,0.7508,0.7109,0.7032,0.6457,0.6732,0.721
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27ac,,66.1,0.7307,67.0,0.7127,0.6672,0.6878,0.5826,0.6309,0.697
SVM_Linear,123,H3K9ac-H3K9me3-H3K27ac,,67.1,0.7116,66.9,0.7197,0.664,0.6921,0.5643,0.6217,0.705
SVM_Linear,42,H3K9ac-H3K9me3-H3K27ac,,69.5,0.7511,68.8,0.7194,0.6756,0.6783,0.6258,0.651,0.702
SVM_Linear,456,H3K9ac-H3K9me3-H3K27ac,,67.9,0.7485,64.0,0.6924,0.6427,0.6343,0.5756,0.6035,0.702
SVM_Linear,789,H3K9ac-H3K9me3-H3K27ac,,66.4,0.7137,67.5,0.7189,0.6729,0.6818,0.5975,0.6369,0.718
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27me3,,67.2,0.7253,66.5,0.7102,0.6615,0.6721,0.6012,0.6347,0.719
SVM_Linear,123,H3K9ac-H3K9me3-H3K27me3,,66.2,0.7112,68.2,0.7386,0.6838,0.6881,0.6224,0.6536,0.752
SVM_Linear,42,H3K9ac-H3K9me3-H3K27me3,,68.1,0.7399,70.5,0.7469,0.7081,0.6995,0.6409,0.6689,0.723
SVM_Linear,456,H3K9ac-H3K9me3-H3K27me3,,66.4,0.7316,62.5,0.6786,0.6526,0.615,0.5672,0.5902,0.742
SVM_Linear,789,H3K9ac-H3K9me3-H3K27me3,,65.3,0.7079,68.7,0.7308,0.6843,0.6943,0.6143,0.6518,0.712
SVM_Linear,1011,H3K9ac-H3K27ac-H3K27me3,,67.5,0.7257,66.4,0.7155,0.6678,0.6667,0.6116,0.6379,0.738
SVM_Linear,123,H3K9ac-H3K27ac-H3K27me3,,66.6,0.7084,68.1,0.7503,0.7017,0.6927,0.6079,0.6475,0.747
SVM_Linear,42,H3K9ac-H3K27ac-H3K27me3,,68.7,0.7558,69.0,0.7376,0.7026,0.6742,0.6452,0.6593,0.745
SVM_Linear,456,H3K9ac-H3K27ac-H3K27me3,,67.5,0.7455,65.0,0.6926,0.6527,0.6465,0.584,0.6137,0.723
SVM_Linear,789,H3K9ac-H3K27ac-H3K27me3,,65.5,0.7168,68.1,0.7307,0.6889,0.6872,0.608,0.6452,0.728
SVM_Linear,1011,H3K9me3-H3K27ac-H3K27me3,,66.5,0.7191,65.8,0.7055,0.6639,0.6775,0.5599,0.6131,0.706
SVM_Linear,123,H3K9me3-H3K27ac-H3K27me3,,64.2,0.6822,65.3,0.7065,0.6506,0.6735,0.5436,0.6016,0.689
SVM_Linear,42,H3K9me3-H3K27ac-H3K27me3,,68.7,0.7356,69.7,0.7344,0.7042,0.6858,0.643,0.6637,0.724
SVM_Linear,456,H3K9me3-H3K27ac-H3K27me3,,66.8,0.7264,63.9,0.6772,0.637,0.6322,0.5777,0.6037,0.728
SVM_Linear,789,H3K9me3-H3K27ac-H3K27me3,,64.4,0.6916,66.8,0.7141,0.6677,0.6674,0.6059,0.6352,0.742
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,66.9,0.7306,66.2,0.7177,0.6671,0.6789,0.5723,0.6211,0.685
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,66.2,0.7092,65.8,0.7049,0.6366,0.6786,0.5519,0.6087,0.668
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,69.9,0.7588,67.2,0.7109,0.6609,0.6526,0.6301,0.6411,0.709
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,67.5,0.7365,65.4,0.7058,0.6383,0.6444,0.6092,0.6263,0.701
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,66.0,0.7066,68.1,0.7355,0.6853,0.6908,0.5996,0.642,0.681
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,67.0,0.7326,65.4,0.7016,0.6528,0.6612,0.5847,0.6206,0.679
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,65.6,0.7044,66.5,0.7254,0.6588,0.6754,0.5871,0.6282,0.712
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,68.1,0.7522,68.4,0.7262,0.6833,0.6674,0.6387,0.6527,0.695
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,66.2,0.7243,63.1,0.6831,0.6426,0.6197,0.5819,0.6002,0.709
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,65.0,0.7033,68.2,0.746,0.6967,0.6879,0.6101,0.6467,0.671
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,67.8,0.7345,64.5,0.7114,0.6608,0.6511,0.5744,0.6103,0.695
SVM_Linear,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,65.9,0.7067,67.6,0.73,0.68,0.6881,0.5996,0.6408,0.716
SVM_Linear,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,68.8,0.7607,66.5,0.7236,0.6789,0.6444,0.6237,0.6339,0.725
SVM_Linear,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,67.1,0.7395,66.1,0.6998,0.6468,0.6553,0.6071,0.6303,0.717
SVM_Linear,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,66.4,0.7115,69.4,0.7398,0.6972,0.706,0.6143,0.657,0.705
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,68.6,0.7356,66.0,0.7106,0.6773,0.6765,0.5702,0.6188,0.692
SVM_Linear,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,64.4,0.6967,65.8,0.7083,0.6457,0.6716,0.5685,0.6157,0.695
SVM_Linear,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,68.6,0.7592,68.4,0.7318,0.6853,0.6637,0.6495,0.6565,0.7
SVM_Linear,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,67.3,0.7354,65.8,0.7028,0.6449,0.6426,0.6345,0.6385,0.729
SVM_Linear,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,62.7,0.6901,68.3,0.7388,0.6959,0.6878,0.6143,0.6489,0.69
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,65.8,0.7192,65.4,0.7034,0.6579,0.6659,0.5723,0.6156,0.695
SVM_Linear,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,65.7,0.7018,66.0,0.7261,0.6699,0.6699,0.5809,0.6222,0.707
SVM_Linear,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.3,0.7434,68.0,0.721,0.6885,0.6698,0.6151,0.6413,0.696
SVM_Linear,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,66.3,0.7369,62.6,0.6842,0.6406,0.6164,0.5672,0.5908,0.71
SVM_Linear,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,65.3,0.7124,66.9,0.7212,0.6788,0.673,0.5954,0.6318,0.699
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,67.3,0.7238,64.3,0.6933,0.6493,0.6545,0.5558,0.6011,0.666
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,64.3,0.6966,65.0,0.7078,0.6395,0.6618,0.5602,0.6067,0.667
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.2,0.7529,66.9,0.7112,0.6693,0.645,0.6409,0.6429,0.698
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,66.7,0.7301,64.7,0.6934,0.6352,0.6401,0.5903,0.6142,0.702
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,64.0,0.7054,68.4,0.7277,0.6804,0.6959,0.5996,0.6441,0.678
