model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,1011,H3K9ac-H3K9me3,,69.6,0.7703,69.0,0.7685,0.7471,0.6843,0.6674,0.6757,0.801
RandomForest,123,H3K9ac-H3K9me3,,67.2,0.7436,70.2,0.7772,0.7373,0.712,0.6411,0.6747,0.803
RandomForest,42,H3K9ac-H3K9me3,,71.9,0.7892,72.3,0.7921,0.7436,0.6958,0.7183,0.7069,0.775
RandomForest,456,H3K9ac-H3K9me3,,70.5,0.7709,67.7,0.7524,0.7084,0.6617,0.6576,0.6596,0.776
RandomForest,789,H3K9ac-H3K9me3,,69.1,0.7661,71.7,0.7845,0.759,0.7055,0.6981,0.7018,0.752
RandomForest,1011,H3K9ac-H3K27ac,,70.9,0.7881,71.5,0.7871,0.762,0.7122,0.6901,0.7009,0.795
RandomForest,123,H3K9ac-H3K27ac,,68.5,0.7559,71.7,0.7878,0.7522,0.7267,0.6618,0.6927,0.766
RandomForest,42,H3K9ac-H3K27ac,,72.9,0.8079,72.6,0.8064,0.7554,0.7019,0.714,0.7079,0.775
RandomForest,456,H3K9ac-H3K27ac,,71.2,0.7861,67.9,0.761,0.7139,0.6711,0.6387,0.6545,0.759
RandomForest,789,H3K9ac-H3K27ac,,70.4,0.7825,71.8,0.7892,0.7708,0.7106,0.6897,0.7,0.76
RandomForest,1011,H3K9ac-H3K27me3,,69.6,0.7814,71.7,0.7898,0.7709,0.7098,0.7025,0.7061,0.791
RandomForest,123,H3K9ac-H3K27me3,,69.3,0.7579,73.0,0.8025,0.7708,0.7454,0.668,0.7046,0.767
RandomForest,42,H3K9ac-H3K27me3,,73.8,0.8084,73.8,0.8146,0.7708,0.7173,0.7204,0.7189,0.748
RandomForest,456,H3K9ac-H3K27me3,,69.4,0.7772,67.8,0.7606,0.7284,0.6598,0.6681,0.6639,0.788
RandomForest,789,H3K9ac-H3K27me3,,70.5,0.7803,72.7,0.796,0.7855,0.717,0.7065,0.7117,0.747
RandomForest,1011,H3K9me3-H3K27ac,,70.5,0.7866,70.7,0.783,0.7526,0.7156,0.655,0.6839,0.764
