model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,789,H3K9ac-H3K9me3,,66.6,0.7017,69.0,0.7301,0.6806,0.6928,0.6289,0.6593,0.742
LogisticRegression,1011,H3K9ac-H3K27ac,,67.8,0.7295,68.1,0.7165,0.6723,0.6871,0.626,0.6551,0.728
LogisticRegression,123,H3K9ac-H3K27ac,,67.2,0.7168,67.3,0.7312,0.6781,0.6942,0.5747,0.6288,0.723
LogisticRegression,42,H3K9ac-H3K27ac,,70.7,0.7529,68.6,0.7315,0.6838,0.6776,0.6194,0.6472,0.721
LogisticRegression,456,H3K9ac-H3K27ac,,68.9,0.747,66.7,0.6994,0.6507,0.6682,0.5966,0.6304,0.73
LogisticRegression,789,H3K9ac-H3K27ac,,68.1,0.7142,68.5,0.7238,0.6775,0.6901,0.6164,0.6512,0.741
LogisticRegression,1011,H3K9ac-H3K27me3,,67.1,0.7306,66.8,0.7218,0.6713,0.6659,0.6302,0.6476,0.792
LogisticRegression,123,H3K9ac-H3K27me3,,67.3,0.7229,71.0,0.7666,0.7214,0.7124,0.668,0.6895,0.804
LogisticRegression,42,H3K9ac-H3K27me3,,69.8,0.7561,70.4,0.7663,0.7308,0.6907,0.6581,0.674,0.758
LogisticRegression,456,H3K9ac-H3K27me3,,68.1,0.7393,63.2,0.678,0.6514,0.6205,0.584,0.6017,0.759
LogisticRegression,789,H3K9ac-H3K27me3,,65.7,0.713,68.2,0.7443,0.7002,0.6836,0.6205,0.6505,0.775
LogisticRegression,1011,H3K9me3-H3K27ac,,67.1,0.7245,67.8,0.713,0.6761,0.6985,0.5888,0.639,0.713
LogisticRegression,123,H3K9me3-H3K27ac,,65.8,0.6911,65.8,0.6971,0.6435,0.675,0.5602,0.6122,0.691
LogisticRegression,42,H3K9me3-H3K27ac,,69.4,0.7423,69.8,0.7399,0.6957,0.6799,0.6624,0.671,0.73
LogisticRegression,456,H3K9me3-H3K27ac,,68.1,0.7353,63.5,0.6865,0.6383,0.627,0.5756,0.6002,0.74
LogisticRegression,789,H3K9me3-H3K27ac,,66.0,0.7006,67.7,0.711,0.6648,0.6758,0.6205,0.647,0.739
LogisticRegression,1011,H3K9me3-H3K27me3,,60.0,0.6547,63.0,0.6767,0.6279,0.6508,0.5083,0.5708,0.628
LogisticRegression,123,H3K9me3-H3K27me3,,61.5,0.6565,63.3,0.6866,0.6525,0.6533,0.5083,0.5718,0.655
LogisticRegression,42,H3K9me3-H3K27me3,,62.7,0.6774,65.6,0.6913,0.6439,0.6424,0.5871,0.6135,0.686
LogisticRegression,456,H3K9me3-H3K27me3,,62.4,0.6633,59.9,0.6292,0.5918,0.5887,0.5231,0.5539,0.69
LogisticRegression,789,H3K9me3-H3K27me3,,60.8,0.64,64.7,0.6757,0.6329,0.6469,0.5723,0.6073,0.649
LogisticRegression,1011,H3K27ac-H3K27me3,,68.1,0.7304,66.2,0.709,0.6642,0.6674,0.6012,0.6326,0.772
LogisticRegression,123,H3K27ac-H3K27me3,,65.6,0.6921,67.8,0.7281,0.6753,0.6905,0.6017,0.643,0.772
LogisticRegression,42,H3K27ac-H3K27me3,,69.7,0.7513,70.1,0.757,0.7198,0.6861,0.6581,0.6718,0.795
LogisticRegression,456,H3K27ac-H3K27me3,,68.5,0.7348,64.9,0.6885,0.6599,0.6374,0.6092,0.623,0.779
LogisticRegression,789,H3K27ac-H3K27me3,,65.4,0.7021,68.5,0.7249,0.6813,0.6776,0.6478,0.6624,0.79
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3,,68.0,0.7382,67.4,0.7193,0.6581,0.6829,0.6095,0.6441,0.715
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3,,66.9,0.716,69.3,0.7246,0.6536,0.7108,0.612,0.6577,0.704
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3,,70.4,0.7591,68.8,0.7275,0.6719,0.6659,0.6602,0.6631,0.706
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3,,68.4,0.7357,65.1,0.6883,0.646,0.6354,0.6261,0.6307,0.728
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3,,65.7,0.6996,69.9,0.7532,0.7035,0.6991,0.6478,0.6725,0.685
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27ac,,69.2,0.7416,68.3,0.7262,0.6737,0.6911,0.624,0.6558,0.719
LogisticRegression,123,H3K4me3-H3K9ac-H3K27ac,,67.0,0.7134,66.7,0.7121,0.6595,0.683,0.5768,0.6254,0.709
LogisticRegression,42,H3K4me3-H3K9ac-H3K27ac,,70.8,0.7579,67.5,0.7216,0.6668,0.6542,0.6387,0.6464,0.707
LogisticRegression,456,H3K4me3-H3K9ac-H3K27ac,,67.8,0.7411,66.5,0.7109,0.6495,0.6577,0.6176,0.6371,0.718
LogisticRegression,789,H3K4me3-H3K9ac-H3K27ac,,67.2,0.7113,70.0,0.743,0.6926,0.7082,0.631,0.6674,0.706
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27me3,,67.7,0.7413,66.5,0.7157,0.6595,0.6595,0.6364,0.6477,0.714
LogisticRegression,123,H3K4me3-H3K9ac-H3K27me3,,66.5,0.7185,68.6,0.7486,0.6997,0.6883,0.6369,0.6616,0.772
LogisticRegression,42,H3K4me3-H3K9ac-H3K27me3,,69.7,0.7581,68.2,0.7404,0.7009,0.6567,0.6624,0.6595,0.737
LogisticRegression,456,H3K4me3-H3K9ac-H3K27me3,,67.7,0.7346,63.6,0.6848,0.6438,0.6207,0.605,0.6128,0.738
LogisticRegression,789,H3K4me3-H3K9ac-H3K27me3,,66.2,0.7131,70.3,0.7599,0.7134,0.7018,0.6562,0.6782,0.736
