gene_id,E000,E003,E004,E005,E006,E007,E011,E012,E013,E016,E024,E027,E028,E037,E038,E047,E050,E053,E054,E055,E056,E057,E058,E059,E061,E062,E065,E066,E070,E071,E079,E082,E084,E085,E087,E094,E095,E096,E097,E098,E100,E104,E105,E106,E109,E112,E113,E114,E116,E117,E118,E119,E120,E122,E123,E127,E128
ENSG00000117362,48.428,39.105,30.612,35.852,38.593,42.344,44.821,38.516,36.108,41.01,25.244,21.112,54.035,56.405,54.085,52.215,63.699,68.806,65.171,50.077,44.085,71.79,38.521,138.554,53.028,54.765,52.323,75.983,53.805,25.296,60.054,36.575,63.656,73.254,17.839,69.627,41.257,80.334,89.341,49.314,32.831,42.21,41.69,107.313,113.094,54.086,110.495,51.113,50.776,98.631,78.65,73.253,58.712,184.412,63.523,80.197,55.074
ENSG00000117385,19.532,33.134,10.123,21.954,67.944,17.822,19.655,17.316,50.404,14.707,17.787,6.831,8.769,4.713,6.578,5.862,12.675,8.113,10.579,17.074,31.251,13.862,7.334,18.15,15.795,6.112,3.255,5.411,8.551,5.438,6.304,6.282,5.029,4.153,12.063,4.188,4.066,9.076,11.689,12.283,1.543,3.436,8.214,4.395,4.884,17.376,14.307,8.628,7.544,12.595,39.674,14.961,36.245,63.409,26.681,10.344,28.512
ENSG00000117394,107.242,374.981,198.822,1057.96,43.916,266.744,56.314,77.553,48.741,131.258,211.608,79.624,223.547,17.593,17.014,19.679,16.216,141.621,27.637,52.488,57.217,180.318,252.34,37.806,23.049,19.946,8.427,1.583,67.435,33.165,47.359,28.116,28.608,30.492,10.15,9.11,76.593,7.687,10.08,3.42,0.973,7.102,67.922,26.724,10.109,10.816,25.119,64.029,25.121,8.979,281.299,316.257,77.727,34.723,69.422,532.513,19.705
ENSG00000117395,28.532,38.014,61.028,21.429,18.612,16.316,17.726,15.91,26.424,34.617,19.187,52.501,30.482,4.902,5.024,4.891,16.153,13.239,10.738,46.114,40.221,61.588,67.693,6.491,11.058,4.725,27.244,28.338,9.617,16.216,13.776,13.277,11.676,11.043,18.493,25.595,35.458,19.416,14.301,12.008,38.91,13.427,36.288,21.271,26.162,13.519,18.746,26.088,20.989,20.51,8.868,39.523,28.984,12.663,29.145,32.515,16.699
ENSG00000117399,85.155,87.11,111.126,40.275,6.303,116.41,82.12,65.418,61.898,103.359,87.861,1.244,5.058,0.832,0.264,0.569,2.05,38.06,27.247,96.34,87.928,231.081,111.703,95.528,29.92,0.662,1.747,0.571,56.606,1.426,13.818,4.968,9.5,10.388,0.409,12.839,0.298,2.631,0.962,0.36,1.043,0.516,0.505,40.199,47.048,9.164,6.374,39.967,36.187,45.199,32.511,157.254,36.029,88.996,76.594,43.062,29.931
ENSG00000117400,0.13,0.064,0.095,0.035,0.025,0.014,0.05,0.178,0.484,0.014,0.233,0.051,0.295,0.455,0.299,0.308,29.139,0.052,0.054,0.033,0.043,0.164,0.098,0.012,0.035,0.659,0.0,0.082,0.386,0.249,0.198,0.222,0.206,0.19,2.533,0.109,0.122,0.356,0.681,0.306,0.028,0.385,0.137,0.047,0.049,0.038,0.052,0.015,0.009,0.04,0.027,0.066,0.01,0.219,0.0,0.03,0.017
ENSG00000117407,0.788,6.378,1.754,0.115,0.052,0.941,0.365,0.537,0.103,1.937,5.01,4.198,15.475,0.238,0.158,0.348,0.268,0.288,0.477,0.242,0.131,53.779,46.94,0.22,0.061,0.13,0.0,0.101,1.064,0.492,1.284,0.946,0.552,0.244,0.531,0.282,0.108,0.955,0.473,1.653,0.086,0.262,0.371,3.639,0.662,0.897,0.277,0.09,0.036,0.514,0.086,20.01,0.031,0.096,0.063,16.401,0.024
ENSG00000117408,14.21,6.572,7.235,6.272,8.309,6.162,9.849,8.84,7.264,9.445,11.123,16.091,25.859,4.286,5.626,5.596,9.04,28.655,29.538,14.962,16.427,31.717,21.457,54.637,43.547,6.031,8.426,6.186,17.9,49.55,13.03,26.795,10.23,9.217,17.156,12.597,19.686,9.443,7.902,13.948,54.907,11.529,20.105,9.541,9.888,12.417,10.388,6.232,4.496,8.322,11.464,32.006,12.128,24.077,12.574,24.345,9.796
ENSG00000117410,36.297,25.079,16.363,18.647,16.109,13.576,19.496,15.087,21.445,27.316,35.414,88.359,24.64,17.868,12.961,13.134,22.632,18.899,21.902,23.825,35.081,40.745,26.535,130.402,46.898,49.374,35.864,47.675,32.175,63.026,24.037,38.848,22.266,23.871,93.547,63.133,43.168,95.499,21.617,52.15,59.817,30.267,56.509,62.533,63.85,47.467,61.905,19.804,25.698,49.28,46.84,53.467,26.184,93.934,69.484,60.029,16.43
ENSG00000117411,30.255,17.922,21.751,13.28,15.771,33.422,33.277,27.297,24.884,26.437,22.667,17.454,29.289,0.888,0.108,0.204,5.981,45.275,39.178,37.091,54.776,69.486,40.069,50.25,30.515,0.591,20.837,9.163,29.241,31.234,19.129,69.506,12.872,12.24,22.973,24.958,23.958,17.164,12.424,33.712,32.137,14.623,25.977,14.247,15.541,3.759,8.185,8.571,6.558,10.019,26.019,38.528,20.148,49.324,22.658,24.605,15.357
