gene_id,E000,E003,E004,E005,E006,E007,E011,E012,E013,E016,E024,E027,E028,E037,E038,E047,E050,E053,E054,E055,E056,E057,E058,E059,E061,E062,E065,E066,E070,E071,E079,E082,E084,E085,E087,E094,E095,E096,E097,E098,E100,E104,E105,E106,E109,E112,E113,E114,E116,E117,E118,E119,E120,E122,E123,E127,E128
ENSG00000000003,23.265,43.985,37.413,29.459,21.864,55.649,52.94,71.629,61.292,44.28,63.184,7.49,8.541,0.576,1.393,1.235,5.544,15.933,27.15,6.433,3.812,6.257,10.151,8.898,14.658,0.298,5.605,73.205,20.954,7.645,35.083,6.265,53.039,64.971,9.594,14.46,3.122,13.463,54.677,13.735,2.435,8.833,4.494,36.012,19.252,11.928,5.637,37.989,0.038,42.639,49.983,11.554,11.847,43.723,0.267,13.758,15.818
ENSG00000000005,0.872,1.642,6.498,0.0,0.157,0.003,0.115,0.087,0.055,1.577,0.726,0.0,0.0,0.0,0.0,0.029,0.0,0.051,0.07,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.191,0.0,0.018,0.251,0.0,0.566,0.336,0.03,0.0,0.07,0.0,10.67,0.424,0.032,0.524,0.092,0.205,0.134,0.678,0.121,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.006,0.0,0.0
ENSG00000000419,55.208,35.259,58.308,48.208,37.477,45.923,44.959,40.438,41.97,51.515,35.129,63.304,47.743,45.394,47.041,38.384,37.351,11.078,12.225,27.126,21.572,28.648,44.444,13.179,22.421,28.648,52.753,52.609,15.701,21.769,26.467,7.879,29.927,30.095,32.469,56.167,32.202,26.051,42.731,19.683,67.684,46.172,33.687,39.226,47.562,61.359,54.866,52.215,79.197,107.098,62.811,42.386,54.869,16.652,73.719,56.578,56.371
ENSG00000000457,3.237,2.596,2.345,8.775,2.723,3.7,3.912,5.011,4.158,3.292,3.16,3.683,2.532,7.409,8.577,7.853,17.602,3.295,4.301,3.706,1.523,1.602,3.933,1.877,4.641,5.433,3.417,4.733,3.349,2.222,5.325,2.977,8.497,9.679,5.593,5.731,2.622,3.907,7.649,5.455,10.873,2.529,2.811,6.044,4.526,8.791,5.484,4.829,11.082,8.814,2.646,2.483,2.527,2.549,7.651,4.967,3.714
ENSG00000000460,7.299,6.649,7.838,7.324,0.83,5.354,5.94,5.704,6.213,7.551,7.705,1.04,1.213,3.459,3.813,3.424,6.91,3.855,4.401,2.896,3.246,3.31,6.491,2.782,2.799,2.292,1.137,0.942,4.716,1.12,1.487,1.611,3.408,3.58,0.806,1.25,0.47,1.134,1.69,1.126,0.518,0.717,0.694,1.893,1.952,3.137,1.631,8.001,13.743,25.369,3.373,4.646,2.179,4.099,22.103,3.29,2.491
ENSG00000000938,0.052,0.211,0.059,0.009,0.012,0.013,0.012,0.012,0.013,0.094,0.135,3.153,0.447,3.815,3.211,8.146,5.088,0.056,0.011,0.016,0.009,0.01,0.003,0.0,0.015,220.329,12.977,4.572,0.544,6.421,5.39,0.443,1.488,0.787,1.748,10.879,3.646,91.639,3.179,4.08,1.168,2.428,4.935,8.702,9.252,26.992,77.711,0.003,98.303,0.016,0.008,0.052,0.001,0.137,0.016,0.047,0.0
ENSG00000000971,3.0,0.0,0.003,0.009,41.909,0.002,0.011,0.018,0.121,0.004,0.002,0.448,0.268,4.674,0.148,0.538,15.838,0.0,0.0,1.931,0.766,0.02,0.058,0.397,0.164,1.414,38.9,566.609,0.544,8.279,59.786,0.198,4.428,2.362,5.455,11.68,5.925,13.383,143.061,2.264,7.393,56.378,14.76,11.687,21.54,10.673,4.086,26.622,0.002,124.801,0.007,0.419,39.724,8.464,41.504,1.348,32.725
ENSG00000001036,58.371,49.337,25.066,25.679,86.255,21.922,33.225,22.268,37.503,35.061,46.317,3.177,10.108,4.437,3.315,3.084,17.086,29.602,24.595,45.053,47.23,13.892,21.126,29.155,43.029,12.815,23.684,43.631,9.694,12.456,20.23,4.32,71.468,105.662,46.359,35.581,33.092,32.312,35.341,24.756,9.493,23.452,41.298,41.846,51.012,11.514,17.117,40.334,18.191,53.641,74.928,12.045,45.419,27.254,59.833,11.164,82.445
ENSG00000001084,7.077,6.966,10.11,4.609,5.87,6.44,5.431,6.838,3.018,9.897,6.48,8.282,37.643,5.002,4.517,5.849,11.592,2.875,3.332,2.108,1.161,4.488,13.698,2.521,6.308,5.601,5.399,25.767,1.74,7.165,8.593,1.715,13.653,17.715,6.526,11.021,3.926,7.957,4.189,4.403,5.083,4.207,3.759,6.183,12.005,8.048,16.529,46.023,4.571,10.435,10.065,18.571,1.547,2.588,2.75,22.945,5.273
ENSG00000001167,17.511,13.316,14.576,26.119,13.081,21.587,31.022,30.694,28.347,23.622,19.013,18.405,19.192,24.075,29.433,23.829,41.301,18.724,21.57,17.428,10.173,10.881,14.208,7.49,13.871,21.035,8.003,6.255,29.836,10.403,8.484,24.19,17.581,18.041,9.701,8.527,6.127,7.883,16.896,8.921,12.339,7.046,5.839,9.903,8.173,20.717,12.276,9.541,11.643,12.506,10.116,8.236,8.356,10.055,15.622,11.679,6.239
ENSG00000001460,1.822,1.761,1.571,1.519,2.242,3.847,1.823,2.722,1.994,1.616,1.954,1.334,3.103,0.962,1.168,1.129,1.615,0.057,0.096,4.339,2.116,3.311,3.766,3.483,3.808,0.658,0.936,0.298,0.435,2.245,1.607,0.672,1.089,1.121,2.314,1.462,1.293,3.116,1.506,1.854,0.94,1.29,1.147,3.233,2.001,0.99,0.992,2.243,0.202,1.737,1.375,3.625,0.965,1.756,1.642,4.512,2.063
ENSG00000001461,5.895,2.893,1.332,5.536,9.129,3.137,1.956,2.669,4.333,1.34,2.131,1.272,13.872,13.213,16.465,16.641,8.731,2.195,3.619,10.276,5.647,6.908,8.672,6.738,9.662,8.303,3.204,1.277,2.966,39.126,4.473,1.99,5.084,5.342,5.636,5.372,6.483,6.879,2.615,5.835,1.766,7.928,4.283,7.573,7.34,4.745,3.643,4.255,2.667,7.717,3.164,17.422,4.879,4.595,6.182,14.104,19.3
ENSG00000001497,19.36,12.236,17.598,6.043,4.371,12.236,15.566,17.574,11.005,16.866,14.781,13.273,6.417,17.053,23.507,22.425,15.585,10.785,13.615,12.651,14.177,15.406,14.983,9.53,10.27,14.004,14.09,8.53,18.472,25.095,10.681,17.497,8.815,8.093,7.282,8.395,6.432,12.193,17.617,14.107,5.534,5.976,8.635,9.022,9.099,10.313,12.578,23.19,19.111,31.123,8.902,14.715,10.485,11.656,36.755,17.116,7.289
ENSG00000001561,2.357,4.946,1.447,1.193,0.14,5.596,4.222,6.999,1.359,3.555,2.288,0.358,1.217,3.835,3.688,4.54,17.046,0.218,1.586,0.3,0.007,0.031,0.041,0.0,0.003,6.69,14.58,5.919,2.823,15.025,4.878,1.98,7.694,9.908,20.083,7.614,27.313,8.776,2.235,4.837,23.85,18.313,18.335,7.908,8.288,19.435,7.458,0.753,11.151,0.0,0.082,0.196,4.941,1.56,0.0,0.015,1.759
ENSG00000001617,9.208,24.475,13.619,8.106,10.802,37.379,12.714,19.842,14.432,12.198,27.574,1.656,60.844,0.067,0.097,0.091,0.049,0.569,0.388,8.366,12.597,126.009,86.905,1.116,0.129,0.211,6.82,1.751,7.467,9.49,51.164,32.346,3.723,2.475,4.989,15.645,10.707,45.181,5.507,8.001,2.517,7.577,15.92,7.109,22.776,14.684,27.751,1.338,0.049,4.79,8.177,71.814,1.423,46.827,1.614,49.2,4.399
ENSG00000001626,0.114,0.353,0.048,0.15,0.348,0.0,0.098,0.099,0.164,0.276,0.556,0.086,0.01,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,2.677,0.596,0.008,0.245,0.484,0.017,22.708,23.68,127.79,0.331,0.031,8.005,0.008,126.916,0.01,0.01,0.035,19.481,16.08,0.198,0.014,0.145,1.451,0.024,0.001,0.002,0.001,0.006,0.005,0.002,0.048
ENSG00000001629,16.841,16.865,15.977,16.93,19.317,14.645,13.284,14.13,15.701,14.767,14.052,12.11,23.401,15.077,16.003,16.075,19.516,22.851,25.566,11.732,4.364,5.498,18.682,4.208,12.004,12.832,15.329,4.787,17.988,20.666,10.248,19.034,19.382,19.785,13.906,14.299,7.508,12.757,11.495,10.67,10.383,7.605,6.937,9.794,9.956,25.478,11.269,36.264,45.391,31.079,19.331,18.072,18.07,11.318,16.891,24.447,29.856
ENSG00000001630,49.646,113.334,83.412,87.242,92.097,56.898,80.555,28.836,62.789,69.547,47.509,14.368,49.583,9.588,6.485,7.042,23.286,33.184,25.291,32.413,34.992,53.378,83.79,24.32,69.242,10.143,10.415,50.076,20.851,19.95,21.88,20.045,45.946,62.804,35.761,23.001,21.792,49.726,20.072,13.31,2.839,15.07,16.13,57.153,72.237,7.668,9.344,8.346,15.759,16.588,14.207,20.116,4.385,10.767,16.93,27.739,17.899
ENSG00000001631,11.932,8.01,9.417,6.947,8.242,11.77,8.891,10.778,10.133,9.546,9.043,6.037,7.889,8.816,13.371,11.245,14.15,7.106,8.033,6.467,3.98,3.402,10.479,1.747,5.754,7.775,7.211,6.381,7.577,10.176,8.773,5.028,14.411,15.023,10.716,7.706,7.417,10.153,12.954,11.464,11.621,9.252,7.39,6.577,6.894,17.344,11.455,16.259,22.629,22.594,9.471,7.941,8.514,4.217,24.917,11.335,10.947
ENSG00000002016,5.118,3.299,2.176,2.232,1.816,6.411,6.317,8.835,7.053,3.844,4.748,3.869,2.931,4.783,7.776,7.509,7.634,3.67,4.924,5.528,1.889,2.297,2.267,0.929,2.312,4.692,2.412,1.698,8.723,4.907,4.358,5.464,6.057,5.886,3.881,1.88,2.324,3.365,4.575,9.016,5.12,2.742,3.478,3.752,2.485,6.921,4.59,7.065,4.955,7.449,5.791,2.469,3.173,4.202,4.655,3.176,2.848
ENSG00000002330,20.775,7.949,8.646,18.292,27.93,20.003,20.059,14.238,16.105,10.261,10.169,22.855,17.357,8.878,7.432,7.167,14.56,30.182,26.178,29.19,42.465,88.657,35.16,84.793,42.209,10.79,51.597,15.838,34.181,23.015,35.334,26.404,12.242,12.85,27.016,91.435,34.137,68.032,40.89,36.571,44.926,74.98,49.328,45.44,28.406,29.078,35.352,12.648,11.917,5.775,9.977,28.299,13.997,44.255,7.835,30.447,12.352
ENSG00000002549,25.48,13.107,23.576,18.862,17.905,9.628,9.869,13.607,12.136,21.27,15.582,17.342,17.148,15.029,10.963,11.476,25.697,17.798,16.191,20.887,15.975,27.926,33.426,13.267,28.181,25.431,25.609,106.39,6.015,20.855,16.66,5.196,24.563,23.944,15.351,32.75,22.954,18.152,17.928,8.208,23.564,15.372,27.678,53.155,56.302,52.889,48.131,16.81,91.471,13.792,51.132,23.097,32.752,37.007,41.437,36.532,35.965
ENSG00000002586,67.631,24.419,13.931,176.45,287.62,152.875,57.509,34.572,140.877,18.042,49.079,8.147,36.585,79.68,38.739,35.339,123.997,38.284,33.346,182.377,177.955,102.743,60.678,295.912,194.023,70.001,153.691,76.013,53.024,36.954,98.763,3.118,43.619,38.373,500.386,44.303,105.926,60.664,120.565,102.349,53.162,113.942,130.797,66.847,92.106,170.945,65.601,31.006,10.265,7.281,27.716,28.407,130.101,124.305,5.137,27.948,123.224
ENSG00000002587,0.15,0.48,0.77,0.867,0.025,0.017,2.193,0.105,1.773,1.421,0.2,0.704,13.215,0.038,0.045,0.054,0.078,0.045,0.118,0.013,0.003,2.78,2.948,0.049,0.014,0.145,0.596,0.161,0.56,0.902,3.433,4.918,0.608,0.583,0.602,1.013,0.479,1.139,32.202,0.386,0.077,0.79,0.769,1.342,2.339,0.775,3.218,0.121,0.429,0.078,0.0,5.329,0.0,0.159,0.0,2.33,0.01
ENSG00000002726,0.247,0.101,0.1,0.092,0.0,0.0,0.027,0.005,0.0,0.041,0.132,0.005,0.0,0.012,0.0,0.0,0.207,0.015,0.007,0.0,0.003,0.0,0.002,0.0,0.005,0.042,13.789,8.353,0.0,0.015,0.804,0.004,91.466,147.37,2.823,0.338,0.036,0.256,0.014,0.3,0.12,0.012,0.012,90.734,50.195,2.431,0.042,0.002,0.027,0.001,0.0,0.0,0.0,0.0,0.005,0.001,0.002
ENSG00000002745,0.0,0.147,0.035,0.004,0.537,0.022,0.041,0.022,0.117,0.019,0.072,0.003,0.186,0.088,0.186,0.205,0.255,0.013,0.008,0.021,0.003,0.003,0.025,0.008,0.0,0.137,0.0,0.0,0.254,0.299,0.013,0.085,0.288,0.079,0.029,0.04,0.0,0.042,0.02,0.005,0.002,0.0,0.0,0.329,0.305,0.3,1.163,0.003,0.027,0.021,0.0,0.0,0.026,0.0,0.003,0.006,2.625
ENSG00000002746,0.293,1.581,0.435,0.007,0.366,0.063,0.26,0.102,0.063,0.551,1.304,0.04,0.017,0.014,0.0,0.0,0.005,0.062,0.235,2.06,2.231,0.003,0.004,0.047,0.004,0.0,0.051,0.015,4.881,1.28,0.116,9.031,0.151,0.012,0.011,0.518,0.005,0.016,0.117,0.016,0.267,0.026,0.009,0.072,0.015,0.022,0.019,1.996,0.075,0.187,0.0,0.003,0.012,0.0,0.006,0.003,0.279
ENSG00000002822,7.738,3.087,4.227,4.254,2.342,4.371,7.04,6.516,6.287,5.44,3.346,3.272,2.616,6.929,7.905,7.839,5.168,6.257,6.062,5.864,11.77,13.013,5.998,41.099,31.355,7.059,3.955,3.423,7.072,3.249,6.485,6.618,3.022,2.592,2.099,7.137,5.58,12.318,5.49,9.891,2.282,7.432,6.843,6.759,4.909,10.927,10.941,2.634,4.425,2.538,5.08,4.035,3.173,5.653,4.268,5.01,2.259
ENSG00000002834,77.267,88.064,159.833,127.758,192.155,73.799,85.864,70.277,94.015,84.885,59.285,23.812,60.674,48.972,31.659,37.288,59.802,95.477,89.756,180.079,345.723,177.89,107.624,148.21,95.215,95.637,98.191,41.127,133.08,36.139,41.993,94.483,158.088,196.707,46.441,140.911,23.433,78.275,66.49,53.761,9.671,23.961,27.444,167.088,159.826,74.714,102.691,111.882,36.552,33.768,70.159,85.268,128.565,144.33,49.802,86.64,143.304
ENSG00000002919,8.818,10.249,9.889,7.084,9.647,10.007,10.974,13.386,7.473,12.117,10.004,20.799,15.41,25.548,24.858,24.53,9.685,10.531,12.204,10.559,8.027,10.307,11.43,15.982,13.885,19.929,23.733,10.405,4.674,19.715,13.714,7.126,6.524,6.31,8.212,22.525,17.608,13.915,8.47,9.678,20.966,7.253,15.371,21.587,15.908,22.13,29.724,20.35,69.847,17.868,13.055,15.857,12.687,23.303,18.918,18.586,10.715
ENSG00000002933,0.173,0.163,0.052,0.389,1.093,0.141,1.429,0.35,0.081,0.088,0.213,1.096,0.0,0.069,0.136,0.148,0.374,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.003,3.284,13.222,611.87,0.142,12.468,7.7,0.01,60.589,79.704,60.279,27.031,3.569,6.38,33.075,7.696,0.848,16.222,5.557,40.779,44.799,7.259,17.163,0.013,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.06
ENSG00000003056,46.09,55.973,39.22,32.618,74.875,39.06,30.799,32.846,33.981,30.237,34.219,40.58,43.55,31.529,25.309,22.668,56.798,31.539,30.47,30.581,28.198,30.478,37.223,79.023,88.461,43.32,21.848,31.898,8.969,14.731,20.304,8.269,48.168,59.597,31.219,23.214,39.953,22.455,25.527,10.95,42.2,22.641,34.039,31.354,27.168,35.824,39.792,67.058,73.421,71.902,34.292,49.18,56.184,33.314,39.158,54.76,42.773
ENSG00000003096,3.628,1.781,0.589,0.198,0.011,5.872,4.966,5.842,1.794,4.1,2.974,9.239,1.054,0.132,0.379,0.497,4.195,4.591,7.445,0.84,0.612,1.252,1.796,1.517,1.774,0.091,1.289,1.85,6.62,0.911,4.057,5.462,21.974,22.314,1.181,1.334,1.545,0.276,3.024,1.162,0.566,1.915,1.178,0.982,2.059,1.409,0.313,0.429,14.564,16.69,0.132,5.218,0.096,8.698,1.047,1.712,6.071
ENSG00000003137,1.081,0.086,0.086,3.772,0.067,0.575,3.124,0.741,0.377,1.902,0.072,1.041,1.863,0.026,0.034,0.033,0.186,0.164,0.459,0.074,0.226,1.254,0.875,0.723,0.013,0.0,2.356,0.193,2.537,2.712,2.853,1.665,3.268,1.331,2.53,0.502,2.377,1.105,4.496,0.94,0.475,5.815,5.276,2.163,5.475,4.456,1.921,6.205,0.0,3.943,0.044,1.317,0.373,0.135,0.006,0.798,0.024
ENSG00000003147,3.009,13.638,5.665,3.478,0.878,2.72,1.322,1.641,4.253,4.926,7.919,2.689,2.954,0.944,0.354,0.281,18.243,1.116,2.544,0.155,0.058,0.752,1.271,1.514,2.874,0.571,3.482,3.823,2.321,7.19,4.131,5.373,10.387,13.9,30.199,15.621,10.751,15.307,1.533,25.812,0.53,16.233,14.099,10.429,13.982,8.416,7.975,0.418,5.98,0.774,0.013,0.089,0.013,7.072,6.838,0.427,0.006
ENSG00000003249,30.222,39.365,21.38,6.206,3.443,25.288,14.943,19.385,4.835,29.825,68.869,3.498,1.902,5.558,6.867,4.304,0.479,31.19,15.695,1.331,0.819,6.888,3.921,79.776,70.273,2.772,2.223,0.918,55.412,22.885,10.097,71.35,4.762,4.052,10.876,10.34,1.532,5.197,1.159,11.232,15.34,1.858,0.993,2.935,1.637,1.544,0.727,14.476,2.448,1.638,37.98,2.949,5.595,38.407,5.995,2.448,2.843
ENSG00000003393,4.644,6.553,8.008,5.715,5.694,8.072,11.885,13.15,10.378,10.206,8.379,8.584,10.293,3.711,3.619,4.038,23.486,8.686,9.009,6.295,3.081,3.266,7.367,3.01,6.588,3.482,4.432,5.233,5.674,4.359,3.215,10.164,11.221,12.978,4.545,6.345,8.466,4.143,3.879,4.257,8.722,6.681,6.479,2.497,4.402,5.817,3.165,10.166,4.428,4.434,8.478,7.984,9.288,6.777,6.083,12.205,7.821
ENSG00000003400,4.088,0.702,1.401,0.116,0.203,0.053,0.303,0.401,1.587,0.805,1.358,0.237,1.58,5.168,14.625,14.389,16.552,0.027,0.029,0.052,0.032,2.516,1.882,0.075,0.056,12.402,3.717,2.576,0.297,2.274,5.687,0.307,7.181,5.867,2.349,4.835,2.065,8.435,1.865,4.856,0.709,2.181,2.73,17.063,13.793,5.897,11.751,3.111,6.043,2.352,15.291,1.577,0.063,9.61,9.629,3.199,2.005
ENSG00000003402,3.8,0.421,0.975,1.902,4.03,0.698,4.722,1.146,6.528,1.094,0.9,15.356,18.435,31.272,24.263,18.131,16.563,3.548,3.044,4.725,4.007,3.288,4.955,1.96,2.32,29.217,7.608,6.755,2.403,5.685,13.312,2.022,12.175,9.498,7.329,7.969,30.732,21.844,7.189,14.103,41.252,28.053,22.252,18.284,10.225,14.929,19.688,9.68,27.514,3.27,8.988,4.101,6.867,24.882,14.496,7.422,4.471
ENSG00000003436,13.171,1.391,1.661,32.934,91.023,0.222,7.509,5.491,63.655,4.46,1.265,1.344,0.055,0.124,0.067,0.036,16.536,16.813,8.114,10.987,9.234,0.036,0.069,0.53,0.951,0.055,8.6,43.483,4.197,0.981,5.102,0.758,9.782,13.179,3.329,3.693,4.45,70.14,7.811,5.615,5.303,7.78,8.524,2.834,12.213,8.513,3.622,23.288,0.033,15.687,74.852,0.076,40.013,48.721,67.715,0.218,36.515
ENSG00000003509,7.389,13.834,7.111,6.531,4.589,7.114,6.807,7.767,5.921,9.673,12.398,8.022,5.338,12.003,12.045,12.477,13.457,5.077,5.375,4.3,2.005,2.685,4.965,1.874,5.698,8.177,5.134,5.694,6.867,5.415,5.705,4.464,7.412,6.804,4.678,6.397,9.708,10.521,6.613,7.091,8.146,10.628,10.565,4.803,4.918,15.447,7.342,15.224,18.996,15.282,12.136,4.66,4.627,4.708,15.048,8.154,5.143
ENSG00000003756,15.028,10.316,10.719,18.568,10.149,20.405,22.026,36.113,26.833,15.876,18.373,25.228,12.888,50.111,52.38,52.605,43.651,27.058,39.001,17.542,9.525,7.652,13.123,4.022,16.952,40.064,6.121,8.27,50.535,24.958,23.323,40.873,38.868,32.099,18.118,10.031,8.71,20.716,32.962,38.36,7.532,14.254,12.733,18.906,14.734,59.447,45.521,16.023,57.787,27.841,42.361,15.058,22.289,42.685,29.163,22.271,18.985
ENSG00000003987,0.19,2.561,1.051,0.819,0.385,1.48,1.024,2.431,0.145,1.639,2.334,0.147,1.454,1.086,1.435,1.528,1.962,0.062,0.237,0.035,0.0,0.007,0.017,0.022,0.0,1.184,0.0,0.308,7.377,2.308,0.075,5.948,1.446,0.814,11.2,0.087,0.038,0.129,0.883,0.779,0.05,0.067,0.061,0.124,0.375,0.355,0.011,0.01,0.0,0.66,0.167,0.0,0.013,0.199,0.003,0.003,0.007
ENSG00000003989,31.653,17.271,3.554,77.541,21.789,3.388,2.894,2.771,8.116,6.005,11.55,9.83,0.036,0.0,0.0,0.0,0.013,0.947,3.346,5.735,5.396,0.857,3.686,6.944,3.108,0.0,1.621,126.14,0.768,4.817,7.042,0.057,6.735,12.713,69.744,4.108,15.189,7.075,74.582,23.47,44.11,4.759,9.542,2.533,9.705,4.872,1.506,4.917,0.022,143.656,96.7,0.055,5.733,12.632,0.004,0.377,1.007
ENSG00000004059,63.538,51.192,49.948,55.368,37.414,85.404,67.049,78.505,75.117,78.222,59.768,62.766,83.989,51.771,41.465,44.524,64.472,62.659,56.509,54.198,86.965,154.877,65.313,121.479,75.813,64.604,100.158,86.465,75.041,71.652,119.69,83.572,67.549,68.747,65.899,127.05,66.794,151.094,81.499,141.037,32.653,64.031,100.165,95.173,105.56,114.616,97.268,56.824,63.56,50.741,81.86,198.68,89.048,230.688,108.866,124.927,65.374
ENSG00000004139,4.509,2.078,1.061,0.28,1.869,2.843,3.977,2.773,4.312,1.949,2.064,8.486,4.948,12.812,14.908,14.591,15.345,25.262,29.239,6.466,3.922,0.767,0.338,16.428,11.405,9.104,4.736,1.672,22.026,6.639,6.0,29.472,9.687,17.966,20.282,5.372,2.734,7.042,6.744,15.844,0.535,2.661,3.067,5.768,6.992,3.026,9.039,2.039,1.168,2.763,0.639,0.508,2.763,3.825,0.111,0.526,3.39
ENSG00000004399,19.193,24.277,23.204,62.597,64.448,11.557,13.006,5.291,82.429,12.1,7.551,0.814,0.293,30.306,2.112,7.505,41.154,8.334,3.982,25.427,51.576,1.592,0.393,33.119,15.506,35.234,14.132,8.998,5.093,12.977,13.004,19.948,9.39,6.512,14.246,12.893,18.566,46.122,16.526,18.137,5.022,22.912,22.621,11.518,18.036,20.129,22.846,5.817,0.007,1.135,11.321,0.103,10.406,102.174,3.272,0.034,9.454
ENSG00000004455,46.357,24.086,25.133,15.195,19.162,12.974,15.92,12.892,12.079,18.503,12.569,29.908,29.062,11.446,14.103,13.952,46.965,11.87,12.487,25.721,20.785,28.646,27.618,26.109,32.461,14.769,24.408,33.632,11.247,15.871,21.951,6.061,30.113,33.882,20.903,34.992,32.683,32.78,17.942,19.439,27.617,26.026,43.807,40.584,49.468,27.86,28.593,26.05,100.992,89.137,39.516,36.375,40.753,19.94,150.213,45.758,23.183
ENSG00000004468,4.503,0.062,0.065,0.013,0.264,0.047,0.04,0.049,0.093,0.09,0.038,0.041,0.009,2.449,5.316,4.552,17.199,0.071,0.063,0.0,0.0,0.004,0.024,0.017,0.021,10.229,0.0,2.925,4.752,0.735,0.476,0.042,1.802,1.144,0.154,0.694,0.899,3.092,0.217,0.128,1.333,1.473,1.018,5.703,1.806,13.436,4.014,6.668,19.37,0.083,0.0,0.007,0.016,0.023,0.014,0.029,0.006
ENSG00000004478,110.746,90.797,126.344,43.628,22.226,40.389,41.277,30.187,48.002,73.834,71.645,161.719,50.7,6.788,9.63,10.074,50.587,22.39,16.67,23.721,39.776,70.205,63.115,57.752,36.914,7.837,29.031,36.999,71.992,57.996,43.24,37.313,27.558,23.355,38.582,75.675,57.392,30.149,26.861,35.157,88.889,32.173,49.842,37.736,35.893,22.45,27.202,74.648,26.627,53.618,24.78,78.919,30.453,25.73,65.402,64.375,19.67
ENSG00000004487,70.168,113.835,129.515,69.929,31.643,152.36,153.381,159.933,96.551,128.811,112.744,29.5,29.089,24.943,34.806,33.625,65.726,48.482,52.941,26.449,29.128,47.983,56.995,27.202,32.663,24.398,10.5,12.52,95.734,15.756,21.415,86.499,44.431,43.727,30.055,22.936,18.355,16.087,38.151,18.59,33.768,16.482,20.25,20.639,27.22,30.139,19.922,48.384,67.797,63.545,60.406,56.346,63.473,51.386,148.331,60.917,42.111
ENSG00000004534,16.994,21.743,21.918,18.133,13.352,26.46,29.657,34.282,26.81,23.419,22.89,22.868,13.172,29.763,36.447,30.014,36.541,21.593,30.499,12.41,8.639,10.301,14.43,2.936,10.018,25.877,19.44,11.72,38.302,42.624,37.097,31.088,38.354,31.74,17.584,29.26,17.563,40.98,35.777,108.287,14.857,22.472,28.729,26.507,24.048,96.643,84.832,15.586,47.352,18.342,33.551,10.581,15.956,12.427,22.561,17.312,15.063
ENSG00000004660,3.546,3.502,1.085,0.558,1.952,3.848,3.282,2.414,1.569,2.323,2.89,0.577,0.474,2.061,3.992,2.194,2.417,4.84,1.798,4.475,7.762,1.363,1.055,2.585,2.737,6.056,1.485,0.396,3.481,12.425,7.07,12.384,7.448,5.739,9.499,2.462,2.635,7.731,4.167,22.958,0.653,3.768,2.48,4.321,3.224,9.027,9.62,4.701,0.58,13.483,1.639,2.151,1.286,3.735,4.939,1.774,0.553
ENSG00000004700,28.412,26.226,24.958,19.565,30.011,18.732,18.747,22.328,33.727,24.068,13.014,9.978,26.745,19.541,15.954,14.706,26.017,12.597,12.509,14.757,11.675,6.674,22.574,4.516,12.949,16.086,24.701,8.466,10.123,7.341,12.963,4.75,15.428,14.373,11.134,15.752,11.545,17.373,13.97,7.668,23.34,9.245,13.386,12.382,12.391,33.637,28.707,49.053,48.521,41.199,5.818,24.411,27.532,6.779,19.645,22.883,35.767
ENSG00000004766,4.519,1.931,2.034,3.655,3.241,2.898,3.775,3.69,3.217,2.673,2.055,3.376,3.797,4.354,6.201,5.369,6.617,4.62,5.896,2.462,1.022,0.858,3.806,0.897,2.559,3.554,5.431,2.528,3.553,3.956,3.789,6.09,6.497,6.166,4.867,3.698,4.522,3.924,3.771,3.158,7.089,3.319,3.814,4.407,4.632,8.538,6.218,6.47,8.596,11.95,3.296,3.171,4.659,2.341,5.889,5.928,5.536
ENSG00000004776,54.654,1.26,1.124,5.093,340.386,2.332,0.147,0.363,0.751,0.297,1.878,0.873,0.169,0.091,0.03,0.032,0.666,0.535,0.661,143.452,275.414,1.571,1.601,36.492,34.311,0.0,89.532,8.836,30.352,25.96,229.648,1.107,31.358,11.548,224.836,62.409,226.934,30.408,103.744,91.956,252.055,200.829,532.43,27.298,38.79,17.905,6.382,0.121,0.122,0.368,0.141,0.01,3.064,2.821,0.039,0.0,46.081
ENSG00000004777,14.018,10.843,6.5,5.331,2.167,18.258,21.948,10.694,7.313,8.697,15.219,0.601,0.207,9.177,8.75,6.372,14.85,36.874,34.432,6.889,5.889,3.206,2.755,4.322,5.845,6.425,1.197,0.438,186.239,14.893,7.765,172.697,7.475,5.031,10.569,3.972,1.422,4.411,10.143,26.49,0.469,2.173,2.544,4.328,3.306,10.373,7.184,0.401,0.66,0.489,1.572,0.868,0.899,4.531,2.195,0.21,0.513
ENSG00000004779,131.657,110.416,135.492,80.848,79.429,114.254,63.36,56.185,74.772,94.465,77.599,69.874,40.148,23.596,21.256,22.692,34.315,26.354,27.512,44.943,76.421,76.877,63.313,65.545,70.515,21.427,124.891,111.287,46.61,60.185,53.045,31.097,49.449,44.564,83.364,166.315,284.377,63.117,48.696,35.82,166.337,616.095,231.458,142.197,178.502,61.377,85.886,109.382,170.0,136.638,136.382,62.265,67.906,121.874,175.205,79.225,49.491
