histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,71.5,2.0445,0.7719,0.0247,72.06,1.7068,0.7807,0.0148
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.16,2.8201,0.8345,0.0246,76.54,1.0065,0.8436,0.0076
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.96,2.1361,0.828,0.0277,74.18,0.7823,0.8307,0.0065
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.82,2.2421,0.7684,0.0277,71.96,2.1244,0.7765,0.0193
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,71.3,2.3633,0.7681,0.0285,71.76,1.7644,0.7768,0.0194
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,74.44,2.1197,0.8233,0.0247,74.86,0.6269,0.8288,0.0081
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,73.48,1.8267,0.822,0.0259,72.9,0.781,0.8206,0.0061
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,71.58,2.6612,0.7697,0.0311,71.22,1.1122,0.7705,0.0167
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,71.1,2.7803,0.7695,0.0315,70.76,1.0597,0.7711,0.0169
H3K4me3-H3K9me3,RandomForest,73.46,2.4069,0.812,0.026,73.52,0.5805,0.8121,0.0092
H3K4me3-H3K9me3,DirectRanker,72.9,1.3892,0.814,0.0241,71.9,0.4472,0.8103,0.0064
H3K4me3-H3K9me3,LogisticRegression,71.84,2.4976,0.7822,0.0278,71.5,1.468,0.7818,0.0139
H3K4me3-H3K9me3,SVM_Linear,71.62,2.5361,0.7786,0.0283,71.12,0.8843,0.7777,0.0089
H3K4me3-H3K9me3-H3K27ac,RandomForest,75.04,2.4183,0.8319,0.0254,76.12,0.795,0.8387,0.0092
H3K4me3-H3K9me3-H3K27ac,DirectRanker,73.6,1.631,0.826,0.0251,73.98,0.7294,0.8298,0.0069
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,72.48,2.3658,0.7828,0.0261,72.88,1.2518,0.793,0.0142
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,71.74,2.4825,0.7777,0.0244,72.1,1.0464,0.7869,0.0108
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,74.96,2.142,0.8314,0.0247,75.64,1.2198,0.8386,0.0086
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.44,2.0792,0.824,0.0288,73.9,0.5244,0.8283,0.0107
