model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,456,H3K4me3-H3K27me3,,75.0,0.8213,70.8,0.7692,0.7512,0.731,0.6317,0.6777,0.79
LogisticRegression,789,H3K4me3-H3K27me3,,70.2,0.7633,70.7,0.78,0.7615,0.7512,0.6243,0.6819,0.773
LogisticRegression,1011,H3K9ac-H3K9me3,,69.3,0.7533,71.6,0.789,0.7649,0.7633,0.6295,0.69,0.723
LogisticRegression,123,H3K9ac-H3K9me3,,72.9,0.788,70.1,0.7662,0.7419,0.7455,0.5955,0.6621,0.728
LogisticRegression,42,H3K9ac-H3K9me3,,72.0,0.7699,72.4,0.7831,0.742,0.7346,0.6674,0.6993,0.719
LogisticRegression,456,H3K9ac-H3K9me3,,74.2,0.8008,70.2,0.7536,0.7066,0.7227,0.6276,0.6718,0.74
LogisticRegression,789,H3K9ac-H3K9me3,,70.8,0.7597,71.3,0.7861,0.7497,0.7727,0.6083,0.6808,0.746
LogisticRegression,1011,H3K9ac-H3K27ac,,70.4,0.7688,71.8,0.7943,0.7573,0.7558,0.6474,0.6974,0.752
LogisticRegression,123,H3K9ac-H3K27ac,,74.7,0.8043,72.6,0.7934,0.7743,0.7608,0.6463,0.6989,0.741
LogisticRegression,42,H3K9ac-H3K27ac,,74.5,0.8044,75.5,0.8279,0.801,0.767,0.7048,0.7346,0.748
LogisticRegression,456,H3K9ac-H3K27ac,,76.6,0.8185,73.4,0.7876,0.7714,0.7535,0.6728,0.7109,0.766
LogisticRegression,789,H3K9ac-H3K27ac,,71.3,0.7757,72.0,0.8019,0.7747,0.7852,0.6103,0.6868,0.758
LogisticRegression,1011,H3K9ac-H3K27me3,,69.2,0.7488,70.9,0.7832,0.7433,0.7631,0.6096,0.6777,0.738
LogisticRegression,123,H3K9ac-H3K27me3,,73.6,0.7948,70.8,0.7827,0.7612,0.7564,0.5996,0.6689,0.72
LogisticRegression,42,H3K9ac-H3K27me3,,72.2,0.7775,73.7,0.7976,0.7572,0.7571,0.6674,0.7094,0.738
LogisticRegression,456,H3K9ac-H3K27me3,,74.9,0.8088,71.0,0.7592,0.7354,0.7462,0.6111,0.6719,0.741
LogisticRegression,789,H3K9ac-H3K27me3,,72.5,0.7719,71.3,0.7858,0.7531,0.7741,0.6064,0.68,0.749
LogisticRegression,1011,H3K9me3-H3K27ac,,68.8,0.746,72.8,0.7888,0.7632,0.7602,0.6693,0.7119,0.753
LogisticRegression,123,H3K9me3-H3K27ac,,72.0,0.7745,71.1,0.7726,0.7564,0.7377,0.6402,0.6855,0.74
LogisticRegression,42,H3K9me3-H3K27ac,,74.4,0.7935,74.3,0.8078,0.7773,0.7478,0.7027,0.7245,0.747
LogisticRegression,456,H3K9me3-H3K27ac,,73.5,0.7958,71.8,0.7669,0.722,0.7308,0.6646,0.6961,0.773
LogisticRegression,789,H3K9me3-H3K27ac,,69.6,0.7528,71.4,0.7847,0.7649,0.7602,0.6302,0.6891,0.767
LogisticRegression,1011,H3K9me3-H3K27me3,,51.4,0.5084,51.5,0.5289,0.5239,0.6269,0.0837,0.1476,0.061
LogisticRegression,123,H3K9me3-H3K27me3,,51.1,0.5224,51.5,0.5105,0.5103,0.5556,0.0711,0.1261,0.077
LogisticRegression,42,H3K9me3-H3K27me3,,53.4,0.5147,51.2,0.5072,0.4988,0.4624,0.0894,0.1498,0.093
LogisticRegression,456,H3K9me3-H3K27me3,,54.2,0.5358,51.1,0.5115,0.4941,0.4746,0.0576,0.1028,0.071
LogisticRegression,789,H3K9me3-H3K27me3,,52.2,0.5107,49.4,0.5044,0.5131,0.4754,0.0577,0.1028,0.08
LogisticRegression,1011,H3K27ac-H3K27me3,,68.5,0.7443,71.6,0.7794,0.7379,0.7523,0.6474,0.6959,0.764
LogisticRegression,123,H3K27ac-H3K27me3,,73.1,0.7787,72.8,0.7912,0.778,0.7632,0.6484,0.7011,0.742
LogisticRegression,42,H3K27ac-H3K27me3,,74.1,0.8037,74.6,0.8166,0.7876,0.7597,0.6902,0.7233,0.77
LogisticRegression,456,H3K27ac-H3K27me3,,74.8,0.8071,72.2,0.7719,0.7545,0.75,0.642,0.6918,0.769
LogisticRegression,789,H3K27ac-H3K27me3,,70.3,0.7614,71.5,0.7884,0.7677,0.762,0.6302,0.6899,0.776
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3,,69.3,0.7497,72.2,0.7919,0.7721,0.7569,0.6574,0.7036,0.737
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3,,73.9,0.8015,70.5,0.7768,0.7605,0.7254,0.6443,0.6825,0.772
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3,,72.8,0.7812,73.5,0.7964,0.7701,0.7338,0.7048,0.719,0.739
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3,,74.3,0.8164,70.8,0.7634,0.727,0.7225,0.6481,0.6833,0.771
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3,,69.4,0.7462,70.8,0.7763,0.7525,0.7494,0.6302,0.6847,0.755
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27ac,,69.1,0.7588,73.2,0.7959,0.7691,0.7566,0.6873,0.7203,0.741
LogisticRegression,123,H3K4me3-H3K9ac-H3K27ac,,74.5,0.8037,72.3,0.7969,0.7866,0.7394,0.6748,0.7056,0.757
LogisticRegression,42,H3K4me3-H3K9ac-H3K27ac,,74.4,0.8027,76.4,0.828,0.8054,0.7704,0.7256,0.7473,0.763
LogisticRegression,456,H3K4me3-H3K9ac-H3K27ac,,75.2,0.8235,73.7,0.7887,0.7716,0.7563,0.677,0.7144,0.773
LogisticRegression,789,H3K4me3-H3K9ac-H3K27ac,,71.7,0.7652,71.7,0.7905,0.7715,0.7582,0.6421,0.6954,0.747
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27me3,,69.5,0.7485,71.3,0.7874,0.7517,0.7494,0.6434,0.6924,0.751
LogisticRegression,123,H3K4me3-H3K9ac-H3K27me3,,74.3,0.8039,72.0,0.792,0.7775,0.7387,0.6667,0.7009,0.78
LogisticRegression,42,H3K4me3-H3K9ac-H3K27me3,,72.7,0.7942,74.2,0.8044,0.7781,0.7494,0.6965,0.722,0.769
LogisticRegression,456,H3K4me3-H3K9ac-H3K27me3,,75.7,0.8205,72.6,0.7739,0.7524,0.7585,0.6399,0.6942,0.766
LogisticRegression,789,H3K4me3-H3K9ac-H3K27me3,,70.0,0.7522,71.1,0.7744,0.7528,0.761,0.6203,0.6835,0.763
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27ac,,69.8,0.7524,73.5,0.7989,0.7772,0.7505,0.7072,0.7282,0.751
LogisticRegression,123,H3K4me3-H3K9me3-H3K27ac,,73.2,0.7921,72.2,0.7879,0.7808,0.7454,0.6606,0.7004,0.776
LogisticRegression,42,H3K4me3-H3K9me3-H3K27ac,,74.1,0.7972,74.8,0.8123,0.7936,0.7431,0.7277,0.7353,0.75
LogisticRegression,456,H3K4me3-H3K9me3-H3K27ac,,75.1,0.8134,71.9,0.7738,0.7383,0.7243,0.6811,0.702,0.785
LogisticRegression,789,H3K4me3-H3K9me3-H3K27ac,,70.2,0.7587,72.0,0.7922,0.7762,0.7528,0.66,0.7034,0.755
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27me3,,68.8,0.7415,71.6,0.7877,0.7577,0.737,0.6753,0.7048,0.741
