histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,RandomForest,73.68,2.7662,0.8187,0.0219,74.94,1.3465,0.8301,0.0154,0.8192,0.0152,0.7786,0.0142
H3K27ac-H3K27me3,RandomForest,73.66,2.7144,0.8201,0.0212,75.02,1.6769,0.8315,0.0153,0.8205,0.0145,0.788,0.0088
H3K27me3,RandomForest,53.0,1.4543,0.5234,0.0058,51.58,1.1345,0.5192,0.004,0.5063,0.0089,0.0388,0.0053
H3K4me3,RandomForest,73.28,2.455,0.8106,0.0254,73.32,1.1454,0.8096,0.0094,0.7946,0.0177,0.7866,0.0119
H3K4me3-H3K27ac,RandomForest,74.82,2.2253,0.8306,0.0262,75.56,1.2818,0.8381,0.0103,0.825,0.0159,0.8258,0.0146
H3K4me3-H3K27ac-H3K27me3,RandomForest,74.96,2.0354,0.8317,0.0252,75.58,1.0474,0.8384,0.0089,0.8248,0.0171,0.8362,0.0108
H3K4me3-H3K27me3,RandomForest,73.32,2.2665,0.8103,0.0259,73.28,1.1077,0.8115,0.0096,0.7958,0.0185,0.789,0.0131
H3K4me3-H3K9ac,RandomForest,74.36,2.6548,0.8222,0.0247,74.78,0.9094,0.8281,0.0095,0.8107,0.0182,0.8022,0.0093
H3K4me3-H3K9ac-H3K27ac,RandomForest,75.24,2.829,0.8348,0.0253,76.16,0.9343,0.8418,0.0104,0.8294,0.018,0.8334,0.0144
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,75.2,2.497,0.8342,0.0242,76.24,1.1781,0.8425,0.0101,0.8297,0.0189,0.8372,0.0162
H3K4me3-H3K9ac-H3K27me3,RandomForest,74.16,2.3681,0.8238,0.0234,74.48,0.8198,0.8278,0.0091,0.8118,0.0172,0.806,0.0022
H3K4me3-H3K9ac-H3K9me3,RandomForest,74.28,2.5714,0.8249,0.0257,74.88,0.502,0.8292,0.0085,0.8119,0.0191,0.8132,0.0117
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,75.1,2.4485,0.8343,0.0267,76.42,0.9311,0.8432,0.0089,0.8282,0.017,0.835,0.0107
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.16,2.8201,0.8345,0.0246,76.54,1.0065,0.8436,0.0076,0.8302,0.0151,0.841,0.01
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,74.44,2.1197,0.8233,0.0247,74.86,0.6269,0.8288,0.0081,0.8105,0.0182,0.8142,0.0127
H3K4me3-H3K9me3,RandomForest,73.46,2.4069,0.812,0.026,73.52,0.5805,0.8121,0.0092,0.7978,0.0178,0.7972,0.0122
H3K4me3-H3K9me3-H3K27ac,RandomForest,75.04,2.4183,0.8319,0.0254,76.12,0.795,0.8387,0.0092,0.8246,0.0145,0.8368,0.013
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,74.96,2.142,0.8314,0.0247,75.64,1.2198,0.8386,0.0086,0.8249,0.0142,0.8346,0.0102
H3K4me3-H3K9me3-H3K27me3,RandomForest,73.26,2.4337,0.8134,0.0251,73.62,0.7259,0.8133,0.0075,0.7984,0.0183,0.799,0.0095
H3K9ac,RandomForest,73.98,2.5499,0.815,0.0236,72.84,0.929,0.8143,0.017,0.7977,0.0253,0.733,0.0143
H3K9ac-H3K27ac,RandomForest,75.12,2.6205,0.8336,0.0232,76.02,1.0895,0.8417,0.0102,0.8294,0.0142,0.8054,0.0101
H3K9ac-H3K27ac-H3K27me3,RandomForest,75.22,2.4222,0.8344,0.0206,75.94,1.1992,0.8407,0.0094,0.8293,0.0143,0.8104,0.0123
H3K9ac-H3K27me3,RandomForest,74.0,2.3527,0.8181,0.0221,72.62,1.1606,0.8157,0.0163,0.8005,0.0255,0.7466,0.0086
H3K9ac-H3K9me3,RandomForest,73.96,2.8139,0.8188,0.0239,72.8,0.6245,0.8151,0.0149,0.8007,0.0213,0.7522,0.0123
H3K9ac-H3K9me3-H3K27ac,RandomForest,75.36,2.6501,0.835,0.0235,75.82,1.2755,0.8412,0.0089,0.8285,0.0131,0.8168,0.0127
H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,75.2,2.601,0.8345,0.0214,75.8,1.1853,0.8409,0.0085,0.8293,0.0133,0.8184,0.0103
H3K9ac-H3K9me3-H3K27me3,RandomForest,74.28,2.3499,0.8184,0.0206,73.1,0.7906,0.8167,0.0133,0.8026,0.0197,0.7612,0.0106
H3K9me3,RandomForest,52.86,1.352,0.5213,0.0067,51.92,0.9257,0.5302,0.0106,0.5146,0.0088,0.0712,0.0154
H3K9me3-H3K27ac,RandomForest,74.08,2.7096,0.8224,0.0229,74.8,1.3546,0.8319,0.0143,0.8191,0.0155,0.7942,0.0138
H3K9me3-H3K27ac-H3K27me3,RandomForest,74.1,2.8045,0.8226,0.0218,75.04,1.3446,0.8327,0.0148,0.821,0.0152,0.8044,0.0129
H3K9me3-H3K27me3,RandomForest,53.62,1.3442,0.5392,0.0088,52.68,1.1925,0.546,0.0074,0.5275,0.008,0.1066,0.0128
