model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,456,H3K4me3-H3K27me3,,74.8,0.8266,70.7,0.7738,0.7681,0.7292,0.6317,0.677,0.788
SVM_Linear,789,H3K4me3-H3K27me3,,70.1,0.7646,70.7,0.7864,0.7678,0.7512,0.6243,0.6819,0.764
SVM_Linear,1011,H3K9ac-H3K9me3,,68.7,0.7459,71.4,0.7826,0.7619,0.77,0.6135,0.6829,0.72
SVM_Linear,123,H3K9ac-H3K9me3,,72.7,0.7872,68.9,0.7611,0.7265,0.7315,0.5813,0.6478,0.704
SVM_Linear,42,H3K9ac-H3K9me3,,70.1,0.7513,71.5,0.7657,0.7165,0.7279,0.6507,0.6872,0.716
SVM_Linear,456,H3K9ac-H3K9me3,,74.2,0.7991,70.1,0.7509,0.7024,0.721,0.6276,0.6711,0.739
SVM_Linear,789,H3K9ac-H3K9me3,,70.6,0.7603,70.4,0.78,0.7453,0.7674,0.5905,0.6674,0.737
SVM_Linear,1011,H3K9ac-H3K27ac,,70.9,0.7713,71.5,0.793,0.7586,0.7565,0.6375,0.6919,0.743
SVM_Linear,123,H3K9ac-H3K27ac,,74.2,0.8038,72.7,0.7968,0.7789,0.7601,0.6504,0.701,0.749
SVM_Linear,42,H3K9ac-H3K27ac,,73.6,0.8028,75.8,0.8282,0.801,0.771,0.7069,0.7375,0.746
SVM_Linear,456,H3K9ac-H3K27ac,,76.0,0.817,73.4,0.7846,0.769,0.7546,0.6708,0.7102,0.767
SVM_Linear,789,H3K9ac-H3K27ac,,71.2,0.779,71.6,0.7989,0.7723,0.7801,0.6064,0.6823,0.744
SVM_Linear,1011,H3K9ac-H3K27me3,,69.5,0.7557,71.0,0.7897,0.7638,0.7663,0.6076,0.6778,0.732
SVM_Linear,123,H3K9ac-H3K27me3,,73.3,0.7981,71.0,0.7841,0.7615,0.7577,0.6037,0.6719,0.719
SVM_Linear,42,H3K9ac-H3K27me3,,71.9,0.7791,73.5,0.7985,0.7603,0.7547,0.6653,0.7072,0.732
SVM_Linear,456,H3K9ac-H3K27me3,,74.9,0.8121,70.6,0.7584,0.7463,0.7437,0.6029,0.6659,0.738
SVM_Linear,789,H3K9ac-H3K27me3,,72.0,0.7713,71.5,0.7921,0.756,0.7766,0.6083,0.6823,0.74
SVM_Linear,1011,H3K9me3-H3K27ac,,67.4,0.7399,72.5,0.782,0.7613,0.7585,0.6633,0.7078,0.739
SVM_Linear,123,H3K9me3-H3K27ac,,71.4,0.7737,70.8,0.7671,0.7353,0.7392,0.628,0.6791,0.717
SVM_Linear,42,H3K9me3-H3K27ac,,72.6,0.7781,73.1,0.7954,0.7534,0.7366,0.6861,0.7104,0.742
SVM_Linear,456,H3K9me3-H3K27ac,,72.9,0.7915,71.4,0.7617,0.714,0.7304,0.6523,0.6891,0.766
SVM_Linear,789,H3K9me3-H3K27ac,,69.8,0.7564,71.2,0.7798,0.7636,0.7616,0.6223,0.6849,0.763
