histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std,test_aucprc_mean,test_aucprc_std,antisymmetry_mean,antisymmetry_std
H3K27ac,DirectRanker,72.36,2.0182,0.814,0.0288,72.88,0.9884,0.8198,0.0112,0.8039,0.0109,0.8636,0.0043
H3K27ac-H3K27me3,DirectRanker,72.14,2.4131,0.81,0.0292,73.12,1.6022,0.8222,0.0086,0.807,0.0097,0.877,0.0025
H3K27me3,DirectRanker,49.52,1.532,0.526,0.0055,50.38,1.001,0.5193,0.004,0.5068,0.0093,0.042,0.0051
H3K4me3,DirectRanker,72.5,1.5984,0.81,0.0235,71.42,0.8379,0.8087,0.0095,0.796,0.0085,0.8808,0.0107
H3K4me3-H3K27ac,DirectRanker,73.66,2.1007,0.826,0.0251,73.5,0.9055,0.8284,0.013,0.8168,0.0136,0.9082,0.0075
H3K4me3-H3K27ac-H3K27me3,DirectRanker,73.82,2.1406,0.824,0.0288,73.76,0.5899,0.8298,0.0106,0.8184,0.0128,0.9174,0.0083
H3K4me3-H3K27me3,DirectRanker,72.78,1.7852,0.816,0.0207,71.94,0.6656,0.8094,0.008,0.796,0.0104,0.891,0.0097
H3K4me3-H3K9ac,DirectRanker,73.48,1.9435,0.824,0.0241,72.34,0.6656,0.8208,0.0069,0.8077,0.0094,0.8884,0.0086
H3K4me3-H3K9ac-H3K27ac,DirectRanker,73.88,1.6649,0.826,0.0251,73.78,1.0085,0.8292,0.0115,0.8163,0.0128,0.9092,0.0071
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,73.86,2.305,0.826,0.0251,74.3,0.6856,0.8326,0.0073,0.8186,0.01,0.9182,0.0084
H3K4me3-H3K9ac-H3K27me3,DirectRanker,73.32,1.8512,0.82,0.0235,72.86,0.4722,0.8198,0.0068,0.8056,0.0088,0.8984,0.0088
H3K4me3-H3K9ac-H3K9me3,DirectRanker,73.4,1.7972,0.822,0.0259,72.86,0.6107,0.8188,0.0068,0.8063,0.0083,0.9046,0.0069
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,74.06,1.8474,0.826,0.0251,73.9,0.9823,0.8309,0.0085,0.82,0.0101,0.9232,0.0057
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.96,2.1361,0.828,0.0277,74.18,0.7823,0.8307,0.0065,0.8187,0.0084,0.9314,0.007
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,73.48,1.8267,0.822,0.0259,72.9,0.781,0.8206,0.0061,0.8088,0.0078,0.9138,0.0069
H3K4me3-H3K9me3,DirectRanker,72.9,1.3892,0.814,0.0241,71.9,0.4472,0.8103,0.0064,0.7984,0.0082,0.8982,0.0097
H3K4me3-H3K9me3-H3K27ac,DirectRanker,73.6,1.631,0.826,0.0251,73.98,0.7294,0.8298,0.0069,0.8169,0.0096,0.9224,0.0059
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.44,2.0792,0.824,0.0288,73.9,0.5244,0.8283,0.0107,0.8163,0.0138,0.9306,0.0069
H3K4me3-H3K9me3-H3K27me3,DirectRanker,72.94,1.4415,0.818,0.0217,71.48,0.6979,0.8105,0.0079,0.7983,0.0102,0.9074,0.0086
H3K9ac,DirectRanker,72.12,1.5849,0.816,0.0207,71.6,1.6583,0.817,0.0117,0.8007,0.0095,0.812,0.0072
H3K9ac-H3K27ac,DirectRanker,73.54,1.6682,0.826,0.0251,73.6,0.9028,0.8309,0.0099,0.8147,0.0108,0.8754,0.0049
H3K9ac-H3K27ac-H3K27me3,DirectRanker,73.82,1.3084,0.826,0.0207,74.06,1.4673,0.8305,0.0101,0.8149,0.0085,0.8882,0.0042
H3K9ac-H3K27me3,DirectRanker,72.5,1.5116,0.814,0.0207,72.1,1.3784,0.8157,0.0089,0.7979,0.008,0.8292,0.0064
H3K9ac-H3K9me3,DirectRanker,71.96,1.8582,0.814,0.0241,71.38,1.8472,0.8124,0.0133,0.7955,0.0088,0.8386,0.0088
H3K9ac-H3K9me3-H3K27ac,DirectRanker,73.62,1.489,0.822,0.0217,73.6,0.866,0.8277,0.0102,0.8148,0.0101,0.8952,0.0072
H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,73.38,1.4856,0.824,0.0195,74.42,1.3084,0.832,0.0077,0.8162,0.0069,0.906,0.0066
H3K9ac-H3K9me3-H3K27me3,DirectRanker,72.04,1.6441,0.814,0.0241,71.78,1.7754,0.8149,0.0124,0.8,0.0114,0.8534,0.0078
H3K9me3,DirectRanker,49.54,0.8933,0.524,0.0089,51.42,0.6834,0.5352,0.0128,0.5165,0.0082,0.0962,0.0093
H3K9me3-H3K27ac,DirectRanker,72.0,2.0261,0.812,0.0217,73.2,1.5083,0.8215,0.0113,0.8069,0.0097,0.885,0.0069
H3K9me3-H3K27ac-H3K27me3,DirectRanker,72.1,2.245,0.806,0.0251,73.32,1.429,0.8195,0.0115,0.8049,0.0106,0.8962,0.0057
H3K9me3-H3K27me3,DirectRanker,51.12,1.0941,0.55,0.0071,52.6,0.8944,0.554,0.0188,0.5283,0.0099,0.1348,0.0088
