histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,67.2,1.1467,0.7306,0.022,66.82,1.8213,0.7209,0.0157
H3K4me3-H3K9ac-H3K27me3,RandomForest,70.38,1.9537,0.7829,0.0184,71.7,2.5739,0.7912,0.0209
H3K4me3-H3K9ac-H3K27me3,DirectRanker,68.24,1.5758,0.762,0.0277,69.42,1.839,0.7713,0.0217
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,67.56,1.3777,0.7331,0.0181,67.44,2.5363,0.7299,0.03
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,66.98,1.2235,0.7332,0.0184,67.24,2.3007,0.7308,0.0298
H3K4me3-H3K9ac-H3K9me3,RandomForest,69.96,2.3384,0.7729,0.0187,70.78,1.5156,0.7789,0.0161
H3K4me3-H3K9ac-H3K9me3,DirectRanker,67.8,2.0075,0.754,0.023,68.38,1.6423,0.7597,0.0242
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,67.88,1.757,0.7297,0.0227,68.1,1.9144,0.7226,0.0232
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,67.68,1.9563,0.7314,0.0234,67.68,1.2755,0.7235,0.0226
H3K4me3-H3K9ac-H3K9me3-H3K27ac,RandomForest,70.96,1.9578,0.7849,0.0205,70.94,1.9256,0.7869,0.0158
H3K4me3-H3K9ac-H3K9me3-H3K27ac,DirectRanker,69.38,2.4844,0.77,0.0283,69.02,1.6634,0.7701,0.0201
H3K4me3-H3K9ac-H3K9me3-H3K27ac,LogisticRegression,67.66,0.9529,0.7271,0.0198,67.42,1.1345,0.7167,0.0125
H3K4me3-H3K9ac-H3K9me3-H3K27ac,SVM_Linear,67.3,1.57,0.7283,0.0214,66.54,1.0991,0.715,0.0126
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,RandomForest,70.98,2.1371,0.7866,0.0196,72.24,1.641,0.7963,0.0169
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.18,1.8512,0.77,0.0255,69.8,2.1541,0.7749,0.0201
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.4,1.423,0.7217,0.0203,66.3,1.43,0.7104,0.0146
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.1,1.8615,0.7218,0.022,65.86,1.7358,0.7067,0.0143
H3K4me3-H3K9ac-H3K9me3-H3K27me3,RandomForest,70.94,1.877,0.783,0.0181,71.84,2.411,0.7926,0.0204
H3K4me3-H3K9ac-H3K9me3-H3K27me3,DirectRanker,68.92,1.7697,0.768,0.0239,69.24,1.987,0.7696,0.0232
H3K4me3-H3K9ac-H3K9me3-H3K27me3,LogisticRegression,66.66,1.4117,0.7231,0.0202,66.94,2.4048,0.717,0.0252
H3K4me3-H3K9ac-H3K9me3-H3K27me3,SVM_Linear,66.38,1.2133,0.7234,0.0205,66.32,2.1856,0.7165,0.0244
H3K4me3-H3K9me3,RandomForest,69.38,2.1029,0.771,0.0225,70.1,1.0559,0.775,0.0159
H3K4me3-H3K9me3,SVM_Linear,67.36,2.3607,0.7316,0.0304,67.96,1.7516,0.7353,0.0215
H3K4me3-H3K9me3,DirectRanker,67.48,2.4994,0.75,0.0255,67.96,1.5805,0.7578,0.024
H3K4me3-H3K9me3,LogisticRegression,67.36,2.3469,0.7299,0.0293,67.72,1.7196,0.7344,0.0206
H3K4me3-H3K9me3-H3K27ac,RandomForest,70.92,2.2027,0.784,0.0209,70.9,1.5297,0.7864,0.0183
H3K4me3-H3K9me3-H3K27ac,DirectRanker,68.82,2.6214,0.762,0.0259,68.38,1.9305,0.7659,0.0244
H3K4me3-H3K9me3-H3K27ac,LogisticRegression,67.78,2.6253,0.729,0.0277,67.86,0.8961,0.7253,0.0134
H3K4me3-H3K9me3-H3K27ac,SVM_Linear,67.68,2.2107,0.7306,0.0294,67.5,0.8544,0.725,0.0154
H3K4me3-H3K9me3-H3K27ac-H3K27me3,RandomForest,71.08,1.9652,0.7876,0.0202,71.68,1.7598,0.7943,0.0191
H3K4me3-H3K9me3-H3K27ac-H3K27me3,DirectRanker,69.18,1.747,0.772,0.0259,69.64,1.6288,0.7765,0.0233
H3K4me3-H3K9me3-H3K27ac-H3K27me3,LogisticRegression,66.74,2.7996,0.7227,0.0268,67.28,1.1692,0.7205,0.0149
H3K4me3-H3K9me3-H3K27ac-H3K27me3,SVM_Linear,66.32,2.6527,0.7234,0.0291,66.86,1.3631,0.7185,0.0158
H3K4me3-H3K9me3-H3K27me3,RandomForest,70.44,1.5241,0.7781,0.019,71.16,1.73,0.7881,0.0214
H3K4me3-H3K9me3-H3K27me3,DirectRanker,68.74,1.2602,0.76,0.0245,69.26,1.8407,0.7716,0.0232
H3K4me3-H3K9me3-H3K27me3,LogisticRegression,66.58,2.3048,0.7233,0.027,67.32,1.8966,0.7292,0.0233
H3K4me3-H3K9me3-H3K27me3,SVM_Linear,66.48,2.0474,0.7239,0.0272,66.92,2.1811,0.729,0.0239
