gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000132693,17,14,38,60,0,754.706
ENSG00000023330,55,0,56,79,0,751.973
ENSG00000197746,22,0,33,63,0,738.197
ENSG00000165092,5,0,5,12,0,733.511
ENSG00000165828,15,0,18,55,0,717.72
ENSG00000126709,22,0,19,16,0,714.061
ENSG00000167658,42,0,48,56,0,706.975
ENSG00000162267,29,0,32,96,0,693.841
ENSG00000243135,20,0,19,32,0,679.884
ENSG00000143878,84,0,63,89,0,679.395
ENSG00000234745,33,0,35,27,0,678.298
ENSG00000244474,43,0,48,58,0,670.176
ENSG00000170099,48,0,49,62,0,666.253
ENSG00000187048,53,0,50,63,0,665.848
ENSG00000221857,53,0,40,67,0,664.303
ENSG00000171234,9,0,7,42,0,663.921
ENSG00000141505,49,0,55,71,0,662.055
ENSG00000161944,38,0,54,65,0,661.319
ENSG00000240224,0,0,0,9,0,640.139
ENSG00000106538,38,0,39,75,0,636.187
ENSG00000241119,37,0,40,63,0,632.364
ENSG00000204287,25,0,20,38,0,629.216
ENSG00000179218,32,0,41,37,0,629.149
ENSG00000242366,68,0,49,93,0,621.834
ENSG00000122194,71,0,68,87,0,621.306
ENSG00000021852,77,0,69,97,0,621.243
ENSG00000019582,40,0,33,44,0,621.184
ENSG00000147872,16,0,10,96,0,619.555
ENSG00000002933,66,0,66,93,0,611.87
ENSG00000113924,51,0,52,65,0,611.27
ENSG00000101856,30,0,41,48,0,610.034
ENSG00000224389,0,0,0,6,0,607.696
ENSG00000175336,47,0,46,74,0,607.031
ENSG00000072080,19,0,39,27,0,600.546
ENSG00000197408,49,0,64,76,0,590.243
ENSG00000130066,47,0,42,69,0,589.687
ENSG00000021826,17,0,16,10,0,587.618
ENSG00000244731,25,0,21,39,0,583.877
ENSG00000151726,54,0,60,68,0,582.997
ENSG00000169136,48,0,62,86,0,578.681
ENSG00000258818,78,0,82,84,0,573.957
ENSG00000138356,45,0,49,54,0,570.813
ENSG00000105379,59,0,60,83,0,569.365
ENSG00000104904,44,0,43,70,0,567.267
ENSG00000000971,57,0,59,60,0,566.609
ENSG00000169567,20,0,21,15,0,562.49
ENSG00000186910,39,0,41,53,0,555.661
ENSG00000243696,19,0,19,81,0,554.812
ENSG00000126267,30,0,38,36,0,553.802
ENSG00000139644,19,0,18,25,6,542.287
ENSG00000168653,17,0,21,17,0,534.791
ENSG00000156096,0,10,15,3,0,534.704
ENSG00000171766,43,0,39,52,0,526.051
ENSG00000244067,8,0,16,0,0,523.897
ENSG00000132855,72,0,57,70,0,516.542
ENSG00000167468,44,0,30,83,0,509.929
ENSG00000141504,43,0,31,82,0,502.0
ENSG00000164405,53,0,25,62,0,495.012
