kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
10,5,0.6818,49.72,0.5,0.6648,49.99,0.5
10,5,0.6515,66.64,0.67,0.6312,75.65,0.76
10,5,0.6195,76.35,0.76,0.6021,76.25,0.76
10,5,0.5939,77.21,0.77,0.5816,76.48,0.76
10,5,0.5732,77.36,0.77,0.5671,76.64,0.77
10,5,0.5592,77.06,0.77,0.5571,76.51,0.77
10,5,0.55,77.11,0.77,0.5503,76.28,0.76
10,5,0.5428,76.98,0.77,0.5454,76.2,0.76
10,5,0.5371,77.11,0.77,0.5418,76.37,0.76
10,5,0.5331,77.23,0.77,0.5389,76.44,0.76
10,5,0.5294,77.5,0.77,0.5366,76.37,0.76
10,5,0.528,77.29,0.77,0.5349,76.47,0.76
10,5,0.5254,77.54,0.78,0.5335,76.54,0.77
10,5,0.5233,77.67,0.78,0.5321,76.6,0.77
10,5,0.5211,77.69,0.78,0.5309,76.74,0.77
10,5,0.5208,77.63,0.78,0.5301,76.91,0.77
10,5,0.5203,77.71,0.78,0.5294,76.94,0.77
10,5,0.5188,77.85,0.78,0.5288,76.94,0.77
10,5,0.5183,77.85,0.78,0.5283,77.0,0.77
10,5,0.5163,77.85,0.78,0.5278,77.02,0.77
10,5,0.516,77.69,0.78,0.5276,77.02,0.77
10,5,0.5159,77.85,0.78,0.5271,77.02,0.77
10,5,0.514,77.78,0.78,0.5267,77.09,0.77
10,5,0.514,77.92,0.78,0.5264,77.1,0.77
10,5,0.5128,77.82,0.78,0.5259,77.13,0.77
10,5,0.5122,77.88,0.78,0.5259,77.01,0.77
10,5,0.5119,77.9,0.78,0.5254,77.16,0.77
10,5,0.5123,77.96,0.78,0.5249,77.19,0.77
10,5,0.5116,77.88,0.78,0.525,77.12,0.77
10,5,0.5109,77.9,0.78,0.5244,77.19,0.77
10,5,0.5111,77.9,0.78,0.5248,77.17,0.77
10,5,0.5105,77.93,0.78,0.5241,77.16,0.77
10,5,0.5107,77.86,0.78,0.5235,77.23,0.77
10,5,0.5086,78.06,0.78,0.5235,77.23,0.77
10,5,0.5085,77.89,0.78,0.523,77.21,0.77
10,5,0.5089,78.06,0.78,0.5225,77.25,0.77
10,5,0.5086,78.0,0.78,0.5225,77.2,0.77
10,5,0.5066,77.98,0.78,0.5224,77.28,0.77
10,5,0.5059,78.02,0.78,0.5221,77.28,0.77
10,5,0.5062,78.05,0.78,0.522,77.32,0.77
10,5,0.5058,78.04,0.78,0.5217,77.32,0.77
10,5,0.5039,78.28,0.78,0.5217,77.4,0.77
10,5,0.5037,78.19,0.78,0.5216,77.36,0.77
10,5,0.504,78.27,0.78,0.5212,77.47,0.77
10,5,0.504,78.17,0.78,0.5211,77.52,0.78
10,5,0.5021,78.42,0.78,0.5215,77.66,0.78
10,5,0.5018,78.15,0.78,0.521,77.51,0.78
10,5,0.5022,78.25,0.78,0.5207,77.51,0.78
10,5,0.4998,78.35,0.78,0.5204,77.57,0.78
10,5,0.5003,78.31,0.78,0.521,77.29,0.77
10,5,0.5006,78.27,0.78,0.5205,77.55,0.78
10,5,0.5009,78.31,0.78,0.5201,77.55,0.78
10,5,0.5005,78.15,0.78,0.5205,77.51,0.78
10,5,0.4994,78.51,0.79,0.5203,77.39,0.77
10,5,0.4993,78.24,0.78,0.5201,77.58,0.78
10,5,0.499,78.28,0.78,0.5202,77.51,0.78
10,5,0.4976,78.43,0.78,0.5204,77.5,0.77
10,5,0.4988,78.48,0.78,0.5216,77.27,0.77
10,5,0.4969,78.4,0.78,0.5204,77.42,0.77
10,5,0.4958,78.42,0.78,0.5213,77.76,0.78
10,5,0.4952,78.47,0.78,0.5206,77.4,0.77
10,5,0.4954,78.48,0.78,0.5202,77.69,0.78
10,5,0.4952,78.47,0.78,0.5205,77.51,0.78
10,5,0.4938,78.43,0.78,0.5208,77.44,0.77
10,5,0.4959,78.54,0.79,0.5201,77.52,0.78
10,5,0.4938,78.43,0.78,0.521,77.76,0.78
10,5,0.4932,78.77,0.79,0.5204,77.55,0.78
10,5,0.4956,78.5,0.78,0.5209,77.46,0.77
10,5,0.4935,78.74,0.79,0.5204,77.51,0.78
10,5,0.493,78.74,0.79,0.5208,77.52,0.78
10,5,0.4927,78.56,0.79,0.5214,77.71,0.78
10,5,0.4914,78.56,0.79,0.5215,77.47,0.77
10,5,0.4909,78.79,0.79,0.5207,77.67,0.78
10,5,0.4914,78.62,0.79,0.5209,77.55,0.78
10,5,0.4906,78.54,0.79,0.5209,77.61,0.78
10,5,0.4919,78.67,0.79,0.5213,77.54,0.78
10,5,0.4913,78.83,0.79,0.5208,77.67,0.78
10,5,0.4896,78.58,0.79,0.5216,77.76,0.78
10,5,0.4894,78.77,0.79,0.5227,77.58,0.78
10,5,0.4903,78.78,0.79,0.5216,77.78,0.78
10,5,0.4879,78.86,0.79,0.5211,77.7,0.78
10,5,0.4872,78.81,0.79,0.5215,77.73,0.78
10,5,0.4873,78.93,0.79,0.5232,77.86,0.78
10,5,0.4861,78.82,0.79,0.522,77.67,0.78
