kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
10,2,0.646,60.82,0.5,0.6105,60.82,0.5
10,2,0.5897,60.82,0.5,0.5649,60.82,0.5
10,2,0.555,72.4,0.68,0.5414,78.19,0.77
10,2,0.5409,78.42,0.77,0.5307,78.35,0.78
10,2,0.5307,78.52,0.78,0.5235,78.16,0.78
10,2,0.5249,78.35,0.78,0.5192,77.86,0.78
10,2,0.5188,78.25,0.78,0.5147,77.96,0.78
10,2,0.5154,78.29,0.78,0.5118,77.94,0.78
10,2,0.5122,78.11,0.78,0.5094,78.08,0.78
10,2,0.5099,78.2,0.78,0.5081,77.63,0.78
10,2,0.5079,78.28,0.78,0.5061,77.8,0.78
10,2,0.5068,78.12,0.78,0.5047,78.37,0.78
10,2,0.5038,78.47,0.78,0.5034,78.37,0.78
10,2,0.5053,78.42,0.78,0.5026,78.38,0.78
10,2,0.5012,78.48,0.78,0.5015,78.55,0.78
10,2,0.4999,78.58,0.78,0.5007,78.49,0.78
10,2,0.5,78.54,0.78,0.5003,78.46,0.78
10,2,0.4981,78.58,0.78,0.4997,78.49,0.78
10,2,0.4971,78.58,0.78,0.4989,78.54,0.78
10,2,0.497,78.7,0.78,0.5002,78.3,0.78
10,2,0.4962,78.73,0.78,0.498,78.68,0.78
10,2,0.4948,78.86,0.78,0.4974,78.7,0.78
10,2,0.4946,78.75,0.78,0.497,78.72,0.78
10,2,0.4931,78.86,0.78,0.4972,78.45,0.78
10,2,0.4927,78.77,0.78,0.4962,78.74,0.78
10,2,0.4922,78.86,0.78,0.4965,78.46,0.78
10,2,0.4914,78.89,0.78,0.4958,78.54,0.78
10,2,0.4909,79.0,0.78,0.4974,78.41,0.78
10,2,0.4897,79.04,0.78,0.4947,78.77,0.78
10,2,0.4903,78.97,0.78,0.4947,78.64,0.78
10,2,0.4893,79.0,0.78,0.4942,78.81,0.78
10,2,0.4884,78.9,0.78,0.4946,78.51,0.78
10,2,0.4872,78.93,0.78,0.4941,78.65,0.78
10,2,0.4864,78.98,0.78,0.4937,78.73,0.78
10,2,0.4864,79.08,0.78,0.4932,78.85,0.78
10,2,0.4858,78.98,0.78,0.4932,78.8,0.78
10,2,0.4859,79.15,0.78,0.4935,78.68,0.78
10,2,0.4838,79.08,0.78,0.493,78.72,0.78
10,2,0.4854,79.12,0.78,0.494,78.57,0.78
10,2,0.4835,79.2,0.79,0.4924,78.83,0.78
10,2,0.483,79.31,0.79,0.4931,78.68,0.78
10,2,0.4825,79.32,0.79,0.4935,78.61,0.78
10,2,0.483,79.24,0.79,0.4921,78.83,0.78
10,2,0.4811,79.2,0.79,0.4926,78.84,0.78
10,2,0.4822,79.38,0.79,0.492,78.88,0.78
10,2,0.4799,79.35,0.79,0.4945,78.6,0.78
10,2,0.4802,79.35,0.79,0.4919,78.8,0.78
10,2,0.4795,79.35,0.79,0.492,78.84,0.78
10,2,0.4789,79.39,0.79,0.4918,78.89,0.78
10,2,0.4779,79.47,0.79,0.4918,78.8,0.78
10,2,0.4788,79.55,0.79,0.4932,78.76,0.78
10,2,0.4785,79.54,0.79,0.4919,78.83,0.78
10,2,0.4775,79.5,0.79,0.4918,78.98,0.78
10,2,0.4763,79.55,0.79,0.4917,78.88,0.78
10,2,0.4759,79.58,0.79,0.492,79.04,0.78
10,2,0.4776,79.52,0.79,0.4935,79.08,0.78
10,2,0.4756,79.75,0.79,0.4925,79.04,0.78
10,2,0.4758,79.62,0.79,0.4927,78.74,0.78
10,2,0.4764,79.58,0.79,0.4923,78.77,0.78
10,2,0.4745,79.69,0.79,0.4921,79.08,0.78
10,2,0.4736,79.7,0.79,0.4939,78.69,0.78
10,2,0.4739,79.65,0.79,0.492,78.98,0.78
10,2,0.4731,79.71,0.79,0.4927,78.8,0.78
10,2,0.4723,79.74,0.79,0.4937,78.77,0.78
10,2,0.4719,79.78,0.79,0.4928,78.81,0.78
10,2,0.4719,79.73,0.79,0.4924,79.08,0.78
10,2,0.4721,79.71,0.79,0.4924,78.87,0.78
10,2,0.473,79.84,0.79,0.4937,78.85,0.78
10,2,0.4722,79.88,0.79,0.4977,78.8,0.79
10,2,0.4714,79.71,0.79,0.4926,78.88,0.78
10,2,0.4705,79.79,0.79,0.4932,78.89,0.78
10,2,0.4701,79.77,0.79,0.4935,78.88,0.78
10,2,0.4694,79.79,0.79,0.4928,79.07,0.78
10,2,0.4685,79.75,0.79,0.4981,78.72,0.78
10,2,0.4703,79.88,0.79,0.493,78.85,0.78
10,2,0.4675,79.89,0.79,0.4952,78.88,0.79
10,2,0.4696,79.92,0.79,0.493,78.87,0.78
10,2,0.4667,79.93,0.79,0.498,78.88,0.78
10,2,0.467,80.06,0.79,0.4934,78.98,0.78
10,2,0.4663,79.85,0.79,0.4939,78.93,0.78
10,2,0.4661,79.78,0.79,0.4937,78.88,0.78
10,2,0.4656,79.92,0.79,0.4938,79.02,0.78
10,2,0.4673,79.93,0.79,0.496,78.8,0.78
10,2,0.4649,79.92,0.79,0.4966,78.8,0.78
10,2,0.4639,80.04,0.79,0.4948,78.87,0.78
10,2,0.4649,80.02,0.79,0.494,78.96,0.78
10,2,0.463,80.05,0.79,0.4948,78.89,0.78
10,2,0.4628,79.98,0.79,0.4942,78.89,0.78
10,2,0.462,80.0,0.79,0.4978,78.81,0.79
10,2,0.4625,80.09,0.79,0.4969,78.85,0.78
10,2,0.4621,80.01,0.79,0.4955,78.84,0.78
10,2,0.4616,79.96,0.79,0.4975,78.79,0.78
10,2,0.4609,80.05,0.79,0.4951,78.87,0.78
10,2,0.461,79.98,0.79,0.4961,78.77,0.78
10,2,0.4599,80.13,0.79,0.4962,78.81,0.78
10,2,0.4595,79.97,0.79,0.4968,78.79,0.78
10,2,0.4602,80.12,0.79,0.4953,78.77,0.78
10,2,0.4596,80.21,0.79,0.4982,78.73,0.78
10,2,0.4599,80.29,0.8,0.4973,78.77,0.78
10,2,0.4586,80.29,0.8,0.5176,78.2,0.78
