kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
5,2,0.6433,60.7,0.5,0.6056,60.82,0.5
5,2,0.5844,62.14,0.52,0.5592,77.06,0.75
5,2,0.5502,77.61,0.76,0.5361,78.12,0.77
5,2,0.5372,77.92,0.77,0.5278,78.01,0.78
5,2,0.5295,78.15,0.78,0.5224,77.86,0.78
5,2,0.5242,78.06,0.78,0.5185,78.01,0.78
5,2,0.5203,78.08,0.78,0.5158,77.89,0.78
5,2,0.5183,78.2,0.78,0.5138,77.59,0.78
5,2,0.5157,78.31,0.78,0.5117,78.04,0.78
5,2,0.5136,78.28,0.78,0.5115,77.36,0.77
5,2,0.5131,78.24,0.78,0.5096,77.58,0.78
5,2,0.509,78.23,0.78,0.5076,78.41,0.78
5,2,0.5098,78.24,0.78,0.5063,78.3,0.78
5,2,0.5058,78.38,0.78,0.506,77.84,0.78
5,2,0.5051,78.29,0.78,0.5053,77.85,0.78
5,2,0.5023,78.33,0.78,0.5037,78.19,0.78
5,2,0.5025,78.47,0.78,0.5027,78.34,0.78
5,2,0.5006,78.46,0.78,0.5031,78.04,0.78
5,2,0.5006,78.61,0.78,0.5038,77.82,0.78
5,2,0.4992,78.56,0.78,0.5006,78.46,0.78
5,2,0.4989,78.71,0.78,0.5,78.55,0.78
5,2,0.4967,78.55,0.78,0.4996,78.43,0.78
5,2,0.4971,78.61,0.78,0.5012,78.19,0.78
5,2,0.4958,78.62,0.78,0.4991,78.41,0.78
5,2,0.4951,78.75,0.78,0.4983,78.35,0.78
5,2,0.4938,78.73,0.78,0.4975,78.47,0.78
5,2,0.4926,78.78,0.78,0.4971,78.6,0.78
5,2,0.4927,78.88,0.78,0.4983,78.3,0.78
5,2,0.4919,78.73,0.78,0.4963,78.54,0.78
5,2,0.4913,78.94,0.78,0.4961,78.53,0.78
5,2,0.4914,78.77,0.78,0.4957,78.55,0.78
5,2,0.4903,79.02,0.78,0.4966,78.42,0.78
5,2,0.4886,78.98,0.78,0.4949,78.58,0.78
5,2,0.4896,78.82,0.78,0.4947,78.6,0.78
5,2,0.4877,78.88,0.78,0.4944,78.65,0.78
5,2,0.4861,79.05,0.78,0.4955,78.41,0.78
5,2,0.4856,78.94,0.78,0.4949,78.57,0.78
5,2,0.4866,79.12,0.79,0.4943,78.68,0.78
5,2,0.4849,79.06,0.78,0.4945,78.54,0.78
5,2,0.4832,79.2,0.79,0.4937,78.66,0.78
5,2,0.4836,79.02,0.78,0.4936,78.65,0.78
5,2,0.4843,79.19,0.79,0.4946,78.6,0.78
5,2,0.4844,79.23,0.79,0.4932,78.73,0.78
5,2,0.4813,79.27,0.79,0.4943,78.57,0.78
5,2,0.4819,79.28,0.79,0.493,78.72,0.78
5,2,0.4807,79.27,0.79,0.4935,78.83,0.78
5,2,0.4814,79.34,0.79,0.4931,78.72,0.78
5,2,0.4814,79.32,0.79,0.4953,78.39,0.78
5,2,0.4812,79.19,0.79,0.4927,78.73,0.78
