kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
5,5,0.6689,60.82,0.5,0.6505,60.82,0.5
5,5,0.6363,60.82,0.5,0.6181,60.82,0.5
5,5,0.6053,60.82,0.5,0.5847,60.82,0.5
5,5,0.5737,65.2,0.57,0.5554,77.97,0.76
5,5,0.5488,78.31,0.77,0.5358,78.32,0.78
5,5,0.535,78.33,0.78,0.5254,78.0,0.78
5,5,0.5282,78.13,0.78,0.5209,77.74,0.78
5,5,0.5224,77.97,0.78,0.5176,77.62,0.78
5,5,0.52,78.09,0.78,0.5151,77.48,0.78
5,5,0.5167,77.96,0.78,0.5134,77.42,0.78
5,5,0.5147,77.98,0.78,0.5106,77.76,0.78
5,5,0.5139,78.05,0.78,0.5092,77.76,0.78
5,5,0.511,78.09,0.78,0.5081,77.7,0.78
5,5,0.5098,78.0,0.78,0.5069,77.77,0.78
5,5,0.509,78.08,0.78,0.5058,78.01,0.78
5,5,0.5083,78.23,0.78,0.5051,77.8,0.78
5,5,0.5065,78.2,0.78,0.5046,77.77,0.78
5,5,0.5057,78.2,0.78,0.5036,78.08,0.78
5,5,0.5049,78.43,0.78,0.5029,78.23,0.78
5,5,0.5025,78.42,0.78,0.5024,78.19,0.78
5,5,0.5043,78.32,0.78,0.5016,78.43,0.78
5,5,0.5025,78.38,0.78,0.5011,78.39,0.78
5,5,0.5011,78.46,0.78,0.5008,78.39,0.78
5,5,0.5014,78.61,0.78,0.5002,78.45,0.78
5,5,0.4996,78.56,0.78,0.5002,78.35,0.78
5,5,0.4996,78.5,0.78,0.5005,78.19,0.78
5,5,0.499,78.51,0.78,0.4989,78.45,0.78
5,5,0.4984,78.62,0.78,0.4986,78.53,0.78
5,5,0.4981,78.58,0.78,0.4982,78.58,0.78
5,5,0.4975,78.75,0.78,0.4979,78.58,0.78
5,5,0.4974,78.67,0.78,0.4978,78.45,0.78
5,5,0.4964,78.61,0.78,0.4972,78.6,0.78
5,5,0.4965,78.73,0.78,0.4974,78.42,0.78
