item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max
H3K4me3,0.4925,0.5059,0.6661,58.12,77.982,78.77,0.5,0.7689,0.78,0.5051,0.511,0.6325,60.82,77.627,78.41,0.5,0.7646,0.77
H3K9ac,0.4934,0.5076,0.6588,58.75,77.8653,78.69,0.5,0.7718,0.78,0.5018,0.5081,0.6227,60.82,77.7647,78.54,0.5,0.7738,0.78
H3K9me3,0.669,0.6697,0.6789,60.81,60.8199,60.82,0.5,0.5,0.5,0.6696,0.6697,0.6717,60.82,60.82,60.82,0.5,0.5,0.5
H3K27ac,0.4974,0.5151,0.6431,60.76,77.0684,77.93,0.5,0.7721,0.78,0.5133,0.5214,0.6119,60.82,76.637,77.24,0.5,0.7742,0.78
H3K27me3,0.6432,0.6527,0.6841,60.71,63.6976,65.14,0.5,0.5416,0.56,0.6472,0.6543,0.6769,60.82,63.4303,64.63,0.5,0.5364,0.56
H3K4me3-H3K9ac,0.479,0.4957,0.6331,60.82,78.3988,79.21,0.5,0.7741,0.78,0.4991,0.504,0.5923,60.82,78.0784,78.57,0.5,0.7766,0.78
H3K9ac-H3K4me3,0.4789,0.4963,0.6443,60.01,78.4077,79.28,0.5,0.7735,0.78,0.4992,0.5044,0.6044,60.82,78.0828,78.51,0.5,0.7766,0.78
H3K4me3-H3K9me3,0.4944,0.5082,0.658,60.82,77.7825,78.82,0.5,0.7644,0.78,0.5054,0.513,0.6357,60.82,77.3815,78.3,0.5,0.7619,0.77
H3K9me3-H3K4me3,0.4938,0.5068,0.6576,59.78,77.9664,78.82,0.5,0.7686,0.78,0.5052,0.5114,0.6217,60.82,77.6063,78.3,0.5,0.7646,0.77
H3K4me3-H3K27ac,0.4771,0.4957,0.6437,60.74,78.3999,79.65,0.5,0.7749,0.79,0.4955,0.5029,0.6113,60.82,78.0189,78.7,0.5,0.7741,0.78
H3K27ac-H3K4me3,0.4749,0.4951,0.6462,60.82,78.4675,79.63,0.5,0.7754,0.79,0.4955,0.5026,0.6101,60.82,78.0343,78.7,0.5,0.7743,0.78
H3K4me3-H3K27me3,0.4869,0.5053,0.6662,60.82,77.9323,79.2,0.5,0.7673,0.78,0.5002,0.5105,0.6448,60.82,77.5905,78.66,0.5,0.7664,0.78
