item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max
H3K27me3-H3K9ac-H3K27ac-H3K9me3,0.4776,0.4993,0.6652,58.79,78.1434,79.5,0.5,0.7756,0.79,0.4931,0.5028,0.6308,60.82,77.9229,78.98,0.5,0.7757,0.79
H3K27me3-H3K9me3-H3K9ac-H3K27ac,0.479,0.5041,0.6688,60.82,77.712,79.46,0.5,0.7673,0.79,0.4936,0.5065,0.6559,60.82,77.6664,78.96,0.5,0.7705,0.79
H3K27me3-H3K9me3-H3K27ac-H3K9ac,0.4803,0.5027,0.6708,60.82,77.8596,79.35,0.5,0.7689,0.79,0.4926,0.5041,0.6545,60.82,77.7606,79.0,0.5,0.7714,0.79
H3K27me3-H3K27ac-H3K9ac-H3K9me3,0.478,0.4992,0.6599,60.81,78.1524,79.36,0.5,0.7739,0.79,0.4927,0.502,0.6305,60.82,77.9488,79.0,0.5,0.7751,0.79
H3K27me3-H3K27ac-H3K9me3-H3K9ac,0.4771,0.5018,0.6577,60.82,78.0255,79.48,0.5,0.7727,0.79,0.4922,0.504,0.6336,60.82,77.8449,79.02,0.5,0.7746,0.79
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.468,0.4937,0.6485,60.82,78.5947,79.88,0.5,0.7758,0.79,0.4923,0.5015,0.6077,60.82,78.2788,79.12,0.5,0.7741,0.78
H3K4me3-H3K9ac-H3K9me3-H3K27me3-H3K27ac,0.472,0.494,0.659,60.82,78.4694,79.9,0.5,0.7743,0.79,0.4921,0.5005,0.6357,60.82,78.0909,79.16,0.5,0.7717,0.79
H3K4me3-H3K9ac-H3K27ac-H3K9me3-H3K27me3,0.4717,0.4955,0.6773,57.59,78.3091,79.73,0.5,0.7737,0.79,0.4922,0.5018,0.647,60.82,78.0382,79.12,0.5,0.7714,0.78
H3K4me3-H3K9ac-H3K27ac-H3K27me3-H3K9me3,0.4706,0.4953,0.6632,60.82,78.2851,79.94,0.5,0.7714,0.79,0.4909,0.5013,0.6464,60.82,77.9687,79.16,0.5,0.7688,0.79
H3K4me3-H3K9ac-H3K27me3-H3K9me3-H3K27ac,0.47,0.4943,0.6586,60.82,78.4047,80.0,0.5,0.7733,0.79,0.4917,0.5015,0.6272,60.82,78.1276,79.19,0.5,0.7722,0.79
H3K4me3-H3K9ac-H3K27me3-H3K27ac-H3K9me3,0.4705,0.4947,0.6675,60.32,78.4056,79.85,0.5,0.7735,0.79,0.4927,0.5019,0.6403,60.82,78.0486,79.11,0.5,0.7714,0.79
H3K4me3-H3K9me3-H3K9ac-H3K27ac-H3K27me3,0.4707,0.4948,0.6642,60.82,78.4399,79.98,0.5,0.775,0.79,0.4917,0.5018,0.6323,60.82,78.0106,79.1,0.5,0.7714,0.78
H3K4me3-H3K9me3-H3K9ac-H3K27me3-H3K27ac,0.4723,0.4959,0.6685,60.82,78.4342,79.79,0.5,0.774,0.79,0.4919,0.5014,0.6337,60.82,78.1139,79.14,0.5,0.7715,0.78
H3K4me3-H3K9me3-H3K27ac-H3K9ac-H3K27me3,0.4694,0.4914,0.6515,60.82,78.7491,80.06,0.5,0.7781,0.79,0.492,0.4993,0.6049,60.82,78.311,79.16,0.5,0.7745,0.79
H3K4me3-H3K9me3-H3K27ac-H3K27me3-H3K9ac,0.4705,0.4929,0.6561,60.82,78.5609,79.93,0.5,0.7756,0.79,0.4913,0.4997,0.6238,60.82,78.2517,79.1,0.5,0.7738,0.78
H3K4me3-H3K9me3-H3K27me3-H3K9ac-H3K27ac,0.4686,0.491,0.6495,60.82,78.7418,80.06,0.5,0.778,0.79,0.4916,0.4991,0.6098,60.82,78.2986,79.16,0.5,0.7746,0.79
H3K4me3-H3K9me3-H3K27me3-H3K27ac-H3K9ac,0.4705,0.4944,0.6728,60.86,78.5884,79.9,0.5,0.7773,0.79,0.4923,0.5014,0.6396,60.82,78.2712,79.15,0.5,0.7742,0.79
H3K4me3-H3K27ac-H3K9ac-H3K9me3-H3K27me3,0.4705,0.4955,0.6615,60.82,78.2558,79.78,0.5,0.7715,0.79,0.4921,0.5021,0.6408,60.82,78.0158,79.1,0.5,0.7707,0.78
H3K4me3-H3K27ac-H3K9ac-H3K27me3-H3K9me3,0.4705,0.4961,0.6786,57.43,78.2733,79.82,0.5,0.7739,0.79,0.4919,0.5027,0.6451,60.82,77.9999,79.04,0.5,0.7713,0.78
H3K4me3-H3K27ac-H3K9me3-H3K9ac-H3K27me3,0.4692,0.4916,0.6523,60.82,78.6326,79.89,0.5,0.7766,0.79,0.4924,0.4992,0.6154,60.82,78.2931,79.14,0.5,0.7744,0.78
H3K4me3-H3K27ac-H3K9me3-H3K27me3-H3K9ac,0.4707,0.4937,0.659,60.82,78.4738,79.94,0.5,0.7742,0.79,0.4923,0.5012,0.6304,60.82,78.2324,79.22,0.5,0.7736,0.78
H3K4me3-H3K27ac-H3K27me3-H3K9ac-H3K9me3,0.4712,0.4926,0.658,60.79,78.6256,80.06,0.5,0.7758,0.79,0.4914,0.4993,0.6253,60.82,78.3703,79.21,0.5,0.7745,0.79
H3K4me3-H3K27ac-H3K27me3-H3K9me3-H3K9ac,0.4692,0.4917,0.6575,60.82,78.5856,79.92,0.5,0.7759,0.79,0.4919,0.4993,0.6277,60.82,78.3379,79.22,0.5,0.7748,0.79
H3K4me3-H3K27me3-H3K9ac-H3K9me3-H3K27ac,0.4712,0.4934,0.6809,58.71,78.5846,79.96,0.5,0.7772,0.79,0.4914,0.4997,0.6508,60.82,78.3204,79.19,0.5,0.7742,0.79
H3K4me3-H3K27me3-H3K9ac-H3K27ac-H3K9me3,0.4709,0.4941,0.6575,60.82,78.4185,79.86,0.5,0.7737,0.79,0.4916,0.5007,0.6311,60.82,78.1034,79.18,0.5,0.7723,0.79
H3K4me3-H3K27me3-H3K9me3-H3K9ac-H3K27ac,0.4707,0.494,0.6509,60.82,78.5623,79.82,0.5,0.7766,0.79,0.4928,0.5011,0.6049,60.82,78.1664,79.02,0.5,0.7741,0.78
H3K4me3-H3K27me3-H3K9me3-H3K27ac-H3K9ac,0.4716,0.4958,0.6797,59.62,78.3858,79.86,0.5,0.7752,0.79,0.4915,0.5013,0.6399,60.82,78.0742,79.16,0.5,0.7717,0.79
H3K4me3-H3K27me3-H3K27ac-H3K9ac-H3K9me3,0.4702,0.4927,0.6629,60.81,78.5528,79.94,0.5,0.7752,0.79,0.4912,0.4996,0.6356,60.82,78.2606,79.07,0.5,0.774,0.78
H3K4me3-H3K27me3-H3K27ac-H3K9me3-H3K9ac,0.4697,0.4938,0.6594,60.74,78.4941,79.84,0.5,0.7749,0.79,0.4923,0.5009,0.6256,60.82,78.3176,79.21,0.5,0.7748,0.79
H3K9ac-H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.4713,0.4941,0.6466,60.82,78.57,79.84,0.5,0.7757,0.79,0.4935,0.5018,0.5997,60.82,78.1792,79.07,0.5,0.7741,0.78
H3K9ac-H3K4me3-H3K9me3-H3K27me3-H3K27ac,0.4699,0.4935,0.6587,59.58,78.4872,79.96,0.49,0.7744,0.79,0.4918,0.5008,0.6233,60.82,78.0923,79.14,0.5,0.7713,0.78
H3K9ac-H3K4me3-H3K27ac-H3K9me3-H3K27me3,0.4685,0.496,0.6578,60.82,78.4025,79.71,0.5,0.7743,0.79,0.4925,0.5037,0.6222,60.82,78.0207,79.03,0.5,0.7714,0.78
H3K9ac-H3K4me3-H3K27ac-H3K27me3-H3K9me3,0.4718,0.4971,0.6651,60.52,78.2622,79.81,0.5,0.7718,0.79,0.4912,0.5024,0.6376,60.82,77.9865,79.12,0.5,0.7709,0.78
H3K9ac-H3K4me3-H3K27me3-H3K9me3-H3K27ac,0.4697,0.4944,0.6649,60.82,78.36,79.84,0.5,0.773,0.79,0.4918,0.5014,0.6431,60.82,78.0757,79.11,0.5,0.771,0.78
H3K9ac-H3K4me3-H3K27me3-H3K27ac-H3K9me3,0.4706,0.4982,0.6673,59.62,78.0956,79.79,0.5,0.771,0.79,0.4929,0.5053,0.6384,60.82,77.7494,78.96,0.5,0.7683,0.78
H3K9ac-H3K9me3-H3K4me3-H3K27ac-H3K27me3,0.4736,0.497,0.67,59.9,78.3005,79.78,0.49,0.7712,0.79,0.4921,0.5024,0.644,60.82,78.0036,79.02,0.5,0.7708,0.78
H3K9ac-H3K9me3-H3K4me3-H3K27me3-H3K27ac,0.4692,0.4929,0.6516,60.82,78.5748,79.94,0.5,0.7763,0.79,0.4918,0.5006,0.6111,60.82,78.2164,79.11,0.5,0.774,0.78
H3K9ac-H3K9me3-H3K27ac-H3K4me3-H3K27me3,0.4693,0.4951,0.6729,60.68,78.3197,79.81,0.5,0.7724,0.79,0.4912,0.5014,0.6517,60.82,78.1149,79.11,0.5,0.7714,0.78
H3K9ac-H3K9me3-H3K27ac-H3K27me3-H3K4me3,0.4715,0.4948,0.6799,58.63,78.3839,79.82,0.5,0.7739,0.79,0.4913,0.5011,0.6587,60.82,78.0734,79.1,0.5,0.7716,0.79
