item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max
H3K4me3-H3K27me3-H3K9me3,0.486,0.5042,0.6696,60.82,78.0246,79.24,0.5,0.7683,0.78,0.5002,0.5093,0.6505,60.82,77.6423,78.61,0.5,0.7673,0.78
H3K9me3-H3K4me3-H3K27me3,0.4877,0.506,0.6723,59.9,77.8852,79.24,0.5,0.7667,0.78,0.4999,0.5108,0.6492,60.82,77.6084,78.64,0.5,0.7676,0.78
H3K9me3-H3K27me3-H3K4me3,0.4848,0.5015,0.6529,59.78,78.2799,79.23,0.5,0.7726,0.78,0.4999,0.5074,0.6105,60.82,77.9073,78.7,0.5,0.7718,0.78
H3K27me3-H3K4me3-H3K9me3,0.4865,0.5029,0.6652,60.81,78.1385,79.17,0.5,0.7696,0.78,0.5003,0.508,0.6418,60.82,77.8395,78.6,0.5,0.7698,0.78
H3K27me3-H3K9me3-H3K4me3,0.4868,0.5031,0.6676,60.4,78.1569,79.17,0.5,0.7704,0.78,0.5002,0.5081,0.6396,60.82,77.8665,78.61,0.5,0.7694,0.78
H3K4me3-H3K27ac-H3K27me3,0.4744,0.4937,0.6538,60.82,78.4833,79.71,0.5,0.7746,0.79,0.4918,0.4997,0.6261,60.82,78.2505,78.91,0.5,0.7743,0.78
H3K4me3-H3K27me3-H3K27ac,0.476,0.5005,0.666,60.12,78.0619,79.52,0.5,0.771,0.79,0.4932,0.5062,0.6339,60.82,77.8014,78.89,0.5,0.7707,0.78
H3K27ac-H3K4me3-H3K27me3,0.4739,0.4957,0.6653,58.85,78.4101,79.71,0.5,0.775,0.79,0.4925,0.5019,0.6275,60.82,78.1156,78.84,0.5,0.7742,0.78
H3K27ac-H3K27me3-H3K4me3,0.4737,0.4962,0.6558,60.82,78.2882,79.77,0.5,0.7718,0.79,0.4919,0.5025,0.6263,60.82,77.9625,78.84,0.5,0.7709,0.78
H3K27me3-H3K4me3-H3K27ac,0.4734,0.4971,0.663,60.41,78.2951,79.84,0.5,0.7717,0.79,0.4921,0.5035,0.6342,60.82,77.84,78.85,0.5,0.7698,0.78
H3K27me3-H3K27ac-H3K4me3,0.4739,0.4954,0.6707,60.82,78.3825,79.7,0.5,0.7735,0.79,0.4917,0.5012,0.6479,60.82,78.0886,78.93,0.5,0.7714,0.78
H3K9ac-H3K9me3-H3K27ac,0.4801,0.4982,0.6402,62.12,78.3656,79.27,0.52,0.7774,0.79,0.4955,0.5025,0.5952,60.82,78.1687,78.72,0.5,0.7775,0.79
H3K9ac-H3K27ac-H3K9me3,0.48,0.5001,0.6531,60.82,78.1854,79.23,0.5,0.7744,0.79,0.4953,0.5033,0.6155,60.82,77.9662,78.72,0.5,0.7744,0.78
H3K9me3-H3K9ac-H3K27ac,0.4803,0.4998,0.6508,60.82,78.2044,79.23,0.5,0.7749,0.79,0.496,0.5039,0.6163,60.82,77.9297,78.68,0.5,0.7744,0.78
H3K9me3-H3K27ac-H3K9ac,0.4831,0.5047,0.6805,58.89,77.8857,79.13,0.5,0.7712,0.79,0.4959,0.5064,0.6553,60.82,77.734,78.69,0.5,0.7715,0.78
H3K27ac-H3K9ac-H3K9me3,0.4803,0.5015,0.6645,60.81,78.0686,79.31,0.5,0.7724,0.79,0.4957,0.5048,0.6387,60.82,77.752,78.74,0.5,0.7716,0.78
H3K27ac-H3K9me3-H3K9ac,0.4802,0.4994,0.6475,60.82,78.1782,79.29,0.5,0.7729,0.79,0.4957,0.5034,0.6152,60.82,77.9687,78.74,0.5,0.7744,0.78
H3K9ac-H3K9me3-H3K27me3,0.4883,0.5085,0.6661,59.7,77.7845,78.94,0.5,0.7687,0.78,0.4983,0.5084,0.6352,60.82,77.6492,78.8,0.5,0.7702,0.78
H3K9ac-H3K27me3-H3K9me3,0.4894,0.5108,0.6775,60.81,77.5064,78.88,0.5,0.7641,0.78,0.4974,0.5093,0.6623,60.82,77.4931,78.76,0.5,0.766,0.78
H3K9me3-H3K9ac-H3K27me3,0.4895,0.5071,0.679,59.14,77.8291,78.89,0.5,0.7691,0.78,0.4976,0.5063,0.6575,60.82,77.8427,78.74,0.5,0.7715,0.78
H3K9me3-H3K27me3-H3K9ac,0.4897,0.5086,0.6641,60.82,77.8017,78.93,0.5,0.7688,0.78,0.498,0.5076,0.6407,60.82,77.7661,78.74,0.5,0.7715,0.78
H3K27me3-H3K9ac-H3K9me3,0.4889,0.5081,0.6671,60.82,77.7445,78.94,0.5,0.7671,0.78,0.4978,0.5075,0.6464,60.82,77.7424,78.79,0.5,0.7705,0.78
H3K27me3-H3K9me3-H3K9ac,0.4895,0.5089,0.6643,60.79,77.7195,78.89,0.5,0.7672,0.78,0.4983,0.5084,0.6387,60.82,77.7287,78.7,0.5,0.7711,0.78
H3K9ac-H3K27ac-H3K27me3,0.477,0.4996,0.6621,60.82,78.1132,79.39,0.5,0.7734,0.79,0.4923,0.5022,0.6436,60.82,77.9325,78.98,0.5,0.7744,0.79
H3K9ac-H3K27me3-H3K27ac,0.4775,0.4993,0.6618,60.82,78.1527,79.44,0.5,0.7733,0.79,0.4925,0.5021,0.635,60.81,77.9331,79.06,0.5,0.7738,0.79
H3K27ac-H3K9ac-H3K27me3,0.4769,0.4966,0.6538,60.82,78.3412,79.5,0.5,0.7772,0.79,0.4924,0.5008,0.6263,60.82,78.0668,79.03,0.5,0.7764,0.79
H3K27ac-H3K27me3-H3K9ac,0.4764,0.4985,0.6569,60.76,78.2175,79.44,0.5,0.7756,0.79,0.4929,0.5024,0.6247,60.82,78.0103,78.89,0.5,0.7744,0.79
H3K27me3-H3K9ac-H3K27ac,0.4784,0.5005,0.6791,56.94,78.0149,79.43,0.5,0.7723,0.79,0.4924,0.5029,0.6533,60.82,77.9272,78.93,0.5,0.7739,0.79
H3K27me3-H3K27ac-H3K9ac,0.4793,0.5016,0.6665,58.37,78.0706,79.35,0.5,0.7744,0.79,0.493,0.5039,0.6261,60.82,77.8237,78.91,0.5,0.773,0.79
H3K9me3-H3K27ac-H3K27me3,0.4954,0.5189,0.6757,60.74,76.4925,77.88,0.5,0.7626,0.78,0.5099,0.5233,0.6607,60.82,76.0554,77.24,0.5,0.7635,0.78
H3K9me3-H3K27me3-H3K27ac,0.4967,0.5189,0.6828,56.24,76.4693,77.96,0.5,0.7634,0.78,0.5097,0.523,0.6627,60.82,76.0928,77.25,0.5,0.7636,0.78
H3K27ac-H3K9me3-H3K27me3,0.4953,0.5151,0.6729,60.32,76.7902,77.9,0.5,0.7671,0.78,0.5096,0.5203,0.6531,60.82,76.3128,77.27,0.5,0.7673,0.78
H3K27ac-H3K27me3-H3K9me3,0.4966,0.521,0.6695,60.82,76.3478,77.9,0.5,0.7609,0.78,0.5096,0.5243,0.6559,60.82,75.8905,77.25,0.5,0.7602,0.78
H3K27me3-H3K9me3-H3K27ac,0.4949,0.5174,0.6815,58.83,76.5676,77.92,0.5,0.764,0.78,0.5095,0.5218,0.6671,60.82,76.1137,77.23,0.5,0.7642,0.78
H3K27me3-H3K27ac-H3K9me3,0.4963,0.5163,0.6669,60.82,76.73,77.88,0.5,0.7666,0.78,0.5096,0.521,0.651,60.82,76.249,77.25,0.5,0.7663,0.78
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.4725,0.4944,0.6624,60.13,78.5098,79.74,0.5,0.7757,0.79,0.4945,0.5016,0.6214,60.82,78.2224,79.06,0.5,0.7743,0.78
H3K4me3-H3K9ac-H3K27ac-H3K9me3,0.4765,0.4971,0.6591,60.82,78.4186,79.66,0.5,0.7732,0.79,0.4946,0.5028,0.628,60.82,78.1904,78.93,0.5,0.774,0.78
H3K4me3-H3K9me3-H3K9ac-H3K27ac,0.4757,0.4965,0.6607,60.82,78.3005,79.55,0.5,0.7716,0.79,0.4943,0.5024,0.6301,60.82,78.0387,78.98,0.5,0.7715,0.78
H3K4me3-H3K9me3-H3K27ac-H3K9ac,0.4749,0.4977,0.6722,60.82,78.18,79.66,0.5,0.7701,0.79,0.4941,0.5036,0.6517,60.82,78.0172,78.88,0.5,0.7713,0.78
H3K4me3-H3K27ac-H3K9ac-H3K9me3,0.4724,0.4953,0.6626,59.44,78.4276,79.74,0.5,0.7753,0.79,0.4949,0.5023,0.6242,60.82,78.1577,78.95,0.5,0.7742,0.78
H3K4me3-H3K27ac-H3K9me3-H3K9ac,0.474,0.497,0.6554,60.81,78.2845,79.56,0.5,0.7723,0.79,0.4952,0.5038,0.6262,60.82,77.9626,78.89,0.5,0.7715,0.78
