h_value_1,Predicted
0.0,0.3219306028293096
0.0,7.965582180424565
25.2743,3.349877604484258
41.4786,33.10960540218148
16.643,2.217343820159141
0.284236,5.00457125800054
6.70987,6.732212893927768
19.2521,15.031600068571922
0.0,25.14285027667222
12.3578,12.368153624562556
5.80388,40.12747093774597
20.9074,6.467958960325815
0.31996,8.938863860888578
12.3578,12.368153624562556
14.797,21.026396829725833
110.894,66.47906762314321
93.0804,8.938863860888578
8.51378,9.667875086526303
8.51378,9.667875086526303
11.1051,5.561940265052366
0.262684,13.242368263436234
0.0,0.3219306028293096
16.963,19.589576482575758
10.4383,25.690223086380293
55.234,18.969630624358977
10.7538,1.1943521271536797
0.681877,25.493139603401655
0.0,3.582235101409472
8.74772,23.5368334025974
11.8606,4.739783600702746
0.0101261,0.028763271855645745
0.0,25.14285027667222
48.6022,23.47855090544793
28.1376,8.938863860888578
14.4787,6.818494546856011
0.0,0.10381701835424502
28.1376,8.938863860888578
5.1564,7.114208876269112
0.0263074,25.14285027667222
2.71852,5.108710708748195
7.13458,7.316584225913621
0.0,25.14285027667222
0.0354119,12.301032464099258
0.0,25.14285027667222
16.6777,7.965582180424565
0.0,0.10381701835424502
8.95032,1.1943521271536797
0.00557245,0.05072896157267044
15.3164,16.169152052462742
11.0104,31.135827475961996
0.0116914,0.3219306028293096
1.39825,27.45691285437198
41.4786,33.10960540218148
12.3578,12.368153624562556
6.98341,12.342392615345767
6.02159,1.1903780158967292
134.521,42.39200675316666
2.13995,23.47855090544793
8.36759,17.11055260954291
0.0,15.031600068571922
0.0484491,1.1903780158967292
3.31146,5.813064275535353
4.54608,25.14285027667222
0.229331,25.14285027667222
0.0,14.119967493040289
0.0339982,8.938863860888578
1.2981,25.14285027667222
6.17769,3.349877604484258
7.13458,7.316584225913621
10.2515,8.0368954000731
11.0804,19.206512418769286
0.750729,7.893665714124208
64.2441,37.03308955992063
37.4822,20.084397827802917
36.9143,33.46837443232778
5.57806,10.005653349379799
0.0,25.14285027667222
0.803882,1.1903780158967292
28.1376,8.938863860888578
0.0120289,1.5639949887952305
1.90568,25.14285027667222
0.0,25.14285027667222
12.3578,12.368153624562556
4.68443,3.8545634942640694
0.0,25.14285027667222
3.31146,5.813064275535353
2.41063,32.1217669531746
0.0,25.14285027667222
0.0270653,0.3219306028293096
18.2979,5.991839274746928
0.431812,25.14285027667222
0.0,2.217343820159141
48.6022,23.47855090544793
0.16082,3.673977583007519
0.210362,25.14285027667222
0.0,25.14285027667222
15.0913,10.551228074105566
18.7903,15.031600068571922
63.9287,17.07731258852259
0.0,25.14285027667222
12.3578,12.368153624562556
15.9221,16.169152052462742
929.506,8.295096730214999
1.87192,6.472092204646527
16.651,16.511016782650792
73.5095,16.224393455785325
0.792194,0.3219306028293096
4.74741,18.727701246601733
0.0,25.14285027667222
0.463196,4.724763261289593
10.6416,8.938863860888578
2.02097,5.991839274746928
0.0,0.3219306028293096
2.59898,3.7482912702412974
0.143328,0.05072896157267044
35.0216,29.93671434784967
38.2598,9.012212177959341
2.2593,6.732212893927768
2.36522,8.938863860888578
0.0,7.114208876269112
1.75124,16.384556108888887
60.2093,66.47906762314321
23.9011,35.06005971228633
1.49123,25.14285027667222
0.346404,1.1903780158967292
8.26423,7.76911304215368
0.0,25.14285027667222
71.1452,31.135827475961996
5.1564,7.114208876269112
75.3521,14.836250704771127
0.711576,4.678498616524726
2.80295,7.653194425152625
0.31687,12.342392615345767
0.511178,17.483273085745406
7.67191,18.045564446608946
0.00557245,0.05072896157267044
7.75683,4.739783600702746
22.1832,13.040005465357973
