histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5212,75.5214,0.7541,0.5124,75.8564,0.7575,75.84,0.7576,5,4
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5233,75.4443,0.7528,0.5141,75.8473,0.758,75.97,0.7586,4,3
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5274,75.4188,0.7516,0.5179,75.7859,0.756,75.54,0.7543,4,8
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.536,74.4833,0.7438,0.529,74.773,0.7467,74.24,0.741,4,20
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.5251,75.3984,0.7524,0.5164,75.7558,0.7567,75.53,0.754,4,10
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5299,75.0518,0.7494,0.5191,75.5984,0.7545,75.39,0.7531,4,13
H3K4me3-H3K27ac-H3K27me3,0.5285,75.2996,0.7502,0.5194,75.735,0.7564,76.45,0.7632,3,1
H3K4me3-H3K9ac-H3K27ac,0.5309,75.3784,0.7509,0.5211,75.9404,0.7586,75.84,0.757,3,5
H3K4me3-H3K9ac-H3K27me3,0.5417,74.3049,0.7402,0.5343,74.5075,0.7435,74.36,0.7431,3,19
H3K4me3-H3K9ac-H3K9me3,0.5438,74.3767,0.7405,0.5349,74.7211,0.746,75.44,0.7528,3,12
H3K4me3-H3K9me3-H3K27ac,0.5287,75.3526,0.7508,0.5197,75.8559,0.757,75.57,0.7551,3,7
H3K4me3-H3K9me3-H3K27me3,0.5482,73.6821,0.7376,0.5406,73.9473,0.738,73.55,0.7346,3,26
H3K9ac-H3K27ac-H3K27me3,0.5265,75.1582,0.7495,0.5167,75.6199,0.7549,76.45,0.7633,3,2
H3K9ac-H3K9me3-H3K27ac,0.5293,75.2086,0.75,0.5216,75.7013,0.7561,75.54,0.7544,3,9
H3K9ac-H3K9me3-H3K27me3,0.547,73.4893,0.7332,0.5402,73.6281,0.7351,73.97,0.7381,3,23
H3K9me3-H3K27ac-H3K27me3,0.5382,74.444,0.742,0.527,75.2289,0.7509,74.76,0.746,3,18
H3K27ac-H3K27me3,0.5447,74.3333,0.7408,0.5332,75.1116,0.7493,75.15,0.7497,2,14
H3K4me3-H3K27ac,0.5372,75.1345,0.7493,0.5258,75.6514,0.7552,75.53,0.7537,2,11
H3K4me3-H3K27me3,0.5564,73.2971,0.7301,0.55,73.5092,0.7336,73.48,0.7334,2,27
H3K4me3-H3K9ac,0.5477,74.2606,0.7396,0.5392,74.4696,0.7434,74.95,0.748,2,16
H3K4me3-H3K9me3,0.5535,73.6097,0.7356,0.5452,73.8934,0.7377,73.6,0.7346,2,25
H3K9ac-H3K27ac,0.5381,75.0341,0.7494,0.5277,75.5469,0.7538,75.77,0.7549,2,6
H3K9ac-H3K27me3,0.5496,73.451,0.7326,0.5416,73.7765,0.7368,74.06,0.7392,2,22
H3K9ac-H3K9me3,0.5517,73.4571,0.7313,0.5423,73.679,0.7348,74.13,0.7392,2,21
H3K9me3-H3K27ac,0.5446,74.427,0.7412,0.5327,75.2236,0.7509,75.1,0.7485,2,15
H3K9me3-H3K27me3,0.6907,56.5777,0.5591,0.691,56.8806,0.5607,56.48,0.5625,2,29
H3K27ac,0.5485,74.3953,0.7411,0.5366,75.2713,0.7514,74.79,0.7465,1,17
H3K27me3,0.693,56.3727,0.5588,0.6937,56.7473,0.5595,56.31,0.5604,1,30
H3K4me3,0.5652,73.0129,0.7291,0.5574,73.3151,0.732,72.97,0.7289,1,28
H3K9ac,0.5577,73.3201,0.7297,0.5473,73.7111,0.7351,73.81,0.7359,1,24
H3K9me3,0.7151,51.2832,0.5,0.7147,51.7508,0.5083,51.65,0.5063,1,31
