Using device: cuda
Epoch 1, Time:0.952202558517456,  Loss: 121.21815490722656
Epoch 2, Time:0.27808427810668945,  Loss: 604.8984375
Epoch 3, Time:0.27819347381591797,  Loss: 585.84619140625
Epoch 4, Time:0.2774312496185303,  Loss: 96.80359649658203
Epoch 5, Time:0.2778158187866211,  Loss: 949.279296875
Epoch 6, Time:0.277724027633667,  Loss: 350.7008056640625
Epoch 7, Time:0.277738094329834,  Loss: 29.867982864379883
Epoch 8, Time:0.2783205509185791,  Loss: 22.021726608276367
Epoch 9, Time:0.27740955352783203,  Loss: 87.80255889892578
Epoch 10, Time:0.2778744697570801,  Loss: 52.94819259643555
Epoch 11, Time:0.27738475799560547,  Loss: 18.057193756103516
Epoch 12, Time:0.2769358158111572,  Loss: 30.498104095458984
Epoch 13, Time:0.27732253074645996,  Loss: 30.870140075683594
Epoch 14, Time:0.27732229232788086,  Loss: 14.568359375
Epoch 15, Time:0.2770230770111084,  Loss: 9.64923095703125
Epoch 16, Time:0.277296781539917,  Loss: 0.6633047461509705
Epoch 17, Time:0.27783656120300293,  Loss: 16.5661678314209
Epoch 18, Time:0.27728748321533203,  Loss: 26.436410903930664
Epoch 19, Time:0.2770404815673828,  Loss: 3.8323514461517334
Epoch 20, Time:0.27709412574768066,  Loss: 1.665407657623291
Epoch 21, Time:0.2778925895690918,  Loss: 0.4158253073692322
Epoch 22, Time:0.27730894088745117,  Loss: 0.33347904682159424
Epoch 23, Time:0.2775537967681885,  Loss: 0.4884079694747925
Epoch 24, Time:0.27734971046447754,  Loss: 0.4247213900089264
Epoch 25, Time:0.27766966819763184,  Loss: 0.7548630237579346
Epoch 26, Time:0.27802491188049316,  Loss: 0.6940473318099976
Epoch 27, Time:0.2779731750488281,  Loss: 0.9367604851722717
Epoch 28, Time:0.277207612991333,  Loss: 0.05710483342409134
Epoch 29, Time:0.2773263454437256,  Loss: 0.1959114372730255
Epoch 30, Time:0.27800512313842773,  Loss: 0.2273276001214981
Epoch 31, Time:0.2772684097290039,  Loss: 0.2980089783668518
Epoch 32, Time:0.2807881832122803,  Loss: 0.3863774240016937
Epoch 33, Time:0.2774662971496582,  Loss: 0.1422012746334076
Epoch 34, Time:0.2789177894592285,  Loss: 0.4430133104324341
Epoch 35, Time:0.2776196002960205,  Loss: 0.0066658915020525455
Epoch 36, Time:0.2772829532623291,  Loss: 0.0016543979290872812
Epoch 37, Time:0.27712249755859375,  Loss: 0.2315281480550766
Epoch 38, Time:0.27695417404174805,  Loss: 0.3763037621974945
Epoch 39, Time:0.27771782875061035,  Loss: 0.13621746003627777
Epoch 40, Time:0.2771167755126953,  Loss: 0.2951996326446533
Epoch 41, Time:0.2771580219268799,  Loss: 0.397038072347641
Epoch 42, Time:0.27710938453674316,  Loss: 0.2790396213531494
Epoch 43, Time:0.27703285217285156,  Loss: 0.38339006900787354
Epoch 44, Time:0.27714037895202637,  Loss: 0.2399992048740387
Epoch 45, Time:0.27717161178588867,  Loss: 0.6025823950767517
Epoch 46, Time:0.2770111560821533,  Loss: 1.0872173309326172
Epoch 47, Time:0.2770388126373291,  Loss: 0.5505063533782959
Epoch 48, Time:0.2770822048187256,  Loss: 1.8199450969696045
Epoch 49, Time:0.2774529457092285,  Loss: 6.263969421386719
Epoch 50, Time:0.27695584297180176,  Loss: 0.7963022589683533
Epoch 51, Time:0.2769331932067871,  Loss: 2.6232523918151855
Epoch 52, Time:0.27701401710510254,  Loss: 20.765575408935547
Epoch 53, Time:0.2770729064941406,  Loss: 53.38775634765625
Epoch 54, Time:0.27759647369384766,  Loss: 5.69934606552124
Epoch 55, Time:0.2773253917694092,  Loss: 3.521976947784424
Epoch 56, Time:0.27737879753112793,  Loss: 1.557382345199585
Epoch 57, Time:0.2771282196044922,  Loss: 1.1541829109191895
Epoch 58, Time:0.276914119720459,  Loss: 15.402323722839355
Epoch 59, Time:0.2774968147277832,  Loss: 0.2574828267097473
Epoch 60, Time:0.27713847160339355,  Loss: 46.601261138916016
Epoch 61, Time:0.2777278423309326,  Loss: 1.8570489883422852
Epoch 62, Time:0.2778029441833496,  Loss: 2.866219997406006
Epoch 63, Time:0.2777550220489502,  Loss: 46.871158599853516
Epoch 64, Time:0.2777225971221924,  Loss: 4.574605464935303
Epoch 65, Time:0.27730679512023926,  Loss: 5.523249626159668
Epoch 66, Time:0.2771317958831787,  Loss: 1.5572434663772583
Epoch 67, Time:0.2770845890045166,  Loss: 5.238157272338867
Epoch 68, Time:0.2783050537109375,  Loss: 2.999560832977295
Epoch 69, Time:0.27751970291137695,  Loss: 1.1377923488616943
Epoch 70, Time:0.2776060104370117,  Loss: 1.6574053764343262
Epoch 71, Time:0.27706336975097656,  Loss: 1.0248351097106934
Epoch 72, Time:0.2776215076446533,  Loss: 2.1429085731506348
Epoch 73, Time:0.27747321128845215,  Loss: 345.9135437011719
Epoch 74, Time:0.2770407199859619,  Loss: 113.904052734375
Epoch 75, Time:0.27715229988098145,  Loss: 19.146011352539062
Epoch 76, Time:0.27707362174987793,  Loss: 4.370395183563232
Epoch 77, Time:0.27713680267333984,  Loss: 42.84580612182617
Epoch 78, Time:0.27699708938598633,  Loss: 18.0542049407959
Epoch 79, Time:0.27718615531921387,  Loss: 94.44630432128906
Epoch 80, Time:0.2770392894744873,  Loss: 60.6794319152832
Epoch 81, Time:0.2770826816558838,  Loss: 8.650811195373535
Epoch 82, Time:0.2773308753967285,  Loss: 197.78407287597656
Epoch 83, Time:0.2771799564361572,  Loss: 18.19408416748047
Epoch 84, Time:0.2774031162261963,  Loss: 23.28263282775879
Epoch 85, Time:0.2771334648132324,  Loss: 67.65384674072266
Epoch 86, Time:0.2772409915924072,  Loss: 15.466901779174805
Epoch 87, Time:0.2774379253387451,  Loss: 151.046630859375
Epoch 88, Time:0.27780842781066895,  Loss: 54.94837188720703
Epoch 89, Time:0.27724575996398926,  Loss: 4.396799087524414
Epoch 90, Time:0.27740955352783203,  Loss: 0.6440463066101074
Epoch 91, Time:0.27732133865356445,  Loss: 1.1914924383163452
Epoch 92, Time:0.277360200881958,  Loss: 4.2867279052734375
Epoch 93, Time:0.2772362232208252,  Loss: 0.9678208827972412
Epoch 94, Time:0.2779397964477539,  Loss: 4.94874906539917
Epoch 95, Time:0.2774832248687744,  Loss: 0.5496364235877991
Epoch 96, Time:0.2774326801300049,  Loss: 0.5788452625274658
Epoch 97, Time:0.2773396968841553,  Loss: 0.1282447874546051
Epoch 98, Time:0.2773873805999756,  Loss: 0.23912858963012695
Epoch 99, Time:0.27741551399230957,  Loss: 0.6376199126243591
Epoch 100, Time:0.27742600440979004,  Loss: 0.5445781946182251
Average loss on the test data: 1.8021
Average loss on the test data: 1.8021
