Epoch 1, Loss: 2882.92138671875
Epoch 2, Loss: 187.85470581054688
Epoch 3, Loss: 464.6248779296875
Epoch 4, Loss: 452.8014831542969
Epoch 5, Loss: 2333.385986328125
Epoch 6, Loss: 162.38998413085938
Epoch 7, Loss: 336.8159484863281
Epoch 8, Loss: 110.73375701904297
Epoch 9, Loss: 26.938907623291016
Epoch 10, Loss: 118.12208557128906
Epoch 11, Loss: 103.8494644165039
Epoch 12, Loss: 304.4777526855469
Epoch 13, Loss: 336.20623779296875
Epoch 14, Loss: 59.30707931518555
Epoch 15, Loss: 66.76737213134766
Epoch 16, Loss: 58.86029815673828
Epoch 17, Loss: 110.1529312133789
Epoch 18, Loss: 137.4817352294922
Epoch 19, Loss: 109.20926666259766
Epoch 20, Loss: 39.92612838745117
Epoch 21, Loss: 120.04788208007812
Epoch 22, Loss: 2581.55224609375
Epoch 23, Loss: 347.912841796875
Epoch 24, Loss: 2193.7509765625
Epoch 25, Loss: 130.90887451171875
Epoch 26, Loss: 86.50536346435547
Epoch 27, Loss: 76.1363296508789
Epoch 28, Loss: 2540.090576171875
Epoch 29, Loss: 477.18243408203125
Epoch 30, Loss: 153.1899871826172
Epoch 31, Loss: 84.78206634521484
Epoch 32, Loss: 2232.837158203125
Epoch 33, Loss: 264.7279968261719
Epoch 34, Loss: 225.44595336914062
Epoch 35, Loss: 54.80925369262695
Epoch 36, Loss: 1998.3619384765625
Epoch 37, Loss: 173.5052032470703
Epoch 38, Loss: 48.63943099975586
Epoch 39, Loss: 95.8447265625
Epoch 40, Loss: 32.70985412597656
Epoch 41, Loss: 23.051868438720703
Epoch 42, Loss: 17.715065002441406
Epoch 43, Loss: 11.13644027709961
Epoch 44, Loss: 10.83008098602295
Epoch 45, Loss: 5.997047424316406
Epoch 46, Loss: 581.5423583984375
Epoch 47, Loss: 209.05654907226562
Epoch 48, Loss: 9.945028305053711
Epoch 49, Loss: 96.13864135742188
Epoch 50, Loss: 13.871005058288574
Epoch 51, Loss: 6.588255882263184
Epoch 52, Loss: 96.88081359863281
Epoch 53, Loss: 11.242212295532227
Epoch 54, Loss: 16.495765686035156
Epoch 55, Loss: 19.40812110900879
Epoch 56, Loss: 6.895519256591797
Epoch 57, Loss: 52.48183822631836
Epoch 58, Loss: 1.578464150428772
Epoch 59, Loss: 18.971385955810547
Epoch 60, Loss: 31.26218605041504
Epoch 61, Loss: 13.170710563659668
Epoch 62, Loss: 10.75235366821289
Epoch 63, Loss: 3.925363302230835
Epoch 64, Loss: 14.267937660217285
Epoch 65, Loss: 3.3797690868377686
Epoch 66, Loss: 15.472918510437012
Epoch 67, Loss: 13.825579643249512
Epoch 68, Loss: 1.228932499885559
Epoch 69, Loss: 14.341681480407715
Epoch 70, Loss: 3.2056496143341064
Epoch 71, Loss: 0.867962121963501
Epoch 72, Loss: 2.7532780170440674
Epoch 73, Loss: 1.1316357851028442
Epoch 74, Loss: 0.6309652328491211
Epoch 75, Loss: 1.4012128114700317
Epoch 76, Loss: 1.1748604774475098
Epoch 77, Loss: 1.2502715587615967
Epoch 78, Loss: 0.9651256799697876
Epoch 79, Loss: 0.5335579514503479
Epoch 80, Loss: 0.8084978461265564
Epoch 81, Loss: 0.619507372379303
Epoch 82, Loss: 10.091679573059082
Epoch 83, Loss: 0.6921675205230713
Epoch 84, Loss: 0.6112889647483826
Epoch 85, Loss: 0.8090192675590515
Epoch 86, Loss: 0.7180545330047607
Epoch 87, Loss: 0.4781259000301361
Epoch 88, Loss: 0.5261669158935547
Epoch 89, Loss: 0.6247744560241699
Epoch 90, Loss: 0.41240736842155457
Epoch 91, Loss: 9.7033052444458
Epoch 92, Loss: 0.315153032541275
Epoch 93, Loss: 9.572688102722168
Epoch 94, Loss: 0.540570855140686
Epoch 95, Loss: 0.4783899188041687
Epoch 96, Loss: 0.4481193721294403
Epoch 97, Loss: 0.4522385597229004
Epoch 98, Loss: 0.11882998049259186
Epoch 99, Loss: 0.5408449172973633
Epoch 100, Loss: 0.32175683975219727
