/group/pmc021/amunif/epi-thesis/workflow/09_Learning_to_Rank/output/autoencoder/all_features/model/dol1l2-autoencoder-linear-0.2-checkpoint-1000000-100-64-0.005-0.001.pt
Using device: cuda
Current CUDA device: 0
CUDA device name: Tesla V100-PCIE-32GB
Epoch [93/200], Train Loss: 0.0060, Test Loss: 0.0123
Epoch [94/200], Train Loss: 0.0059, Test Loss: 0.0124
Epoch [95/200], Train Loss: 0.0058, Test Loss: 0.0122
Epoch [96/200], Train Loss: 0.0058, Test Loss: 0.0124
Epoch [97/200], Train Loss: 0.0057, Test Loss: 0.0122
Epoch [98/200], Train Loss: 0.0068, Test Loss: 0.0147
Epoch [99/200], Train Loss: 0.0099, Test Loss: 0.0130
Epoch [100/200], Train Loss: 0.0078, Test Loss: 0.0122
Epoch [101/200], Train Loss: 0.0065, Test Loss: 0.0119
Epoch [102/200], Train Loss: 0.0060, Test Loss: 0.0120
Epoch [103/200], Train Loss: 0.0059, Test Loss: 0.0121
Epoch [104/200], Train Loss: 0.0057, Test Loss: 0.0120
Epoch [105/200], Train Loss: 0.0056, Test Loss: 0.0121
Epoch [106/200], Train Loss: 0.0055, Test Loss: 0.0122
Epoch [107/200], Train Loss: 0.0054, Test Loss: 0.0122
Epoch [108/200], Train Loss: 0.0057, Test Loss: 0.0123
Epoch [109/200], Train Loss: 0.0056, Test Loss: 0.0121
Epoch [110/200], Train Loss: 0.0054, Test Loss: 0.0120
Epoch [111/200], Train Loss: 0.0053, Test Loss: 0.0121
Epoch [112/200], Train Loss: 0.0055, Test Loss: 0.0123
Epoch [113/200], Train Loss: 0.0061, Test Loss: 0.0125
Epoch [114/200], Train Loss: 0.0061, Test Loss: 0.0131
Epoch [115/200], Train Loss: 0.0105, Test Loss: 0.0130
Epoch [116/200], Train Loss: 0.0067, Test Loss: 0.0123
Epoch [117/200], Train Loss: 0.0059, Test Loss: 0.0123
Epoch [118/200], Train Loss: 0.0055, Test Loss: 0.0121
Epoch [119/200], Train Loss: 0.0054, Test Loss: 0.0123
Epoch [120/200], Train Loss: 0.0057, Test Loss: 0.0123
Epoch [121/200], Train Loss: 0.0054, Test Loss: 0.0125
Epoch [122/200], Train Loss: 0.0052, Test Loss: 0.0120
Epoch [123/200], Train Loss: 0.0051, Test Loss: 0.0123
Epoch [124/200], Train Loss: 0.0051, Test Loss: 0.0124
Epoch [125/200], Train Loss: 0.0052, Test Loss: 0.0125
Epoch [126/200], Train Loss: 0.0051, Test Loss: 0.0124
Epoch [127/200], Train Loss: 0.0053, Test Loss: 0.0130
Epoch [128/200], Train Loss: 0.0053, Test Loss: 0.0129
Epoch [129/200], Train Loss: 0.0052, Test Loss: 0.0131
Epoch [130/200], Train Loss: 0.0053, Test Loss: 0.0140
Epoch [131/200], Train Loss: 0.0071, Test Loss: 0.0126
Epoch [132/200], Train Loss: 0.0054, Test Loss: 0.0129
Epoch [133/200], Train Loss: 0.0052, Test Loss: 0.0125
Epoch [134/200], Train Loss: 0.0051, Test Loss: 0.0126
Epoch [135/200], Train Loss: 0.0051, Test Loss: 0.0132
Epoch [136/200], Train Loss: 0.0050, Test Loss: 0.0131
Epoch [137/200], Train Loss: 0.0049, Test Loss: 0.0128
Epoch [138/200], Train Loss: 0.0050, Test Loss: 0.0133
Epoch [139/200], Train Loss: 0.0052, Test Loss: 0.0131
Epoch [140/200], Train Loss: 0.0053, Test Loss: 0.0139
Epoch [141/200], Train Loss: 0.0051, Test Loss: 0.0131
Epoch [142/200], Train Loss: 0.0051, Test Loss: 0.0129
Epoch [143/200], Train Loss: 0.0050, Test Loss: 0.0142
Epoch [144/200], Train Loss: 0.0064, Test Loss: 0.0131
Epoch [145/200], Train Loss: 0.0057, Test Loss: 0.0139
Epoch [146/200], Train Loss: 0.0050, Test Loss: 0.0135
Epoch [147/200], Train Loss: 0.0048, Test Loss: 0.0145
Epoch [148/200], Train Loss: 0.0047, Test Loss: 0.0139
Epoch [149/200], Train Loss: 0.0048, Test Loss: 0.0146
Epoch [150/200], Train Loss: 0.0047, Test Loss: 0.0147
Epoch [151/200], Train Loss: 0.0048, Test Loss: 0.0146
Epoch [152/200], Train Loss: 0.0053, Test Loss: 0.0149
Epoch [153/200], Train Loss: 0.0050, Test Loss: 0.0152
Epoch [154/200], Train Loss: 0.0121, Test Loss: 0.0177
Epoch [155/200], Train Loss: 0.0065, Test Loss: 0.0156
Epoch [156/200], Train Loss: 0.0055, Test Loss: 0.0155
Epoch [157/200], Train Loss: 0.0050, Test Loss: 0.0159
Epoch [158/200], Train Loss: 0.0048, Test Loss: 0.0159
Epoch [159/200], Train Loss: 0.0047, Test Loss: 0.0160
Epoch [160/200], Train Loss: 0.0046, Test Loss: 0.0162
Epoch [161/200], Train Loss: 0.0045, Test Loss: 0.0157
Epoch [162/200], Train Loss: 0.0045, Test Loss: 0.0163
Epoch [163/200], Train Loss: 0.0044, Test Loss: 0.0164
Epoch [164/200], Train Loss: 0.0044, Test Loss: 0.0173
Epoch [165/200], Train Loss: 0.0045, Test Loss: 0.0185
Epoch [166/200], Train Loss: 0.0046, Test Loss: 0.0179
Epoch [167/200], Train Loss: 0.0046, Test Loss: 0.0187
Epoch [168/200], Train Loss: 0.0049, Test Loss: 0.0200
Epoch [169/200], Train Loss: 0.0056, Test Loss: 0.0172
Epoch [170/200], Train Loss: 0.0058, Test Loss: 0.0154
Epoch [171/200], Train Loss: 0.0052, Test Loss: 0.0159
Epoch [172/200], Train Loss: 0.0050, Test Loss: 0.0157
Epoch [173/200], Train Loss: 0.0048, Test Loss: 0.0154
Epoch [174/200], Train Loss: 0.0046, Test Loss: 0.0154
Epoch [175/200], Train Loss: 0.0047, Test Loss: 0.0155
Epoch [176/200], Train Loss: 0.0047, Test Loss: 0.0149
Epoch [177/200], Train Loss: 0.0047, Test Loss: 0.0167
Epoch [178/200], Train Loss: 0.0047, Test Loss: 0.0161
Epoch [179/200], Train Loss: 0.0048, Test Loss: 0.0148
Epoch [180/200], Train Loss: 0.0046, Test Loss: 0.0141
Epoch [181/200], Train Loss: 0.0058, Test Loss: 0.0157
Epoch [182/200], Train Loss: 0.0069, Test Loss: 0.0127
Epoch [183/200], Train Loss: 0.0054, Test Loss: 0.0126
Epoch [184/200], Train Loss: 0.0050, Test Loss: 0.0123
Epoch [185/200], Train Loss: 0.0048, Test Loss: 0.0123
Epoch [186/200], Train Loss: 0.0047, Test Loss: 0.0130
Epoch [187/200], Train Loss: 0.0047, Test Loss: 0.0122
Epoch [188/200], Train Loss: 0.0046, Test Loss: 0.0123
Epoch [189/200], Train Loss: 0.0046, Test Loss: 0.0125
Epoch [190/200], Train Loss: 0.0047, Test Loss: 0.0130
Epoch [191/200], Train Loss: 0.0049, Test Loss: 0.0121
Epoch [192/200], Train Loss: 0.0049, Test Loss: 0.0123
Epoch [193/200], Train Loss: 0.0048, Test Loss: 0.0124
Epoch [194/200], Train Loss: 0.0047, Test Loss: 0.0128
Epoch [195/200], Train Loss: 0.0046, Test Loss: 0.0132
Epoch [196/200], Train Loss: 0.0047, Test Loss: 0.0133
Epoch [197/200], Train Loss: 0.0049, Test Loss: 0.0149
Epoch [198/200], Train Loss: 0.0049, Test Loss: 0.0130
Epoch [199/200], Train Loss: 0.0047, Test Loss: 0.0129
Epoch [200/200], Train Loss: 0.0045, Test Loss: 0.0124
BinaryClassifierDropOutL1L2(
  (network): Sequential(
    (0): Linear(in_features=256, out_features=64, bias=True)
    (1): LeakyReLU(negative_slope=0.1)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=64, out_features=32, bias=True)
    (4): LeakyReLU(negative_slope=0.1)
    (5): Dropout(p=0.2, inplace=False)
    (6): Linear(in_features=32, out_features=1, bias=True)
    (7): Sigmoid()
  )
)
Epoch [1/100] - [TRAIN] Loss: 0.6128, Accuracy: 69.15%, AUC: 0.69 [VAL] Loss: 0.5971, Accuracy: 69.86%, Precision: 0.71, Recall: 0.62, F1-Score: 0.66, AUC: 0.69
Epoch [2/100] - [TRAIN] Loss: 0.5934, Accuracy: 70.39%, AUC: 0.70 [VAL] Loss: 0.5939, Accuracy: 69.98%, Precision: 0.70, Recall: 0.63, F1-Score: 0.66, AUC: 0.70
Epoch [3/100] - [TRAIN] Loss: 0.5887, Accuracy: 70.61%, AUC: 0.70 [VAL] Loss: 0.5920, Accuracy: 69.97%, Precision: 0.70, Recall: 0.63, F1-Score: 0.66, AUC: 0.70
Epoch [4/100] - [TRAIN] Loss: 0.5860, Accuracy: 70.84%, AUC: 0.71 [VAL] Loss: 0.5910, Accuracy: 70.17%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [5/100] - [TRAIN] Loss: 0.5849, Accuracy: 70.82%, AUC: 0.71 [VAL] Loss: 0.5912, Accuracy: 70.08%, Precision: 0.70, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [6/100] - [TRAIN] Loss: 0.5839, Accuracy: 70.83%, AUC: 0.71 [VAL] Loss: 0.5903, Accuracy: 70.18%, Precision: 0.71, Recall: 0.62, F1-Score: 0.66, AUC: 0.70
Epoch [7/100] - [TRAIN] Loss: 0.5830, Accuracy: 70.85%, AUC: 0.71 [VAL] Loss: 0.5884, Accuracy: 70.34%, Precision: 0.70, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [8/100] - [TRAIN] Loss: 0.5814, Accuracy: 70.93%, AUC: 0.71 [VAL] Loss: 0.5894, Accuracy: 70.39%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [9/100] - [TRAIN] Loss: 0.5801, Accuracy: 71.08%, AUC: 0.71 [VAL] Loss: 0.5880, Accuracy: 70.29%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [10/100] - [TRAIN] Loss: 0.5799, Accuracy: 71.06%, AUC: 0.71 [VAL] Loss: 0.5845, Accuracy: 70.58%, Precision: 0.70, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [11/100] - [TRAIN] Loss: 0.5806, Accuracy: 71.00%, AUC: 0.71 [VAL] Loss: 0.5880, Accuracy: 70.32%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [12/100] - [TRAIN] Loss: 0.5790, Accuracy: 71.03%, AUC: 0.71 [VAL] Loss: 0.5890, Accuracy: 70.30%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [13/100] - [TRAIN] Loss: 0.5785, Accuracy: 71.06%, AUC: 0.71 [VAL] Loss: 0.5861, Accuracy: 70.35%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [14/100] - [TRAIN] Loss: 0.5788, Accuracy: 71.09%, AUC: 0.71 [VAL] Loss: 0.5848, Accuracy: 70.50%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
