histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K27ac,RandomForest,74.46,2.5696,0.8276,0.0251,75.08,1.4202,0.8378,0.0117
H3K27ac,LogisticRegression,73.14,2.4089,0.7942,0.022,74.3,1.4422,0.8086,0.0153
H3K27ac,SVM_Linear,73.16,2.1197,0.7942,0.0212,73.94,1.5453,0.8097,0.0155
H3K27ac,DirectRanker,73.28,1.7655,0.82,0.0245,73.84,1.0945,0.8281,0.0147
H3K27ac-H3K27me3,RandomForest,74.32,2.9828,0.8295,0.0259,75.1,1.6748,0.8367,0.0139
H3K27ac-H3K27me3,DirectRanker,73.82,1.8674,0.822,0.0259,74.1,1.4195,0.8306,0.0194
H3K27ac-H3K27me3,LogisticRegression,72.42,2.6357,0.7849,0.0238,72.76,2.3965,0.7926,0.0182
H3K27ac-H3K27me3,SVM_Linear,72.22,2.4386,0.7834,0.0241,72.64,2.179,0.7926,0.0185
H3K27me3,RandomForest,56.98,2.5054,0.6172,0.0257,55.92,1.006,0.6037,0.0139
H3K27me3,DirectRanker,56.02,2.1088,0.622,0.0164,55.84,0.695,0.61,0.0101
H3K27me3,SVM_Linear,55.1,1.8641,0.5708,0.0139,53.56,0.9915,0.5561,0.0066
H3K27me3,LogisticRegression,54.5,2.0273,0.576,0.0196,53.32,0.8927,0.5589,0.0035
H3K4me3,RandomForest,73.98,2.3145,0.8135,0.0258,72.58,0.8408,0.8053,0.0117
H3K4me3,DirectRanker,73.36,1.5076,0.82,0.02,72.04,0.9127,0.8124,0.0118
H3K4me3,LogisticRegression,73.24,2.072,0.8,0.0221,71.5,1.1726,0.7884,0.0126
H3K4me3,SVM_Linear,73.24,2.0219,0.801,0.0216,71.42,1.1628,0.7886,0.0127
H3K4me3-H3K27ac,RandomForest,75.7,2.4423,0.8372,0.0276,76.32,1.2071,0.8438,0.0137
H3K4me3-H3K27ac,DirectRanker,74.46,1.7516,0.828,0.0217,74.64,1.2602,0.8353,0.0137
