model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,456,H3K9me3,,52.0,0.4972,51.8,0.5082,0.4882,0.5667,0.035,0.0659,0.028
RandomForest,456,H3K9me3,,52.6,0.5064,51.6,0.5065,0.4882,0.5312,0.035,0.0656,0.056
SVM_Linear,456,H3K9me3,,52.3,0.4917,51.1,0.4892,0.4802,0.44,0.0226,0.0431,0.029
DirectRanker,789,H3K9me3,100,48.5,0.51,50.7,0.5127,0.5102,0.5051,0.9801,0.6667,0.049
LogisticRegression,789,H3K9me3,,52.3,0.5031,49.4,0.4891,0.4985,0.4211,0.0159,0.0307,0.023
RandomForest,789,H3K9me3,,51.9,0.4998,50.4,0.5087,0.5113,0.6522,0.0298,0.057,0.041
SVM_Linear,789,H3K9me3,,52.1,0.5007,49.6,0.4931,0.4985,0.4545,0.0099,0.0195,0.014
DirectRanker,1011,H3K27ac,100,72.1,0.8,73.3,0.8252,0.81,0.7117,0.7869,0.7474,0.887
LogisticRegression,1011,H3K27ac,,70.0,0.7674,73.0,0.7982,0.791,0.771,0.6574,0.7097,0.779
RandomForest,1011,H3K27ac,,72.1,0.7991,72.9,0.8245,0.8065,0.7596,0.6733,0.7138,0.781
SVM_Linear,1011,H3K27ac,,70.4,0.7691,72.3,0.7981,0.7896,0.7672,0.6434,0.6999,0.778
DirectRanker,123,H3K27ac,100,73.6,0.83,73.1,0.8182,0.8088,0.7002,0.7927,0.7436,0.892
LogisticRegression,123,H3K27ac,,73.7,0.7991,73.0,0.7973,0.7853,0.7546,0.6687,0.7091,0.787
RandomForest,123,H3K27ac,,74.5,0.8372,75.5,0.8342,0.8245,0.78,0.6992,0.7374,0.803
SVM_Linear,123,H3K27ac,,73.7,0.7985,72.6,0.8003,0.7886,0.7512,0.6626,0.7041,0.784
DirectRanker,42,H3K27ac,47,74.2,0.83,74.7,0.8489,0.8383,0.705,0.815,0.756,0.901
LogisticRegression,42,H3K27ac,,74.4,0.8033,76.4,0.832,0.8164,0.7829,0.7048,0.7418,0.767
RandomForest,42,H3K27ac,,76.6,0.8402,76.8,0.8549,0.8491,0.7773,0.7256,0.7505,0.803
SVM_Linear,42,H3K27ac,,74.0,0.8013,75.8,0.8344,0.8173,0.7773,0.6965,0.7346,0.767
DirectRanker,456,H3K27ac,100,75.5,0.85,72.8,0.812,0.7937,0.6981,0.7757,0.7349,0.898
LogisticRegression,456,H3K27ac,,76.1,0.8233,75.0,0.7988,0.774,0.781,0.6749,0.7241,0.821
RandomForest,456,H3K27ac,,77.4,0.8575,75.4,0.8319,0.8125,0.7727,0.6996,0.7343,0.803
SVM_Linear,456,H3K27ac,,75.9,0.8235,75.2,0.8001,0.7754,0.7847,0.6749,0.7257,0.818
DirectRanker,789,H3K27ac,100,71.0,0.79,75.3,0.8363,0.8176,0.7327,0.8012,0.7654,0.894
LogisticRegression,789,H3K27ac,,71.5,0.7781,74.1,0.8165,0.7964,0.7864,0.666,0.7212,0.798
RandomForest,789,H3K27ac,,71.7,0.8039,74.8,0.8436,0.8375,0.7833,0.6899,0.7336,0.804
SVM_Linear,789,H3K27ac,,71.8,0.7788,73.8,0.8158,0.7952,0.7822,0.664,0.7183,0.789
DirectRanker,1011,H3K27me3,100,54.3,0.6,57.0,0.615,0.5825,0.5412,0.9422,0.6875,0.255
LogisticRegression,1011,H3K27me3,,53.3,0.5432,52.7,0.5605,0.548,0.6107,0.1594,0.2528,0.188
RandomForest,1011,H3K27me3,,55.5,0.5795,56.0,0.6183,0.5862,0.7385,0.1912,0.3038,0.241
SVM_Linear,1011,H3K27me3,,53.7,0.5538,52.0,0.5527,0.5438,0.5846,0.1514,0.2405,0.179
DirectRanker,123,H3K27me3,100,59.6,0.64,55.8,0.6192,0.5914,0.5285,0.9431,0.6774,0.264
LogisticRegression,123,H3K27me3,,52.8,0.5751,54.5,0.5611,0.5421,0.6434,0.1687,0.2673,0.203
RandomForest,123,H3K27me3,,56.5,0.6396,57.4,0.6127,0.5763,0.7357,0.2093,0.3259,0.256
SVM_Linear,123,H3K27me3,,52.6,0.563,54.7,0.5677,0.5406,0.6535,0.1687,0.2682,0.209
DirectRanker,42,H3K27me3,100,55.5,0.63,55.3,0.6062,0.5611,0.5194,0.948,0.6711,0.256
LogisticRegression,42,H3K27me3,,56.4,0.58,53.6,0.5536,0.5211,0.5752,0.1351,0.2189,0.184
RandomForest,42,H3K27me3,,60.0,0.6353,56.2,0.5977,0.5568,0.6593,0.185,0.289,0.236
SVM_Linear,42,H3K27me3,,56.5,0.5733,53.5,0.5525,0.5195,0.5714,0.1331,0.2159,0.176
DirectRanker,456,H3K27me3,100,54.7,0.61,55.8,0.6153,0.5701,0.5255,0.9342,0.6726,0.267
LogisticRegression,456,H3K27me3,,53.0,0.5885,52.2,0.557,0.5361,0.5047,0.8827,0.6422,0.185
RandomForest,456,H3K27me3,,53.9,0.6019,55.2,0.6069,0.564,0.5221,0.9239,0.6672,0.253
SVM_Linear,456,H3K27me3,,55.8,0.5726,54.0,0.5549,0.5318,0.6102,0.1481,0.2384,0.178
DirectRanker,789,H3K27me3,100,56.0,0.63,55.3,0.5941,0.5627,0.5317,0.9324,0.6773,0.25
LogisticRegression,789,H3K27me3,,57.0,0.593,53.6,0.5621,0.5449,0.6696,0.1531,0.2492,0.158
RandomForest,789,H3K27me3,,59.0,0.6299,54.8,0.5829,0.5569,0.7143,0.169,0.2733,0.221
SVM_Linear,789,H3K27me3,,56.9,0.5911,53.6,0.5527,0.5408,0.6857,0.1431,0.2368,0.147
DirectRanker,1011,H3K4me3-H3K9ac,93,71.6,0.8,72.4,0.8281,0.8212,0.707,0.7689,0.7366,0.9
LogisticRegression,1011,H3K4me3-H3K9ac,,69.4,0.7585,71.0,0.7848,0.7737,0.7465,0.6394,0.6888,0.747
RandomForest,1011,H3K4me3-H3K9ac,,70.7,0.7885,73.5,0.8206,0.8051,0.7712,0.6713,0.7178,0.797
SVM_Linear,1011,H3K4me3-H3K9ac,,69.8,0.7589,70.6,0.7872,0.7727,0.7441,0.6315,0.6832,0.733
DirectRanker,123,H3K4me3-H3K9ac,27,75.1,0.84,71.9,0.8082,0.7782,0.6922,0.7724,0.7301,0.913
LogisticRegression,123,H3K4me3-H3K9ac,,75.4,0.8272,71.4,0.7831,0.7461,0.7309,0.6626,0.6951,0.777
RandomForest,123,H3K4me3-H3K9ac,,76.0,0.8368,72.3,0.8068,0.7885,0.7352,0.6829,0.7081,0.826
SVM_Linear,123,H3K4me3-H3K9ac,,74.7,0.8276,71.5,0.7834,0.7509,0.7326,0.6626,0.6958,0.781
DirectRanker,42,H3K4me3-H3K9ac,100,74.5,0.84,73.5,0.8439,0.8381,0.6964,0.7963,0.743,0.891
LogisticRegression,42,H3K4me3-H3K9ac,,74.1,0.7983,72.1,0.7985,0.7832,0.7265,0.6736,0.699,0.758
RandomForest,42,H3K4me3-H3K9ac,,76.1,0.8318,76.7,0.841,0.8286,0.7805,0.7173,0.7476,0.803
SVM_Linear,42,H3K4me3-H3K9ac,,73.8,0.8003,72.2,0.8004,0.7851,0.7302,0.6694,0.6985,0.755
DirectRanker,456,H3K4me3-H3K9ac,100,76.0,0.85,74.0,0.8229,0.8076,0.7062,0.7963,0.7485,0.904
LogisticRegression,456,H3K4me3-H3K9ac,,75.3,0.8214,72.8,0.7755,0.7588,0.7454,0.6687,0.705,0.783
