model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
RandomForest,123,H3K9ac-H3K27ac,,77.1,0.8523,76.7,0.8352,0.8264,0.7897,0.7175,0.7519,0.827
RandomForest,42,H3K9ac-H3K27ac,,77.5,0.8529,78.5,0.8618,0.8583,0.7995,0.738,0.7676,0.834
RandomForest,456,H3K9ac-H3K27ac,,77.9,0.8597,76.3,0.8341,0.8155,0.7836,0.7078,0.7438,0.828
RandomForest,789,H3K9ac-H3K27ac,,73.8,0.814,76.8,0.8537,0.8391,0.8115,0.7018,0.7527,0.831
RandomForest,1011,H3K9ac-H3K27me3,,71.6,0.7926,71.5,0.8107,0.8071,0.7483,0.6514,0.6965,0.786
RandomForest,123,H3K9ac-H3K27me3,,74.3,0.8323,72.5,0.7956,0.7723,0.7494,0.6626,0.7033,0.801
RandomForest,42,H3K9ac-H3K27me3,,76.2,0.8313,75.8,0.8371,0.8212,0.7786,0.6944,0.7341,0.772
RandomForest,456,H3K9ac-H3K27me3,,75.9,0.8381,73.2,0.8072,0.7894,0.7523,0.6687,0.7081,0.786
RandomForest,789,H3K9ac-H3K27me3,,72.9,0.813,73.9,0.8289,0.8266,0.7867,0.66,0.7178,0.803
RandomForest,1011,H3K9me3-H3K27ac,,71.3,0.798,73.9,0.8242,0.8093,0.7745,0.6773,0.7226,0.796
RandomForest,123,H3K9me3-H3K27ac,,74.9,0.8404,76.3,0.8375,0.8302,0.7891,0.7073,0.746,0.814
RandomForest,42,H3K9me3-H3K27ac,,76.5,0.8405,77.5,0.8542,0.8471,0.787,0.7297,0.7573,0.806
RandomForest,456,H3K9me3-H3K27ac,,77.2,0.857,76.0,0.8332,0.8147,0.7795,0.7058,0.7408,0.819
RandomForest,789,H3K9me3-H3K27ac,,71.5,0.8012,74.6,0.8429,0.8383,0.7798,0.6899,0.7321,0.815
RandomForest,1011,H3K9me3-H3K27me3,,56.6,0.5985,55.8,0.6128,0.5802,0.6948,0.2131,0.3262,0.278
RandomForest,123,H3K9me3-H3K27me3,,57.0,0.642,57.2,0.6076,0.5876,0.6975,0.2297,0.3456,0.267
RandomForest,42,H3K9me3-H3K27me3,,60.5,0.6438,57.2,0.6118,0.5667,0.6853,0.2037,0.3141,0.259
RandomForest,456,H3K9me3-H3K27me3,,54.0,0.5999,55.8,0.6134,0.5684,0.5261,0.9115,0.6672,0.295
RandomForest,789,H3K9me3-H3K27me3,,59.0,0.6344,55.1,0.5833,0.5579,0.7077,0.1829,0.2907,0.235
RandomForest,1011,H3K27ac-H3K27me3,,70.8,0.797,72.7,0.8217,0.8068,0.7539,0.6773,0.7135,0.809
RandomForest,123,H3K27ac-H3K27me3,,74.6,0.8373,76.2,0.8346,0.8324,0.7749,0.7276,0.7505,0.831
RandomForest,42,H3K27ac-H3K27me3,,77.5,0.8473,77.1,0.8576,0.8527,0.7739,0.7401,0.7566,0.822
RandomForest,456,H3K27ac-H3K27me3,,76.9,0.8577,74.8,0.8276,0.8102,0.7577,0.7078,0.7319,0.815
RandomForest,789,H3K27ac-H3K27me3,,71.8,0.808,74.7,0.8421,0.8375,0.7706,0.7078,0.7378,0.817
RandomForest,1011,H3K4me3-H3K9ac-H3K9me3,,70.9,0.7874,73.8,0.8211,0.8063,0.7804,0.6653,0.7183,0.81
RandomForest,123,H3K4me3-H3K9ac-H3K9me3,,76.0,0.8408,73.4,0.8093,0.7911,0.7534,0.6829,0.7164,0.834
RandomForest,42,H3K4me3-H3K9ac-H3K9me3,,76.7,0.8335,76.1,0.8426,0.8298,0.7713,0.7152,0.7422,0.798
RandomForest,456,H3K4me3-H3K9ac-H3K9me3,,77.3,0.8503,73.7,0.816,0.7939,0.7494,0.6893,0.7181,0.813
RandomForest,789,H3K4me3-H3K9ac-H3K9me3,,74.6,0.814,74.4,0.8296,0.8197,0.7906,0.668,0.7241,0.799
RandomForest,1011,H3K4me3-H3K9ac-H3K27ac,,72.7,0.8044,74.7,0.8344,0.8248,0.7724,0.7032,0.7362,0.836
RandomForest,123,H3K4me3-H3K9ac-H3K27ac,,77.2,0.857,76.7,0.8352,0.8286,0.7797,0.7337,0.756,0.853
RandomForest,42,H3K4me3-H3K9ac-H3K27ac,,78.5,0.8531,77.0,0.8603,0.8488,0.7746,0.736,0.7548,0.86
